,Metric,Value
0,Model,power_law
1,True Value,0.80
2,N Simulations,100
3,Mean Estimate,0.58 ± 0.04
4,Mean Bias,-0.22 ± 0.04
5,RMSE,0.22 ± 0.04
6,Coverage Rate,99.50 ± 3.52
7,Mean R-hat,1.03
8,Mean ESS (bulk),2308
9,N with ESS < 400,2.0
