,Model,Parameter,True Value,N Simulations,Mean Estimate,Mean Bias,Mean Abs Bias,Mean Relative Error,Coverage,Converged,Low ESS,Mean R-hat,Mean ESS (bulk)
0,power_law,scale1,5.00,100,0.15 ± 0.02,-4.85 ± 0.02,4.85,96.90,0.0%,88.0%,11.0%,1.01,5417
1,power_law,exponent1,2.00,100,0.41 ± 0.02,-1.59 ± 0.02,1.59,79.41,0.0%,23.0%,79.0%,1.09,2136
2,power_law,q_param,0.01,100,0.01 ± 0.00,0.00 ± 0.00,0.00,35.70,94.0%,97.0%,2.0%,1.00,25822
3,power_law,pi0,0.30,100,0.30 ± 0.01,0.00 ± 0.01,0.01,4.01,96.0%,97.0%,1.0%,1.00,25661
4,power_law,phi,18.00,100,6.97 ± 0.38,-11.03 ± 0.38,11.03,61.29,0.0%,25.0%,76.0%,1.08,3026
