,Metric,Value
0,Model,power_law
1,True Value,0.60
2,N Simulations,100
3,Mean Estimate,0.58 ± 0.04
4,Mean Bias,-0.02 ± 0.04
5,RMSE,0.04 ± 0.03
6,Coverage Rate,100.00 ± 0.00
7,Mean R-hat,1.03
8,Mean ESS (bulk),2308
9,N with ESS < 400,2.0
