,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,scale2_post_mean,scale2_rhat,scale2_ess_bulk,scale2_bias,scale2_abs_bias,scale2_relative_error,scale2_covered,scale2_converged,exponent2_post_mean,exponent2_rhat,exponent2_ess_bulk,exponent2_bias,exponent2_abs_bias,exponent2_relative_error,exponent2_covered,exponent2_converged,weight_post_mean,weight_rhat,weight_ess_bulk,weight_bias,weight_abs_bias,weight_relative_error,weight_covered,weight_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fx2,fx2_post_mean_avg,fx2_post_mean_sd,fx2_post_mean_min,fx2_post_mean_max,fx2_bias_mean,fx2_bias_sd,fx2_rmse,fx2_mae,fx2_coverage_rate,fx2_n_covered,fx2_n_rhat_nan,fx2_rhat_mean,fx2_rhat_max,fx2_n_rhat_above_1.01,fx2_ess_bulk_min,fx2_ess_bulk_mean,fx2_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400,n_fy2,fy2_post_mean_avg,fy2_post_mean_sd,fy2_post_mean_min,fy2_post_mean_max,fy2_bias_mean,fy2_bias_sd,fy2_rmse,fy2_mae,fy2_coverage_rate,fy2_n_covered,fy2_n_rhat_nan,fy2_rhat_mean,fy2_rhat_max,fy2_n_rhat_above_1.01,fy2_ess_bulk_min,fy2_ess_bulk_mean,fy2_n_ess_below_400,n_fz1,fz1_post_mean_avg,fz1_post_mean_sd,fz1_post_mean_min,fz1_post_mean_max,fz1_bias_mean,fz1_bias_sd,fz1_rmse,fz1_mae,fz1_coverage_rate,fz1_n_covered,fz1_n_rhat_nan,fz1_rhat_mean,fz1_rhat_max,fz1_n_rhat_above_1.01,fz1_ess_bulk_min,fz1_ess_bulk_mean,fz1_n_ess_below_400,n_fz2,fz2_post_mean_avg,fz2_post_mean_sd,fz2_post_mean_min,fz2_post_mean_max,fz2_bias_mean,fz2_bias_sd,fz2_rmse,fz2_mae,fz2_coverage_rate,fz2_n_covered,fz2_n_rhat_nan,fz2_rhat_mean,fz2_rhat_max,fz2_n_rhat_above_1.01,fz2_ess_bulk_min,fz2_ess_bulk_mean,fz2_n_ess_below_400
58,58,power_law,4.168,1.0,10232.0,-0.8319999999999999,0.8319999999999999,16.639999999999997,1,1,1.946,1.0,10281.0,-0.05400000000000005,0.05400000000000005,2.7000000000000024,1,1,2.982,1.0,10743.0,-2.018,2.018,40.36,1,1,2.38,1.0,11478.0,0.3799999999999999,0.3799999999999999,18.999999999999993,1,1,0.817,1.0,10565.0,-0.18300000000000005,0.18300000000000005,18.300000000000004,0,1,0.016,1.0,25488.0,0.006,0.006,60.0,1,1,0.306,1.0,27277.0,0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,17.38,1.0,20648.0,-0.620000000000001,0.620000000000001,3.44444444444445,1,1,4,0.1175,0.07406922437828008,0.048,0.227,0.1175,0.07406922437828008,0.13889744418094957,0.1175,1.0,4,0,1.0,1.0,0,2096.0,7453.5,0,4,5.366499999999999,0.6215164921383827,4.366,5.924,5.366499999999999,0.6215164921383827,5.402370313112569,5.366499999999999,1.0,4,0,1.0,1.0,0,8751.0,12926.75,0,4,0.07050000000000001,0.1633225336565656,-0.157,0.232,0.07050000000000001,0.1633225336565656,0.17788901034071777,0.155,1.0,4,0,1.0,1.0,0,16205.0,19992.75,0,4,28.80875,3.409247745104484,24.519,32.965,28.80875,3.409247745104484,29.00977502067191,28.80875,1.0,4,0,1.0,1.0,0,9110.0,11216.75,0,4,0.87575,0.013273563952458295,0.858,0.895,0.27575000000000005,0.013273563952458295,0.2760692847819185,0.27575000000000005,0.0,0,0,1.0,1.0,0,5107.0,7057.75,0,4,0.32625,0.007529110173187805,0.317,0.337,-0.27374999999999994,0.007529110173187805,0.27385351923975704,0.27374999999999994,1.0,4,0,1.0,1.0,0,8101.0,8677.0,0
59,59,power_law,4.566,1.0,10127.0,-0.43400000000000016,0.43400000000000016,8.680000000000003,1,1,2.007,1.0,11299.0,0.007000000000000117,0.007000000000000117,0.35000000000000586,1,1,2.7,1.0,17289.0,-2.3,2.3,46.0,1,1,2.62,1.0,20141.0,0.6200000000000001,0.6200000000000001,31.000000000000007,1,1,0.792,1.0,10518.0,-0.20799999999999996,0.20799999999999996,20.799999999999997,0,1,0.012,1.0,31695.0,0.002,0.002,20.0,1,1,0.297,1.0,35749.0,-0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,17.754,1.0,35023.0,-0.24599999999999866,0.24599999999999866,1.3666666666666594,1,1,4,0.07275,0.033618261406562946,0.024,0.119,0.07275,0.033618261406562946,0.08014206136605172,0.07275,1.0,4,0,1.0,1.0,0,9762.0,12807.5,0,4,5.4305,0.24228650395760806,5.026,5.62,5.4305,0.24228650395760806,5.4359022250220805,5.4305,1.0,4,0,1.0,1.0,0,18352.0,19890.75,0,4,0.02900000000000001,0.17800702233338997,-0.107,0.329,0.02900000000000001,0.17800702233338997,0.18035381892269428,0.1355,1.0,4,0,1.0,1.0,0,21106.0,24600.5,0,4,28.512999999999998,1.936223127637928,25.889,31.305,28.512999999999998,1.936223127637928,28.57866562665234,28.512999999999998,1.0,4,0,1.0,1.0,0,13630.0,16068.5,0,4,0.8619999999999999,0.005916079783099622,0.853,0.869,0.262,0.005916079783099621,0.26206678538113143,0.262,0.0,0,0,1.0,1.0,0,6274.0,7286.5,0,4,0.30125,0.0039607448794387184,0.298,0.308,-0.29875,0.0039607448794387184,0.29877625407652464,0.29875,1.0,4,0,1.0,1.0,0,15921.0,16428.25,0
60,60,power_law,3.819,1.0,11686.0,-1.181,1.181,23.62,1,1,1.815,1.0,13004.0,-0.18500000000000005,0.18500000000000005,9.250000000000004,1,1,2.934,1.0,15772.0,-2.066,2.066,41.31999999999999,1,1,2.579,1.0,20659.0,0.5790000000000002,0.5790000000000002,28.95000000000001,1,1,0.802,1.0,11855.0,-0.19799999999999995,0.19799999999999995,19.799999999999997,0,1,0.012,1.0,36064.0,0.002,0.002,20.0,1,1,0.31,1.0,44281.0,0.010000000000000009,0.010000000000000009,3.3333333333333366,1,1,15.606,1.0,31364.0,-2.394,2.394,13.3,0,1,4,0.067,0.02947880594596735,0.028,0.11,0.067,0.02947880594596735,0.0731983606373804,0.067,1.0,4,0,1.0,1.0,0,2933.0,13499.5,0,4,5.321250000000001,0.288111415081041,4.897,5.701,5.321250000000001,0.288111415081041,5.329043980865611,5.321250000000001,1.0,4,0,1.0,1.0,0,19240.0,21708.5,0,4,0.10649999999999998,0.2363149381651528,-0.165,0.413,0.10649999999999998,0.2363149381651528,0.25920455242915774,0.22749999999999998,1.0,4,0,1.0,1.0,0,28798.0,32636.0,0,4,25.694499999999998,0.6170840704474551,25.174,26.706,25.694499999999998,0.6170840704474551,25.70190893688638,25.694499999999998,1.0,4,0,1.0,1.0,0,14955.0,15805.0,0,4,0.8685,0.013610657588816213,0.852,0.889,0.2685,0.013610657588816211,0.26884475073915803,0.2685,0.0,0,0,1.0,1.0,0,5204.0,7465.25,0,4,0.3305,0.004272001872658769,0.325,0.336,-0.26949999999999996,0.004272001872658769,0.26953385687145126,0.26949999999999996,1.0,4,0,1.0,1.0,0,16328.0,17186.75,0
61,61,power_law,4.363,1.0,12883.0,-0.6369999999999996,0.6369999999999996,12.73999999999999,1,1,1.859,1.0,13403.0,-0.14100000000000001,0.14100000000000001,7.050000000000001,1,1,2.709,1.0,17395.0,-2.291,2.291,45.82,1,1,2.597,1.0,18767.0,0.597,0.597,29.849999999999998,1,1,0.772,1.0,8550.0,-0.22799999999999998,0.22799999999999998,22.799999999999997,0,1,0.015,1.0,29253.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.305,1.0,38672.0,0.0050000000000000044,0.0050000000000000044,1.6666666666666683,1,1,16.4,1.0,29775.0,-1.6000000000000014,1.6000000000000014,8.888888888888896,1,1,4,0.0675,0.0330870065131314,0.039,0.121,0.0675,0.0330870065131314,0.07517313349861106,0.0675,1.0,4,0,1.0,1.0,0,5620.0,14238.5,0,4,5.4575000000000005,0.24126178727680864,5.252,5.865,5.4575000000000005,0.24126178727680864,5.462830173087938,5.4575000000000005,1.0,4,0,1.0,1.0,0,18826.0,20588.75,0,4,-0.014000000000000005,0.14019450773835615,-0.169,0.158,-0.014000000000000005,0.14019450773835615,0.1408918024584823,0.1375,1.0,4,0,1.0,1.0,0,24689.0,27909.0,0,4,28.0405,2.288670520192891,26.019,31.929,28.0405,2.288670520192891,28.13374580463824,28.0405,1.0,4,0,1.0,1.0,0,15540.0,18574.5,0,4,0.8400000000000001,0.006041522986797292,0.831,0.846,0.24,0.006041522986797291,0.24007602962395058,0.24,0.0,0,0,1.0,1.0,0,4367.0,5197.75,0,4,0.2975,0.002291287847477922,0.295,0.301,-0.3025,0.002291287847477922,0.30250867756148747,0.3025,1.0,4,0,1.0,1.0,0,17001.0,17431.5,0
62,62,power_law,5.267,1.0,8530.0,0.26700000000000035,0.26700000000000035,5.340000000000007,1,1,2.146,1.0,12210.0,0.1459999999999999,0.1459999999999999,7.299999999999995,1,1,3.505,1.0,11290.0,-1.495,1.495,29.900000000000006,1,1,2.583,1.0,17265.0,0.5830000000000002,0.5830000000000002,29.15000000000001,1,1,0.784,1.0,8336.0,-0.21599999999999997,0.21599999999999997,21.599999999999998,0,1,0.013,1.0,35854.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.27,1.0,24900.0,-0.02999999999999997,0.02999999999999997,9.999999999999991,0,1,18.273,1.0,22402.0,0.2729999999999997,0.2729999999999997,1.516666666666665,1,1,4,0.064,0.021424285285628553,0.031,0.083,0.064,0.021424285285628553,0.06749074010558782,0.064,1.0,4,0,1.0,1.0,0,5492.0,12881.75,0,4,5.1930000000000005,1.5323385722483136,2.618,6.522,5.1930000000000005,1.5323385722483136,5.414361504369652,5.1930000000000005,1.0,4,0,1.0,1.0,0,4462.0,13552.75,0,4,-0.1305,0.15195805342264687,-0.359,0.023,-0.1305,0.15195805342264687,0.20030351968949522,0.142,1.0,4,0,1.0,1.0,0,12959.0,22247.5,0,4,23.7155,3.7068717606628905,19.186,27.629,23.7155,3.7068717606628905,24.003454720102273,23.7155,1.0,4,0,1.0,1.0,0,5787.0,7271.25,0,4,0.8815,0.009394147114027977,0.869,0.892,0.28150000000000003,0.009394147114027977,0.2816567059382752,0.28150000000000003,0.0,0,0,1.0,1.0,0,5061.0,5859.5,0,4,0.41300000000000003,0.010464224768228166,0.406,0.431,-0.18699999999999997,0.010464224768228166,0.18729255190743702,0.18699999999999997,1.0,4,0,1.0,1.0,0,9112.0,11074.75,0
63,63,power_law,4.634,1.0,12760.0,-0.36599999999999966,0.36599999999999966,7.319999999999993,1,1,2.024,1.0,13994.0,0.02400000000000002,0.02400000000000002,1.200000000000001,1,1,2.558,1.0,18204.0,-2.442,2.442,48.84,1,1,2.655,1.0,20350.0,0.6549999999999998,0.6549999999999998,32.74999999999999,1,1,0.779,1.0,9765.0,-0.22099999999999997,0.22099999999999997,22.099999999999998,0,1,0.009,1.0,34602.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.27,1.0,37884.0,-0.02999999999999997,0.02999999999999997,9.999999999999991,0,1,20.711,1.0,29684.0,2.7109999999999985,2.7109999999999985,15.061111111111103,1,1,4,0.07775,0.03649229370702806,0.025,0.127,0.07775,0.03649229370702806,0.08588800847615458,0.07775,1.0,4,0,1.0,1.0,0,5197.0,9643.75,0,4,5.57175,0.16449525069131937,5.328,5.791,5.57175,0.16449525069131937,5.574177674778586,5.57175,1.0,4,0,1.0,1.0,0,16525.0,19780.75,0,4,0.18775,0.2357396604307387,-0.1,0.456,0.18775,0.2357396604307387,0.3013689599145871,0.23775000000000002,0.75,3,0,1.0,1.0,0,26510.0,27191.0,0,4,28.88475,0.9189231129425358,28.24,30.462,28.88475,0.9189231129425358,28.899363353714214,28.88475,1.0,4,0,1.0,1.0,0,17754.0,19913.75,0,4,0.8444999999999999,0.006800735254367728,0.836,0.855,0.2445,0.006800735254367728,0.24459456249066536,0.2445,0.0,0,0,1.0,1.0,0,5191.0,6298.0,0,4,0.2785,0.0025980762113532994,0.276,0.282,-0.32149999999999995,0.0025980762113532994,0.3215104974958049,0.32149999999999995,1.0,4,0,1.0,1.0,0,17897.0,18703.75,0
64,64,power_law,3.431,1.0,6958.0,-1.569,1.569,31.379999999999995,0,1,1.865,1.0,8897.0,-0.135,0.135,6.75,1,1,3.168,1.0,6674.0,-1.8319999999999999,1.8319999999999999,36.63999999999999,1,1,2.28,1.0,12209.0,0.2799999999999998,0.2799999999999998,13.99999999999999,1,1,0.85,1.0,14688.0,-0.15000000000000002,0.15000000000000002,15.000000000000002,0,1,0.014,1.0,24000.0,0.004,0.004,40.0,1,1,0.308,1.0,38011.0,0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,18.32,1.0,34521.0,0.3200000000000003,0.3200000000000003,1.7777777777777795,1,1,4,0.045,0.00935414346693485,0.033,0.059,0.045,0.00935414346693485,0.045961940777125586,0.045,1.0,4,0,1.0,1.0,0,4948.0,8671.5,0,4,5.287750000000001,0.2992192966705189,4.908,5.727,5.287750000000001,0.2992192966705189,5.296209233971029,5.287750000000001,1.0,4,0,1.0,1.0,0,15217.0,19075.75,0,4,0.020750000000000005,0.19297846382433456,-0.192,0.333,0.020750000000000005,0.19297846382433456,0.19409082925269808,0.14575,1.0,4,0,1.0,1.0,0,19348.0,30084.25,0,4,30.135749999999998,2.6214251252896785,26.121,32.509,30.135749999999998,2.6214251252896785,30.249550372691495,30.135749999999998,1.0,4,0,1.0,1.0,0,15761.0,17513.75,0,4,0.89175,0.009496709956611298,0.878,0.902,0.29175000000000006,0.009496709956611298,0.29190452206158096,0.29175000000000006,0.0,0,0,1.0,1.0,0,4215.0,5671.75,0,4,0.32,0.0031622776601683824,0.316,0.324,-0.27999999999999997,0.0031622776601683824,0.2800178565734692,0.27999999999999997,1.0,4,0,1.0,1.0,0,16719.0,17109.5,0
65,65,power_law,5.605,1.0,7893.0,0.6050000000000004,0.6050000000000004,12.100000000000009,1,1,2.185,1.0,6570.0,0.18500000000000005,0.18500000000000005,9.250000000000004,1,1,3.438,1.0,14940.0,-1.5619999999999998,1.5619999999999998,31.239999999999995,1,1,2.255,1.0,10283.0,0.2549999999999999,0.2549999999999999,12.749999999999995,1,1,0.83,1.0,14171.0,-0.17000000000000004,0.17000000000000004,17.000000000000004,0,1,0.015,1.0,24805.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.293,1.0,23689.0,-0.007000000000000006,0.007000000000000006,2.3333333333333357,1,1,16.209,1.0,13686.0,-1.7910000000000004,1.7910000000000004,9.950000000000001,1,1,4,0.1975,0.05869625200981745,0.16,0.299,0.1975,0.05869625200981745,0.20603761792449457,0.1975,1.0,4,0,1.0,1.0,0,2771.0,5369.25,0,4,5.412,0.7382645189903142,4.2,6.157,5.412,0.7382645189903142,5.462122160845544,5.412,1.0,4,0,1.0,1.0,0,13013.0,15305.75,0,4,-0.0965,0.10452392070717594,-0.272,0.003,-0.0965,0.10452392070717594,0.14225856740456794,0.098,1.0,4,0,1.0,1.0,0,17645.0,19990.5,0,4,29.44925,5.753380631202839,23.426,38.916,29.44925,5.753380631202839,30.005994638571806,29.44925,1.0,4,0,1.0,1.0,0,4203.0,9241.5,0,4,0.8612500000000001,0.02416997103846012,0.829,0.897,0.26125,0.024169971038460122,0.26236567992022125,0.26125,0.0,0,0,1.0,1.0,0,5089.0,9258.75,0,4,0.34375,0.007562241731127071,0.337,0.356,-0.25625,0.007562241731127071,0.25636156108121977,0.25625,1.0,4,0,1.0,1.0,0,14075.0,16020.5,0
66,66,power_law,4.679,1.0,12057.0,-0.32099999999999973,0.32099999999999973,6.4199999999999955,1,1,2.048,1.0,12237.0,0.04800000000000004,0.04800000000000004,2.400000000000002,1,1,2.648,1.0,16379.0,-2.352,2.352,47.04,1,1,2.587,1.0,20096.0,0.5870000000000002,0.5870000000000002,29.35000000000001,1,1,0.808,1.0,7968.0,-0.19199999999999995,0.19199999999999995,19.199999999999996,0,1,0.012,1.0,34540.0,0.002,0.002,20.0,1,1,0.278,1.0,34626.0,-0.021999999999999964,0.021999999999999964,7.333333333333322,1,1,18.624,1.0,27841.0,0.6239999999999988,0.6239999999999988,3.4666666666666597,1,1,4,0.040249999999999994,0.009705024471890837,0.024,0.049,0.040249999999999994,0.009705024471890837,0.041403502267320334,0.040249999999999994,1.0,4,0,1.0,1.0,0,13246.0,16833.25,0,4,5.547000000000001,0.18702406262296828,5.423,5.869,5.547000000000001,0.18702406262296828,5.5501519799010905,5.547000000000001,1.0,4,0,1.0,1.0,0,20282.0,20958.25,0,4,-0.033749999999999995,0.028717372790699358,-0.059,0.014,-0.033749999999999995,0.028717372790699358,0.04431421893704096,0.04075,1.0,4,0,1.0,1.0,0,26646.0,28845.75,0,4,28.777499999999996,2.230298690758707,26.188,31.989,28.777499999999996,2.230298690758707,28.863796328619006,28.777499999999996,1.0,4,0,1.0,1.0,0,14597.0,19206.75,0,4,0.8707499999999999,0.006179603547154143,0.861,0.877,0.27075000000000005,0.006179603547154143,0.2708205125170544,0.27075000000000005,0.0,0,0,1.0,1.0,0,3449.0,4035.75,0,4,0.29024999999999995,0.0016393596310755017,0.289,0.293,-0.30974999999999997,0.0016393596310755017,0.3097543381455698,0.30974999999999997,1.0,4,0,1.0,1.0,0,15878.0,16521.75,0
67,67,power_law,3.86,1.0,9094.0,-1.1400000000000001,1.1400000000000001,22.800000000000004,1,1,1.914,1.0,9208.0,-0.08600000000000008,0.08600000000000008,4.300000000000004,1,1,3.412,1.0,13498.0,-1.588,1.588,31.759999999999998,1,1,2.366,1.0,13378.0,0.3660000000000001,0.3660000000000001,18.300000000000004,1,1,0.822,1.0,11615.0,-0.17800000000000005,0.17800000000000005,17.800000000000004,0,1,0.008,1.0,15375.0,-0.002,0.002,20.0,1,1,0.314,1.0,23768.0,0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,18.391,1.0,23624.0,0.39099999999999824,0.39099999999999824,2.1722222222222127,1,1,4,0.0925,0.07041839248378226,0.027,0.199,0.0925,0.07041839248378226,0.1162540321881353,0.0925,1.0,4,0,1.0,1.0,0,1827.0,7494.5,0,4,5.0615,1.3327230582532892,2.759,5.979,5.0615,1.3327230582532892,5.234016908646742,5.0615,1.0,4,0,1.0,1.0,0,9226.0,13555.25,0,4,-0.09925,0.15193481332466238,-0.28,0.127,-0.09925,0.15193481332466238,0.18147933766685398,0.16275,1.0,4,0,1.0,1.0,0,19658.0,23269.25,0,4,26.49325,3.9709855436024957,21.121,30.911,26.49325,3.9709855436024957,26.789195989241634,26.49325,0.75,3,0,1.0,1.0,0,7497.0,10305.75,0,4,0.88825,0.015352117117844054,0.871,0.905,0.28825,0.015352117117844054,0.2886585352973302,0.28825,0.0,0,0,1.0,1.0,0,5331.0,7644.25,0,4,0.36825,0.014855554516745592,0.353,0.392,-0.23174999999999998,0.014855554516745592,0.2322256445787157,0.23174999999999998,1.0,4,0,1.0,1.0,0,9319.0,10627.0,0
68,68,power_law,4.188,1.0,10393.0,-0.8120000000000003,0.8120000000000003,16.240000000000006,1,1,1.955,1.0,10124.0,-0.04499999999999993,0.04499999999999993,2.2499999999999964,1,1,2.748,1.0,17075.0,-2.252,2.252,45.04,1,1,2.557,1.0,14868.0,0.5569999999999999,0.5569999999999999,27.849999999999998,1,1,0.809,1.0,9614.0,-0.19099999999999995,0.19099999999999995,19.099999999999994,0,1,0.004,1.0,27940.0,-0.006,0.006,60.0,0,1,0.297,1.0,36918.0,-0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,19.113,1.0,22342.0,1.1129999999999995,1.1129999999999995,6.183333333333331,1,1,4,0.058499999999999996,0.035696638497203066,0.019,0.115,0.058499999999999996,0.035696638497203066,0.06853101487647764,0.058499999999999996,1.0,4,0,1.0,1.0,0,2521.0,13172.25,0,4,5.3925,0.2121609059181262,5.122,5.63,5.3925,0.2121609059181262,5.396671983732197,5.3925,1.0,4,0,1.0,1.0,0,17611.0,19204.5,0,4,-0.13425,0.1551908099727558,-0.398,-0.018,-0.13425,0.1551908099727558,0.20520051169526846,0.13425,1.0,4,0,1.0,1.0,0,24401.0,26573.5,0,4,30.253749999999997,3.4972195652403633,26.517,34.559,30.253749999999997,3.4972195652403633,30.45521193080094,30.253749999999997,1.0,4,0,1.0,1.0,0,12116.0,14173.25,0,4,0.8675,0.0075000000000000075,0.857,0.878,0.2675,0.007500000000000007,0.2676051195324933,0.2675,0.0,0,0,1.0,1.0,0,4457.0,5661.25,0,4,0.30625,0.0022776083947860766,0.304,0.31,-0.29375,0.0022776083947860766,0.29375882965453143,0.29375,1.0,4,0,1.0,1.0,0,15564.0,16343.0,0
69,69,power_law,4.522,1.0,11575.0,-0.47799999999999976,0.47799999999999976,9.559999999999995,1,1,1.989,1.0,9936.0,-0.010999999999999899,0.010999999999999899,0.5499999999999949,1,1,3.17,1.0,17248.0,-1.83,1.83,36.6,1,1,2.394,1.0,16094.0,0.39400000000000013,0.39400000000000013,19.700000000000006,1,1,0.782,1.0,9783.0,-0.21799999999999997,0.21799999999999997,21.799999999999997,0,1,0.009,1.0,32043.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.281,1.0,41726.0,-0.01899999999999996,0.01899999999999996,6.3333333333333215,1,1,17.202,1.0,29880.0,-0.7979999999999983,0.7979999999999983,4.433333333333324,1,1,4,0.04625,0.009065732182234372,0.031,0.054,0.04625,0.009065732182234372,0.04713013897709193,0.04625,1.0,4,0,1.0,1.0,0,15682.0,18740.25,0,4,5.412750000000001,0.6376901187097067,4.429,6.21,5.412750000000001,0.6376901187097067,5.45018451522515,5.412750000000001,1.0,4,0,1.0,1.0,0,13548.0,19620.75,0,4,-0.016750000000000004,0.11014167013442278,-0.147,0.145,-0.016750000000000004,0.11014167013442278,0.11140803382162347,0.09775,1.0,4,0,1.0,1.0,0,25429.0,28817.0,0,4,28.6475,5.9437259568388585,23.435,38.192,28.6475,5.9437259568388585,29.25759960249644,28.6475,1.0,4,0,1.0,1.0,0,9976.0,13284.0,0,4,0.852,0.004636809247747856,0.846,0.859,0.252,0.004636809247747856,0.2520426551201205,0.252,0.0,0,0,1.0,1.0,0,5416.0,6134.0,0,4,0.316,0.004743416490252573,0.31,0.323,-0.284,0.004743416490252573,0.2840396099138287,0.284,1.0,4,0,1.0,1.0,0,15832.0,16241.0,0
70,70,power_law,4.877,1.0,10839.0,-0.12300000000000022,0.12300000000000022,2.4600000000000044,1,1,2.071,1.0,11457.0,0.07100000000000017,0.07100000000000017,3.5500000000000087,1,1,2.638,1.0,16410.0,-2.362,2.362,47.24,1,1,2.613,1.0,14618.0,0.613,0.613,30.65,1,1,0.813,1.0,9988.0,-0.18700000000000006,0.18700000000000006,18.700000000000006,0,1,0.014,1.0,28781.0,0.004,0.004,40.0,1,1,0.308,1.0,33256.0,0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,18.809,1.0,24112.0,0.809000000000001,0.809000000000001,4.49444444444445,1,1,4,0.16674999999999998,0.13869638603799309,0.035,0.376,0.16674999999999998,0.13869638603799309,0.21689225435685802,0.16674999999999998,1.0,4,0,1.0,1.0,0,2194.0,8182.5,0,4,5.34,0.08446596947883785,5.208,5.443,5.34,0.08446596947883785,5.340667982565477,5.34,1.0,4,0,1.0,1.0,0,15922.0,17964.0,0,4,0.031250000000000014,0.20817945984174327,-0.301,0.274,0.031250000000000014,0.20817945984174327,0.21051187614954173,0.18175000000000002,1.0,4,0,1.0,1.0,0,23356.0,24432.5,0,4,29.58875,1.345348909205341,28.34,31.812,29.58875,1.345348909205341,29.619319544007084,29.58875,1.0,4,0,1.0,1.0,0,13805.0,15670.25,0,4,0.8705,0.00743303437365926,0.858,0.877,0.2705,0.00743303437365926,0.27060210642195676,0.2705,0.0,0,0,1.0,1.0,0,5121.0,5928.75,0,4,0.308,0.0007071067811865482,0.307,0.309,-0.292,0.0007071067811865482,0.2920008561631284,0.292,1.0,4,0,1.0,1.0,0,16264.0,17175.25,0
71,71,power_law,3.657,1.0,10529.0,-1.343,1.343,26.86,0,1,1.832,1.0,11663.0,-0.16799999999999993,0.16799999999999993,8.399999999999997,1,1,2.79,1.0,15883.0,-2.21,2.21,44.2,1,1,2.579,1.0,8094.0,0.5790000000000002,0.5790000000000002,28.95000000000001,1,1,0.845,1.0,11308.0,-0.15500000000000003,0.15500000000000003,15.500000000000004,0,1,0.013,1.0,27697.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.292,1.0,32366.0,-0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,17.141,1.0,36207.0,-0.8590000000000018,0.8590000000000018,4.772222222222232,1,1,4,0.06775,0.04061634523193834,0.026,0.135,0.06775,0.04061634523193834,0.0789920882114152,0.06775,1.0,4,0,1.0,1.0,0,1917.0,9312.25,0,4,5.4072499999999994,0.2636279338385827,5.092,5.788,5.4072499999999994,0.2636279338385827,5.413672713602106,5.4072499999999994,1.0,4,0,1.0,1.0,0,13593.0,17660.25,0,4,0.1015,0.1634403560935915,-0.161,0.261,0.1015,0.1634403560935915,0.19239282730912813,0.182,1.0,4,0,1.0,1.0,0,6300.0,17089.5,0,4,28.00675,1.584900055997224,26.401,30.231,28.00675,1.584900055997224,28.05155884705875,28.00675,1.0,4,0,1.0,1.0,0,11910.0,16618.5,0,4,0.8955000000000001,0.0094472218138456,0.882,0.908,0.29550000000000004,0.0094472218138456,0.29565097665997997,0.29550000000000004,0.0,0,0,1.0,1.0,0,3577.0,4810.25,0,4,0.32375,0.001785357107135714,0.322,0.326,-0.27624999999999994,0.001785357107135714,0.27625576917052785,0.27624999999999994,1.0,4,0,1.0,1.0,0,8188.0,8375.25,0
