,Metric,Value
0,Model,power_law
1,True Value,0.60
2,N Simulations,100
3,Mean Estimate,0.32 ± 0.03
4,Mean Bias,-0.28 ± 0.03
5,RMSE,0.28 ± 0.03
6,Coverage Rate,100.00 ± 0.00
7,Mean R-hat,1.00
8,Mean ESS (bulk),15561
9,N with ESS < 400,0.0
