,Model,Parameter,True Value,N Simulations,Mean Estimate,Mean Bias,Mean Abs Bias,Mean Relative Error,Coverage,Converged,Low ESS,Mean R-hat,Mean ESS (bulk)
0,power_law,scale1,5.00,100,4.50 ± 0.62,-0.50 ± 0.62,0.64,12.90,89.0%,100.0%,0.0%,1.00,10907
1,power_law,exponent1,2.00,100,1.99 ± 0.11,-0.01 ± 0.11,0.09,4.48,99.0%,100.0%,0.0%,1.00,11317
2,power_law,scale2,5.00,100,2.89 ± 0.30,-2.11 ± 0.30,2.11,42.15,100.0%,99.0%,1.0%,1.00,15440
3,power_law,exponent2,2.00,100,2.53 ± 0.15,0.53 ± 0.15,0.53,26.60,100.0%,99.0%,0.0%,1.00,16435
4,power_law,weight,1.00,100,0.80 ± 0.02,-0.20 ± 0.02,0.20,19.55,0.0%,100.0%,0.0%,1.00,11017
5,power_law,q_param,0.01,100,0.01 ± 0.00,0.00 ± 0.00,0.00,31.10,93.0%,100.0%,1.0%,1.00,28858
6,power_law,pi0,0.30,100,0.30 ± 0.01,0.00 ± 0.01,0.01,3.82,97.0%,99.0%,2.0%,1.00,31920
7,power_law,phi,18.00,100,18.12 ± 1.32,0.12 ± 1.32,1.05,5.82,94.0%,99.0%,1.0%,1.00,25289
