,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,0.14 ± 0.06
4,Mean Bias,0.14 ± 0.06
5,RMSE,0.16 ± 0.09
6,Coverage Rate,100.00 ± 0.00
7,Mean R-hat,1.03
8,Mean ESS (bulk),13567
9,N with ESS < 400,0.1
