,coord_x,coord_y,y_obs,y_pred,y_low,y_high,y_std
0,529286.3973489881,181084.1173568114,0.0,0.023409974001002823,0.0,0.1885125421868532,0.06351583311703221
1,529289.8149757241,181079.7481055296,0.0555555555555555,0.022898267206537003,0.0,0.18666927653151438,0.05995481885723393
2,529291.7306369036,181075.34064446908,0.0,0.024534542901637174,0.0,0.19688094380189614,0.06504617630373921
3,529293.5114145369,181070.3275635728,0.0,0.024665317178288963,0.0,0.1974998146524205,0.06416374798622679
4,529295.3550454364,181065.79783335765,0.0,0.025522200824295446,0.0,0.19832455783329866,0.0672255611129461
5,529297.4239756963,181061.27383579296,0.2777777777777778,0.02597447588146702,0.0,0.2036460303917432,0.06583809399874467
6,529300.1718612342,181056.6466755313,0.0555555555555555,0.026515119201867287,0.0,0.2024714602262314,0.06640628979528093
7,529302.4277446445,181050.68218308283,0.0,0.027459976333778707,0.0,0.21150887956523154,0.06831316415860657
8,529304.8721815533,181046.1677421704,0.0,0.02816891629719344,0.0,0.21404558501968743,0.07036840827739399
9,529286.4466052917,181000.33092507027,0.0,0.024589493627070694,0.0,0.19549228246055458,0.06393315749914927
10,529289.868293883,180993.75938101992,0.0,0.024987250569300037,0.0,0.1973781482591938,0.06479552111994276
11,529292.0374070337,180990.1523387432,0.0,0.024630447658122567,0.0,0.19947815841705036,0.06484117383856848
12,529294.7714112727,180986.11576255225,0.0,0.02453526043527998,0.0,0.1966731819969141,0.06331535448771067
13,529298.6747000506,180979.66745264063,0.0,0.025519220893864387,0.0,0.19838788519714567,0.06670418060677771
14,529275.7296236021,181020.81668393456,0.0,0.02302140919581562,0.0,0.1888254033024661,0.05922335886960885
15,529280.0446543538,181023.7403643604,0.0,0.024277139863192066,0.0,0.19453217960260286,0.06446884814474367
16,529283.9591717446,181026.0614567432,0.1111111111111111,0.02477359698154199,0.0,0.1970765048061311,0.06439424788913403
17,529287.7813369951,181028.3802028625,0.1111111111111111,0.02542055284385977,0.0,0.19928575580864422,0.06489782803170012
18,529291.1398732383,181030.76120738813,0.0555555555555555,0.02553881476486231,0.0,0.20262214842649287,0.06404806775753269
19,529293.461862699,181033.93039773728,0.0555555555555555,0.026058609117667494,0.0,0.20509382552454972,0.06541258928426631
20,529338.4783542244,181056.0364976903,0.0,0.03399601969519981,0.0,0.238981480826585,0.07819023500593712
21,529340.7850941448,181051.7263453392,0.0,0.03458963490110228,0.0,0.24506160171213998,0.0773775644949203
22,529271.7607787041,181027.73172548928,0.0555555555555555,0.023399285604838487,0.0,0.1892713110152386,0.06248793331242901
23,529268.9283331692,181031.6022871588,0.0,0.022680834605582196,0.0,0.18844412354076215,0.06003512683816718
24,529266.9804881453,181034.96386425363,0.0,0.022885740020158987,0.0,0.18483082436231413,0.06345558082164164
25,529264.018025314,181039.86306592892,0.0,0.021409090052189435,0.0,0.1796946070314156,0.05799019768681248
26,529261.442583664,181043.4929420211,0.0,0.0215878235761596,0.0,0.17910502721537278,0.05915472228711931
27,529259.3030465321,181047.4181664789,0.0555555555555555,0.021476137025446734,0.0,0.18331686805913724,0.05982688373989679
28,529256.7384496109,181050.6219302344,0.0,0.02070206613235173,0.0,0.1757902050218179,0.05553728406648565
29,529253.7054424922,181054.80869255087,0.3333333333333333,0.020482659060691098,0.0,0.17315145562080797,0.058630317842129596
30,529251.2150278767,181058.5828659304,0.0,0.020334490859569464,0.0,0.17352508345780895,0.05791764629603602
