,coord_x,coord_y,y_obs,y_pred,y_low,y_high,y_std
0,529286.3973489881,181084.1173568114,0.0,0.020469137046139153,0.0,0.17560975811460852,0.057664916359474704
1,529289.8149757241,181079.7481055296,0.0555555555555555,0.020782593695548423,0.0,0.17910590803992893,0.058211768686717534
2,529291.7306369036,181075.34064446908,0.0,0.021309041884530474,0.0,0.1799783595637726,0.058049227478370304
3,529293.5114145369,181070.3275635728,0.0,0.021557641267310346,0.0,0.18071886998776804,0.05822726718543974
4,529295.3550454364,181065.79783335765,0.0,0.02267919912094794,0.0,0.1852536984309902,0.06340047895192104
5,529297.4239756963,181061.27383579296,0.2777777777777778,0.022526683926586948,0.0,0.18556167591510975,0.059927946173964526
6,529300.1718612342,181056.6466755313,0.0555555555555555,0.023524923742310206,0.0,0.19161781066571795,0.06240654513005297
7,529302.4277446445,181050.68218308283,0.0,0.02388680381693448,0.0,0.1903339098843735,0.06296664332980485
8,529304.8721815533,181046.1677421704,0.0,0.024146729616717023,0.0,0.1933638777609287,0.0656808753290758
9,529286.4466052917,181000.33092507027,0.0,0.020882226682234363,0.0,0.17713361981880932,0.05875288927408689
10,529289.868293883,180993.75938101992,0.0,0.02065333627102375,0.0,0.17670268410432297,0.05883523428777321
11,529292.0374070337,180990.1523387432,0.0,0.020913103598524736,0.0,0.17950400406051847,0.058011561130191104
12,529294.7714112727,180986.11576255225,0.0,0.021320704157200075,0.0,0.18119856420577551,0.06011848277022255
13,529298.6747000506,180979.66745264063,0.0,0.02157388856771353,0.0,0.1795451218755308,0.0583928225199408
14,529275.7296236021,181020.81668393456,0.0,0.019553915078978103,0.0,0.17052948074875018,0.05385374498169642
15,529280.0446543538,181023.7403643604,0.0,0.020611924438789172,0.0,0.1772309338788235,0.05949219768118435
16,529283.9591717446,181026.0614567432,0.1111111111111111,0.02046667054265153,0.0,0.1754137076195123,0.05664881673686747
17,529287.7813369951,181028.3802028625,0.1111111111111111,0.020999696632548626,0.0,0.1793964381018372,0.05821093889006509
18,529291.1398732383,181030.76120738813,0.0555555555555555,0.021380477512101866,0.0,0.1823974350417215,0.05859876090034764
19,529293.461862699,181033.93039773728,0.0555555555555555,0.0226626682309394,0.0,0.18792999556563242,0.05958429409663711
20,529338.4783542244,181056.0364976903,0.0,0.030160116094460666,0.0,0.22377279944575273,0.07251733281712355
21,529340.7850941448,181051.7263453392,0.0,0.029869032808345693,0.0,0.2210427696464276,0.07174412520248154
22,529271.7607787041,181027.73172548928,0.0555555555555555,0.01916272491960916,0.0,0.1689434403422043,0.055046612715169994
23,529268.9283331692,181031.6022871588,0.0,0.01936514081791686,0.0,0.1694396788941459,0.055228323132538344
24,529266.9804881453,181034.96386425363,0.0,0.019115382322783123,0.0,0.16801892816151548,0.05636271450780547
25,529264.018025314,181039.86306592892,0.0,0.019149060168852435,0.0,0.16678125786575695,0.05657053481101418
26,529261.442583664,181043.4929420211,0.0,0.01832167347617075,0.0,0.1644956367794943,0.052979067449931604
27,529259.3030465321,181047.4181664789,0.0555555555555555,0.01790180270323334,0.0,0.16195831101892966,0.0514434858631172
28,529256.7384496109,181050.6219302344,0.0,0.0182165338337617,0.0,0.1636666345768917,0.05367109655183685
29,529253.7054424922,181054.80869255087,0.3333333333333333,0.01704927747953159,0.0,0.1543434625704898,0.04966623029567575
30,529251.2150278767,181058.5828659304,0.0,0.017766543354095995,0.0,0.15657007126880254,0.05443245898358288
31,529249.082729183,181062.2240181096,0.0,0.017191540374927202,0.0,0.15639055045326175,0.051684697713777254
32,529246.9829445004,181064.58682714903,0.0,0.01710678512183381,0.0,0.1558959513714862,0.05255540407451751
33,529233.1524292668,181074.8948614692,0.0,0.014957325087134704,0.0,0.1430764256240414,0.04695847968185008
34,529237.6958993884,181077.56874345447,0.0,0.015691384522237055,0.0,0.1464764363190598,0.04718595352771877
35,529242.7005493981,181079.54370771648,0.0,0.016211291501775874,0.0,0.1515497317712608,0.05148301226167226
36,529247.0848230808,181081.50289940505,0.0,0.016505921106929656,0.0,0.14972851376161653,0.051355234693993196
37,529252.6067634983,181084.05955010848,0.0,0.01724574305423174,0.0,0.1564600101474159,0.05242629393980175
38,529257.7108643547,181085.6106687257,0.0,0.017822674392357372,0.0,0.15975527174626988,0.053648725578089584
39,529263.4208828902,181087.74572492173,0.0,0.01793857769134764,0.0,0.16145704468233554,0.05303547742822311
40,529269.96655975,181091.89186600532,0.0,0.018801543443060495,0.0,0.16324534351361047,0.05613936284951208
41,529283.7450338227,181052.49519058783,0.0555555555555555,0.021084686249962292,0.0,0.17949902714326257,0.05906358637401588
42,529285.9335368793,181049.17860803264,0.1111111111111111,0.021051653177864452,0.0,0.17691724631721206,0.05708685560714463
43,529288.381021426,181044.54379955376,0.0,0.021553672224470754,0.0,0.18198284896442513,0.05859471184690713
44,529290.4132084824,181041.46411751767,0.0,0.02165483416356242,0.0,0.18347311077744158,0.05802521818848956
45,529293.8367597392,181013.75004184863,0.1111111111111111,0.02196544120896289,0.0,0.18230445299991996,0.05996788004996678
46,529299.1607676313,181017.05953830216,0.0,0.023071814408306895,0.0,0.18661954059792607,0.061255651229753905
47,529302.8052570344,181008.588061844,0.1111111111111111,0.023137136690877132,0.0,0.18794861729972326,0.061038922173371674
48,529305.2500220948,181004.07466416544,0.0,0.02354228427188166,0.0,0.19185170008181754,0.061239205242874094
49,529308.0240760008,180999.51705272688,0.0,0.023166925950308972,0.0,0.1915147870322106,0.06131482402008725
50,529310.8570375943,180995.2239070023,0.1111111111111111,0.02388705843651175,0.0,0.19143815631639938,0.06311506932979506
51,529312.8948404226,180988.9439608284,0.2777777777777778,0.02369028939072039,0.0,0.19472902255792335,0.06269839171666625
52,529316.1679606001,180983.8325606417,0.1666666666666666,0.0238303713297308,0.0,0.19057531153665377,0.0635594680770672
53,529323.8580000873,180971.12023664004,0.0,0.02358317502409885,0.0,0.19072636138446242,0.06169557978057349
54,529325.5285966779,180967.227380768,0.0555555555555555,0.02370605888377648,0.0,0.1912228395500215,0.062051738100854174
55,529328.3029480567,180962.41812479496,0.0,0.023725301078836095,0.0,0.19165478095245586,0.06258880895805684
56,529328.9218387355,180957.3966040348,0.0555555555555555,0.023149527056720878,0.0,0.19353182165897065,0.06182350061323087
57,529337.6236247377,180947.3860946148,0.0555555555555555,0.023659142645409303,0.0,0.1913063590158726,0.06385965754097206
58,529370.5972220169,180994.8201132037,0.1111111111111111,0.03493647037818693,0.0,0.24095556472398477,0.07937991025268899
59,529365.7574481982,180992.0208638,0.1111111111111111,0.03225595958485954,0.0,0.23448147830507185,0.07389562580362281
60,529360.7874781506,180990.4776230992,0.0,0.031255976787585196,0.0,0.2300420850393638,0.07350371001943304
61,529357.1375926425,180987.23642565164,0.1666666666666666,0.030850047287784958,0.0,0.2282046548917933,0.07171042751089426
62,529351.4845195116,180985.5183925008,0.1111111111111111,0.029482106215809857,0.0,0.22001252707254632,0.0699494536593796
63,529346.8010031471,180984.29728622056,0.1666666666666666,0.028422829250374797,0.0,0.21666261320056932,0.06893171508824526
64,529341.3762670797,180981.32575838847,0.0555555555555555,0.027267802504053425,0.0,0.2123592266164663,0.06930798091528
65,529336.7568004158,180977.5876564897,0.1666666666666666,0.025554821567152133,0.0,0.20130896964406142,0.06314067092735291
66,529341.0395509113,180971.40006248752,0.0,0.02565260678926706,0.0,0.20526728787357995,0.06589829083092656
