,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,-1.25 ± 0.82
4,Mean Bias,-1.25 ± 0.82
5,RMSE,1.51 ± 0.71
6,Coverage Rate,93.50 ± 14.04
7,Mean R-hat,1.00
8,Mean ESS (bulk),7793
9,N with ESS < 400,0.1
