simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
0,exponential,0.470233312,0.107599533,0.048738382,0.28968254,0.29014419,0.007936508,0.008786241,0.799137702,0.062441921
0,gaussian,0.383679938,0.116056967,0.055788299,0.28968254,0.290035435,0.007936508,0.008750806,0.656242932,0.081686983
0,power_law,0.501247441,0.104402436,0.046319007,0.28968254,0.290392237,0.007936508,0.008788473,0.831244847,0.057234193
1,exponential,0.44964266,0.106039275,0.048124,0.273809524,0.275213263,0.006944444,0.00780013,0.773020116,0.064254994
1,gaussian,0.390374887,0.11160298,0.053287283,0.273809524,0.275205419,0.006944444,0.007779359,0.649044419,0.07989862
1,power_law,0.474995207,0.103568098,0.0454684,0.273809524,0.275080047,0.006944444,0.007793031,0.820269291,0.057177392
2,exponential,0.443918012,0.099110837,0.045454133,0.287698413,0.288149895,0.004960317,0.005911985,0.772650323,0.062382777
2,gaussian,0.379515043,0.104692931,0.050906114,0.287698413,0.288308315,0.004960317,0.005891183,0.632674474,0.079294504
2,power_law,0.465596862,0.097159714,0.043153569,0.287698413,0.28807983,0.004960317,0.005859468,0.821851169,0.055221604
3,exponential,0.527531044,0.089878402,0.043601094,0.26984127,0.270235243,0.00297619,0.003912946,0.773482191,0.06444871
3,gaussian,0.474014313,0.094832165,0.047941623,0.26984127,0.270477803,0.00297619,0.003906963,0.678385601,0.07679462
3,power_law,0.557150143,0.087015568,0.041077945,0.26984127,0.270368676,0.00297619,0.003911644,0.815100033,0.058227946
4,exponential,0.450818656,0.10556764,0.046311725,0.276785714,0.278374318,0.006944444,0.007812903,0.77714122,0.063543045
4,gaussian,0.375311649,0.112591246,0.053238871,0.276785714,0.278517826,0.006944444,0.007822669,0.63657102,0.081145217
4,power_law,0.477937131,0.102928188,0.043641648,0.276785714,0.278427362,0.006944444,0.0077469,0.819556477,0.057177321
5,exponential,0.463095684,0.095415643,0.044620549,0.287698413,0.288485584,0.004960317,0.005846168,0.751875027,0.063423103
5,gaussian,0.41264772,0.099797684,0.048841167,0.287698413,0.288576513,0.004960317,0.005833271,0.648938001,0.075440431
5,power_law,0.48915835,0.09307098,0.042663925,0.287698413,0.288352679,0.004960317,0.005855872,0.789987946,0.058349127
6,exponential,0.490076776,0.090562107,0.04517916,0.256944444,0.257643353,0.00297619,0.0039211,0.729941314,0.067268666
6,gaussian,0.434386049,0.09537931,0.049837826,0.256944444,0.257802858,0.00297619,0.003891555,0.624228804,0.079349735
6,power_law,0.52652364,0.087265639,0.042620124,0.256944444,0.25744646,0.00297619,0.003929594,0.779516545,0.060781546
7,exponential,0.381404224,0.111670757,0.049140325,0.287698413,0.288358321,0.007936508,0.008784071,0.765039956,0.063252659
7,gaussian,0.328148896,0.116378432,0.054523301,0.287698413,0.288321894,0.007936508,0.008754619,0.641919643,0.078085793
7,power_law,0.409287848,0.10912492,0.046750325,0.287698413,0.2884211,0.007936508,0.008720486,0.81101968,0.056727033
8,exponential,0.566044653,0.082142182,0.042714108,0.267857143,0.270636905,0.000992063,0.001924975,0.766386553,0.065652881
8,gaussian,0.510390845,0.087250611,0.047027417,0.267857143,0.268246745,0.000992063,0.001943607,0.677925297,0.077087361
8,power_law,0.599781598,0.078884602,0.040646466,0.267857143,0.268473493,0.000992063,0.001968688,0.795109693,0.06148449
9,exponential,0.47389288,0.104227812,0.046143486,0.286706349,0.288182602,0.006944444,0.007810516,0.785377529,0.063560086
9,gaussian,0.392860907,0.111967151,0.05256891,0.286706349,0.288217014,0.006944444,0.007789156,0.641779092,0.082114972
9,power_law,0.489148299,0.102705559,0.044706967,0.286706349,0.288059834,0.006944444,0.007786582,0.813498945,0.059249887
10,exponential,0.441055033,0.108194746,0.048248128,0.282738095,0.283841704,0.006944444,0.007771174,0.789855404,0.063303287
10,gaussian,0.377359907,0.114193185,0.05424936,0.282738095,0.284087178,0.006944444,0.007788721,0.656369174,0.080949321
10,power_law,0.47232429,0.105124803,0.045848963,0.282738095,0.283898903,0.006944444,0.007804377,0.833050629,0.056423438
11,exponential,0.500925042,0.092294783,0.045629486,0.287698413,0.288928013,0.003968254,0.004879371,0.745791468,0.066396685
11,gaussian,0.432736787,0.098398068,0.050075257,0.287698413,0.288823289,0.003968254,0.004849206,0.637540312,0.079283204
11,power_law,0.551130808,0.087529442,0.0426002,0.287698413,0.288847594,0.003968254,0.004877015,0.800550604,0.058812237
12,exponential,0.375245148,0.106447079,0.051183021,0.291666667,0.292363715,0.005952381,0.006847346,0.693002918,0.071452404
12,gaussian,0.345576699,0.108945252,0.053608152,0.291666667,0.292344897,0.005952381,0.006817274,0.629565473,0.078488395
12,power_law,0.426847108,0.101956325,0.045970874,0.291666667,0.292351625,0.005952381,0.006834759,0.793914571,0.058542783
13,exponential,0.522444329,0.09192565,0.043976481,0.278769841,0.279864025,0.003968254,0.004871187,0.777974079,0.063390134
13,gaussian,0.458918012,0.097848967,0.048901514,0.278769841,0.280127821,0.003968254,0.004869637,0.662563441,0.078147645
13,power_law,0.548793994,0.089353618,0.041465857,0.278769841,0.279688275,0.003968254,0.004875992,0.816879429,0.057568961
14,exponential,0.517703201,0.095275804,0.047765546,0.282738095,0.283594835,0.004960317,0.005860026,0.754266296,0.06740356
14,gaussian,0.4395803,0.102702763,0.053865388,0.282738095,0.283793527,0.004960317,0.005895647,0.625149633,0.083249079
14,power_law,0.547216338,0.092314688,0.044841545,0.282738095,0.283818948,0.004960317,0.005880301,0.796780461,0.06129615
15,exponential,0.338324699,0.12062031,0.056124454,0.280753968,0.281145616,0.009920635,0.010718037,0.729616968,0.067843447
15,gaussian,0.314140628,0.122804849,0.05837971,0.280753968,0.28153342,0.009920635,0.010724268,0.671183792,0.074816054
15,power_law,0.380814748,0.116683186,0.051298164,0.280753968,0.281285466,0.009920635,0.010739862,0.808565445,0.057085835
16,exponential,0.377365597,0.113855045,0.050798673,0.283730159,0.283647755,0.008928571,0.009899709,0.775417339,0.061248925
16,gaussian,0.338638735,0.117342436,0.054735734,0.283730159,0.283740668,0.008928571,0.00976361,0.67671017,0.073486299
16,power_law,0.400396684,0.111729469,0.047521418,0.283730159,0.283924727,0.008928571,0.009786675,0.829674352,0.053339677
17,exponential,0.460444805,0.101634202,0.048226545,0.279761905,0.281353547,0.004960317,0.005836992,0.716227775,0.073160057
17,gaussian,0.416867347,0.105658788,0.051419731,0.279761905,0.281199839,0.004960317,0.005889633,0.640973768,0.08229097
17,power_law,0.522783509,0.095582782,0.042834365,0.279761905,0.2812398,0.004960317,0.005867994,0.803663638,0.060854046
