,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.32350581773000003,0.05723420426687306,0.10621600580999999,0.011045357093697923,0.05341824947,0.0038431868926609154,0.27956349205,0.012967931593826726,0.28043794149,0.01284757887501639,0.00707341252,0.0025131286297425215,0.00791918618,0.0024655668352438938,0.63927443242,0.030842505183509054,0.06831278647,0.0031362950796638978
gaussian,0.2936671535,0.052467914310259885,0.108528846,0.010800618687130257,0.05603436907,0.003816780529664722,0.27956349205,0.012967931593826726,0.28049248325,0.012889578337003998,0.00707341252,0.0025131286297425215,0.007938695439999999,0.0024825083602343086,0.57169376891,0.03464076012440685,0.07445119842999999,0.0033873694833931214
power_law,0.35981663064999997,0.06193411222350356,0.10332829812,0.011310136414248977,0.04997212676,0.003658674223347644,0.27956349205,0.012967931593826726,0.28040542163000004,0.012893621779247036,0.00707341252,0.0025131286297425215,0.00794089813,0.0024738784764225053,0.71706329212,0.022085388352159903,0.060509315189999996,0.0025835871491860394
