,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.43111479928999996,0.06378531763502009,0.10597027556000001,0.010903761543811993,0.04873622569,0.004011753012524333,0.28046626984,0.01258692297138284,0.28129034937,0.01254461440802329,0.006994047410000001,0.002597627046453328,0.0078632391,0.0025557777986967537,0.75826906186,0.03040688754094476,0.06474802761000001,0.0036980405172199983
gaussian,0.38043054108,0.05504121368254324,0.11063176758000001,0.010425007485663091,0.05336931076,0.0040074414213289895,0.28046626984,0.01258692297138284,0.2814017668,0.012555652268191995,0.006994047410000001,0.002597627046453328,0.00785460783,0.002555238892450599,0.65201675169,0.028090162367640135,0.07782766095999999,0.0037951217239817273
power_law,0.45905744943000004,0.06582051649661523,0.10333978092000001,0.011227765958750767,0.046065900070000006,0.0038136248182089327,0.28046626984,0.01258692297138284,0.28129461402,0.012521126836332658,0.006994047410000001,0.002597627046453328,0.007849476020000001,0.002551242856326146,0.8062588536799999,0.01577819973993382,0.05805309164,0.0024793631496468583
