,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.26002032909,0.05009126058246876,0.1092840814,0.010969449046863387,0.05832788877,0.0037811458887402538,0.27907738094,0.013927269421780082,0.27989982048,0.013826225715132518,0.007291666489999999,0.002646911503798569,0.008153005,0.002607918596979882,0.54224280673,0.02442101621569101,0.07331175308,0.002913889568392071
gaussian,0.23440302895999998,0.04423741188891865,0.11115050691,0.010717649698578035,0.06080174125,0.0037983539707600994,0.27907738094,0.013927269421780082,0.27993019629,0.013810011650894034,0.007291666489999999,0.002646911503798569,0.00815237876,0.0026028856718143404,0.47652209491,0.021818627850665587,0.07841990877999999,0.0031112208948328468
power_law,0.30313663573,0.058859665202678844,0.10606321409,0.01139040257904039,0.054167732510000004,0.0037339472663815584,0.27907738094,0.013927269421780082,0.27987985768,0.013785106113743341,0.007291666489999999,0.002646911503798569,0.00815491627,0.0026077147630825777,0.6476657339099999,0.022706641369934923,0.06429227002,0.00243296508044768
