simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
16,exponential,0.167252127,0.114986057,0.059474656,0.304,0.303388094,0.009,0.009851906,0.648724807,0.058311614
16,gaussian,-0.000281015,0.126022888,0.06975107,0.304,0.303384188,0.009,0.009866938,0.311179978,0.081655268
16,power_law,0.226617691,0.110811678,0.053713069,0.304,0.304048094,0.009,0.009816156,0.647311367,0.058428812
17,exponential,0.122408273,0.122407296,0.062917475,0.284,0.284318313,0.01,0.010824531,0.595738737,0.063386277
17,gaussian,0.004766074,0.13035378,0.071291429,0.284,0.284439781,0.01,0.010820938,0.293894488,0.083772018
17,power_law,0.186280958,0.117868643,0.056069695,0.284,0.284687219,0.01,0.010829656,0.612919702,0.062024705
18,exponential,0.196017521,0.125059702,0.065443246,0.298,0.298328531,0.011,0.011790156,0.605388862,0.069282496
18,gaussian,-0.037768902,0.142083754,0.08108851,0.298,0.297223344,0.011,0.011842688,0.260040934,0.094873015
18,power_law,0.231372498,0.12227905,0.059301419,0.298,0.298749,0.011,0.011826156,0.596100426,0.070093146
19,exponential,0.310737779,0.103416977,0.054066167,0.28,0.281731813,0.006,0.006890406,0.672073913,0.063706801
19,gaussian,0.027152698,0.122863234,0.071257402,0.28,0.280754219,0.006,0.006883219,0.275446559,0.094696303
19,power_law,0.335327415,0.101555509,0.050690027,0.28,0.281797281,0.006,0.006854094,0.639611942,0.066785627
20,exponential,0.144373957,0.1134911,0.058262942,0.266,0.266607656,0.009,0.009869781,0.595112888,0.057909915
20,gaussian,-0.050180596,0.125733731,0.071840322,0.266,0.266048688,0.009,0.009859844,0.129536838,0.084910451
20,power_law,0.192879046,0.110227287,0.052303979,0.266,0.266657594,0.009,0.009862188,0.629634222,0.055386175
21,exponential,0.242710421,0.097944035,0.056943078,0.27,0.2703115,0.004,0.004911469,0.605283194,0.06524671
21,gaussian,-0.085560408,0.11726651,0.072661345,0.27,0.270036781,0.004,0.004951813,0.175828554,0.094281089
21,power_law,0.31781334,0.092960535,0.050940496,0.27,0.270711719,0.004,0.004906219,0.584049582,0.066978681
22,exponential,0.113570923,0.113485154,0.059672096,0.303,0.303032594,0.008,0.008825781,0.612059327,0.059018818
22,gaussian,-0.113279376,0.127180093,0.072271586,0.303,0.302488,0.008,0.008834406,0.167223011,0.086471343
22,power_law,0.196894199,0.108019817,0.053127838,0.303,0.303659188,0.008,0.008842375,0.6070537,0.059398359
23,exponential,0.155536921,0.108018888,0.058106271,0.294,0.293924344,0.007,0.007885406,0.652340029,0.056420474
23,gaussian,-0.020397768,0.118739201,0.066563216,0.294,0.294334625,0.007,0.007875875,0.232603156,0.083824194
23,power_law,0.23546184,0.102780081,0.050009231,0.294,0.294382188,0.007,0.00785925,0.644680862,0.057038577
24,exponential,0.29658854,0.095140502,0.054633892,0.248,0.249085594,0.005,0.005866375,0.60649956,0.062016144
24,gaussian,0.009605175,0.11289245,0.069783793,0.248,0.248937844,0.005,0.005932781,0.090790882,0.094267946
24,power_law,0.362943779,0.090541899,0.048243751,0.248,0.249282531,0.005,0.005906375,0.611137584,0.061649582
25,exponential,0.157080217,0.106885181,0.059357966,0.271,0.270053531,0.006,0.006924781,0.612040193,0.061711424
25,gaussian,-0.090544176,0.121575484,0.072687512,0.271,0.269892531,0.006,0.006923719,0.191476568,0.089087855
25,power_law,0.225129428,0.102479963,0.053360842,0.271,0.270652688,0.006,0.006892563,0.586852371,0.063683193
26,exponential,0.180796436,0.120739253,0.063875828,0.281,0.281577344,0.01,0.010831406,0.586803621,0.067072647
26,gaussian,-0.127473891,0.141646489,0.083576523,0.281,0.280660219,0.01,0.0108435,0.088913638,0.099597162
26,power_law,0.2446568,0.115937713,0.056324454,0.281,0.281811469,0.01,0.010784406,0.604584571,0.065613619
27,exponential,0.215876117,0.109554734,0.057106783,0.284,0.283873563,0.008,0.008831469,0.674425783,0.056865137
27,gaussian,-0.00332096,0.12392495,0.070080557,0.284,0.283842344,0.008,0.008841125,0.268136686,0.085258183
27,power_law,0.279319199,0.105029255,0.05131132,0.284,0.284433219,0.008,0.008866438,0.65828258,0.058257876
28,exponential,0.140946747,0.117615179,0.062245135,0.304,0.304114031,0.009,0.009913563,0.623967244,0.060972826
28,gaussian,-0.160839449,0.136722316,0.080762475,0.304,0.303671563,0.009,0.009810094,-0.067734354,0.102743674
28,power_law,0.20472131,0.113165228,0.056197954,0.304,0.304526281,0.009,0.009847,0.597655687,0.06306994
29,exponential,0.287459368,0.085944647,0.049492601,0.289,0.289175344,0.002,0.002953531,0.666207081,0.058834369
29,gaussian,-0.115748263,0.107546709,0.064285807,0.289,0.288391531,0.002,0.002950406,0.285486829,0.086079088
29,power_law,0.368081469,0.080936526,0.044837631,0.289,0.28959075,0.002,0.002967375,0.634598096,0.06155707
30,exponential,0.152054351,0.102524573,0.056980188,0.284,0.283818406,0.005,0.005907344,0.60699166,0.061111688
30,gaussian,-0.017610783,0.112314237,0.066039281,0.284,0.284247969,0.005,0.005885438,0.217122526,0.086252222
30,power_law,0.228172617,0.097814683,0.050937519,0.284,0.284410344,0.005,0.005920406,0.597332372,0.061858125
31,exponential,0.204434451,0.108862018,0.057894275,0.283,0.283428188,0.007,0.007857063,0.629544848,0.062472448
31,gaussian,0.000434127,0.122023676,0.070343935,0.283,0.282727563,0.007,0.00787725,0.295457864,0.08615375
31,power_law,0.261177458,0.104907965,0.051916796,0.283,0.283896188,0.007,0.007849969,0.619353971,0.063325898
32,exponential,0.231378585,0.100614499,0.057436743,0.315,0.314570438,0.005,0.005926125,0.614529201,0.064455191
32,gaussian,-0.000149308,0.114772212,0.067782278,0.315,0.314327094,0.005,0.005894531,0.277664895,0.088233097
32,power_law,0.29399661,0.096429014,0.052039482,0.315,0.315097188,0.005,0.005903094,0.58190791,0.067127139
33,exponential,0.24041881,0.108001523,0.058508054,0.29,0.290944719,0.007,0.007856625,0.616322726,0.065181776
33,gaussian,-0.023224458,0.125351125,0.074031975,0.29,0.290307313,0.007,0.007832719,0.225244261,0.092624431
33,power_law,0.285433864,0.104752403,0.053685863,0.29,0.291014906,0.007,0.007873375,0.595439389,0.066932177
34,exponential,0.159147237,0.123529798,0.066646535,0.292,0.291833906,0.011,0.011814625,0.601659477,0.064011209
34,gaussian,-0.001551938,0.134818189,0.078603234,0.292,0.291848344,0.011,0.01179325,0.190405756,0.091256223
34,power_law,0.217483614,0.119167677,0.059054462,0.292,0.292668125,0.011,0.011817906,0.599375929,0.064194424
35,exponential,0.142294158,0.122583866,0.06624493,0.27,0.269737969,0.01,0.010878156,0.589752417,0.06542693
35,gaussian,-0.054629755,0.135929631,0.077980695,0.27,0.269691688,0.01,0.010833813,0.198670774,0.091440589
35,power_law,0.201669863,0.11826477,0.05849092,0.27,0.270308344,0.01,0.010807438,0.607106593,0.064028141
