,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.20861809607,0.05506876361290218,0.10979482751999999,0.012029953644390435,0.059575100299999996,0.004587972077259455,0.27964,0.01310371988205924,0.28012472039999997,0.012969095986473476,0.00756,0.0030494907672255606,0.00842367385,0.003001926942851933,0.6164307762500001,0.02916669811050395,0.06301028212,0.0027939381519868343
gaussian,-0.01204719777,0.07651830234089488,0.1239215492,0.011521369677185098,0.07183432751,0.005273803244975909,0.27964,0.01310371988205924,0.27985707608,0.012994776246976805,0.00756,0.0030494907672255606,0.00842528446,0.003001627811225952,0.22652304327,0.08170816672104611,0.08938061101,0.0046156456829901885
power_law,0.26795077769,0.05610878441387318,0.10566953046,0.012422469877157786,0.05318513859,0.003986658021042521,0.27964,0.01310371988205924,0.28045843982,0.013021132930250867,0.00756,0.0030494907672255606,0.008418397939999999,0.003003370218679342,0.6148099488300001,0.020464949257106194,0.06318719986,0.0027501840897596066
