,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,-0.17 ± 0.33
4,Mean Bias,-0.17 ± 0.33
5,RMSE,0.54 ± 0.25
6,Coverage Rate,97.00 ± 8.16
7,Mean R-hat,1.00
8,Mean ESS (bulk),18570
9,N with ESS < 400,0.1
