,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,-0.23 ± 0.99
4,Mean Bias,-0.23 ± 0.99
5,RMSE,1.13 ± 1.52
6,Coverage Rate,98.75 ± 6.53
7,Mean R-hat,1.01
8,Mean ESS (bulk),16967
9,N with ESS < 400,0.1
