,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,scale2_post_mean,scale2_rhat,scale2_ess_bulk,scale2_bias,scale2_abs_bias,scale2_relative_error,scale2_covered,scale2_converged,exponent2_post_mean,exponent2_rhat,exponent2_ess_bulk,exponent2_bias,exponent2_abs_bias,exponent2_relative_error,exponent2_covered,exponent2_converged,weight_post_mean,weight_rhat,weight_ess_bulk,weight_bias,weight_abs_bias,weight_relative_error,weight_covered,weight_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fx2,fx2_post_mean_avg,fx2_post_mean_sd,fx2_post_mean_min,fx2_post_mean_max,fx2_bias_mean,fx2_bias_sd,fx2_rmse,fx2_mae,fx2_coverage_rate,fx2_n_covered,fx2_n_rhat_nan,fx2_rhat_mean,fx2_rhat_max,fx2_n_rhat_above_1.01,fx2_ess_bulk_min,fx2_ess_bulk_mean,fx2_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400,n_fy2,fy2_post_mean_avg,fy2_post_mean_sd,fy2_post_mean_min,fy2_post_mean_max,fy2_bias_mean,fy2_bias_sd,fy2_rmse,fy2_mae,fy2_coverage_rate,fy2_n_covered,fy2_n_rhat_nan,fy2_rhat_mean,fy2_rhat_max,fy2_n_rhat_above_1.01,fy2_ess_bulk_min,fy2_ess_bulk_mean,fy2_n_ess_below_400
0,0,power_law,4.983,1.0,4687.0,-0.017000000000000348,0.017000000000000348,0.34000000000000696,1,1,2.163,1.0,6007.0,0.1629999999999998,0.1629999999999998,8.149999999999991,1,1,6.557,1.0,1568.0,1.5570000000000004,1.5570000000000004,31.140000000000008,1,1,2.48,1.0,1324.0,0.48,0.48,24.0,1,1,0.522,1.0,17897.0,-0.07799999999999996,0.07799999999999996,12.999999999999995,1,1,0.017,1.0,1408.0,0.007000000000000001,0.007000000000000001,70.0,1,1,0.324,1.01,36559.0,0.02400000000000002,0.02400000000000002,8.000000000000007,1,1,17.131,1.0,9495.0,-0.8689999999999998,0.8689999999999998,4.827777777777777,1,1,4,0.35225,0.3113056175207894,0.052,0.867,0.35225,0.3113056175207894,0.47009706444520577,0.35225,1.0,4,0,1.0025,1.01,0,6238.0,16780.75,0,4,0.25075,0.06876181716621516,0.158,0.343,0.25075,0.06876181716621516,0.26000721143845223,0.25075,1.0,4,0,1.0025,1.01,0,517.0,6912.5,0,4,-0.258,0.48281828880024835,-0.993,0.319,-0.258,0.48281828880024835,0.5474280774677163,0.4175,1.0,4,0,1.0,1.0,0,1413.0,12160.75,0,4,50.59675,0.2860151875338105,50.15,50.926,0.5967500000000001,0.2860151875338105,0.6617516528124435,0.5967500000000001,1.0,4,0,1.0,1.0,0,3322.0,11288.25,0
1,1,power_law,7.637,1.0,12905.0,2.6369999999999996,2.6369999999999996,52.73999999999999,1,1,2.707,1.0,13846.0,0.7069999999999999,0.7069999999999999,35.349999999999994,1,1,6.255,1.0,10754.0,1.255,1.255,25.1,1,1,2.14,1.0,11842.0,0.14000000000000012,0.14000000000000012,7.000000000000006,1,1,0.547,1.0,15597.0,-0.052999999999999936,0.052999999999999936,8.833333333333323,1,1,0.007,1.0,28140.0,-0.003,0.003,30.0,1,1,0.325,1.0,38148.0,0.025000000000000022,0.025000000000000022,8.333333333333341,1,1,14.469,1.0,22063.0,-3.5310000000000006,3.5310000000000006,19.61666666666667,0,1,4,0.5912499999999999,0.4433990161243031,0.175,1.314,0.5912499999999999,0.4433990161243031,0.7390394103158505,0.5912499999999999,1.0,4,0,1.0,1.0,0,3340.0,12944.25,0,4,0.4215,0.22096323223559164,0.177,0.727,0.4215,0.22096323223559164,0.4759065034226786,0.4215,1.0,4,0,1.0,1.0,0,10500.0,14101.0,0,4,-0.39625,0.25493271171036486,-0.644,0.017,-0.39625,0.25493271171036486,0.4711738002054019,0.40475,1.0,4,0,1.0,1.0,0,16753.0,20314.0,0,4,50.30825,0.29376212740923496,49.912,50.736,0.30824999999999925,0.29376212740923496,0.42581011026042953,0.35224999999999973,1.0,4,0,1.0,1.0,0,16604.0,19619.5,0
2,2,power_law,4.379,1.0,15476.0,-0.6210000000000004,0.6210000000000004,12.420000000000009,1,1,2.172,1.0,15285.0,0.17200000000000015,0.17200000000000015,8.600000000000009,1,1,5.327,1.0,12227.0,0.32699999999999996,0.32699999999999996,6.539999999999998,1,1,2.014,1.0,9989.0,0.01399999999999979,0.01399999999999979,0.6999999999999895,1,1,0.536,1.0,19027.0,-0.06399999999999995,0.06399999999999995,10.666666666666657,1,1,0.018,1.0,33233.0,0.007999999999999998,0.007999999999999998,79.99999999999999,1,1,0.255,1.0,21112.0,-0.044999999999999984,0.044999999999999984,14.999999999999996,1,1,18.853,1.0,22505.0,0.8530000000000015,0.8530000000000015,4.738888888888897,1,1,4,0.2235,0.09198233526063576,0.101,0.359,0.2235,0.09198233526063576,0.2416878151665905,0.2235,1.0,4,0,1.0,1.0,0,8314.0,15962.25,0,4,0.479,0.17907121488391148,0.282,0.7,0.479,0.17907121488391148,0.5113780402011803,0.479,1.0,4,0,1.0,1.0,0,11046.0,14877.25,0,4,0.63725,0.19602853746329893,0.464,0.947,0.63725,0.19602853746329893,0.6667193937482244,0.63725,1.0,4,0,1.0,1.0,0,25932.0,29257.0,0,4,50.533500000000004,0.6138479046148161,49.717,51.182,0.5335000000000001,0.6138479046148161,0.8132843906039267,0.6750000000000007,1.0,4,0,1.0,1.0,0,14489.0,17230.25,0
3,3,power_law,5.508,1.0,9615.0,0.508,0.508,10.16,1,1,2.355,1.0,10654.0,0.355,0.355,17.75,1,1,5.633,1.0,12119.0,0.633,0.633,12.659999999999998,1,1,2.062,1.01,13262.0,0.06199999999999983,0.06199999999999983,3.0999999999999917,1,1,0.521,1.0,3670.0,-0.07899999999999996,0.07899999999999996,13.16666666666666,1,1,0.02,1.0,31567.0,0.01,0.01,100.0,1,1,0.319,1.0,1576.0,0.019000000000000017,0.019000000000000017,6.333333333333339,1,1,16.206,1.0,15308.0,-1.7940000000000005,1.7940000000000005,9.96666666666667,1,1,4,0.18424999999999997,0.09075619813544417,0.093,0.288,0.18424999999999997,0.09075619813544417,0.20538926456852608,0.18424999999999997,1.0,4,0,1.0025,1.01,0,2663.0,10558.75,0,4,0.2945,0.1097599653790033,0.163,0.466,0.2945,0.1097599653790033,0.31428887985418763,0.2945,1.0,4,0,1.0125000000000002,1.02,2,2139.0,13419.0,0,4,-0.2175,0.6402146124542926,-1.008,0.66,-0.2175,0.6402146124542926,0.6761516102177085,0.5905,1.0,4,0,1.005,1.01,0,4054.0,13750.25,0,4,50.76475000000001,0.3486426358034827,50.436,51.283,0.7647500000000012,0.3486426358034827,0.840472634890632,0.7647500000000012,1.0,4,0,1.0,1.0,0,3219.0,7202.75,0
4,4,power_law,4.555,1.0,10240.0,-0.4450000000000003,0.4450000000000003,8.900000000000006,1,1,1.995,1.0,12070.0,-0.004999999999999893,0.004999999999999893,0.24999999999999467,1,1,5.409,1.0,14044.0,0.4089999999999998,0.4089999999999998,8.179999999999996,1,1,2.039,1.0,14717.0,0.039000000000000146,0.039000000000000146,1.9500000000000073,1,1,0.552,1.0,17612.0,-0.04799999999999993,0.04799999999999993,7.999999999999989,1,1,0.013,1.0,29388.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.302,1.0,35470.0,0.0020000000000000018,0.0020000000000000018,0.6666666666666673,1,1,16.393,1.0,20823.0,-1.6069999999999993,1.6069999999999993,8.927777777777774,1,1,4,0.25875,0.1564486736920451,0.094,0.455,0.25875,0.1564486736920451,0.302370220094506,0.25875,1.0,4,0,1.0,1.0,0,8078.0,14379.0,0,4,0.5662499999999999,0.28625807848862533,0.375,1.061,0.5662499999999999,0.28625807848862533,0.6344940898069894,0.5662499999999999,1.0,4,0,1.0,1.0,0,11287.0,15747.5,0,4,-0.12375,0.30784929348627715,-0.361,0.4,-0.12375,0.30784929348627715,0.3317909733552135,0.32375,1.0,4,0,1.0,1.0,0,16693.0,18690.75,0,4,50.36125,0.9756813965122025,48.842,51.299,0.36125000000000007,0.9756813965122025,1.040411336924008,0.9402500000000007,1.0,4,0,1.0,1.0,0,15385.0,18203.0,0
5,5,power_law,4.779,1.0,13054.0,-0.22100000000000009,0.22100000000000009,4.420000000000002,1,1,2.073,1.0,14123.0,0.07299999999999995,0.07299999999999995,3.6499999999999977,1,1,6.511,1.0,14396.0,1.5110000000000001,1.5110000000000001,30.220000000000002,1,1,2.19,1.0,15494.0,0.18999999999999995,0.18999999999999995,9.499999999999996,1,1,0.552,1.0,18312.0,-0.04799999999999993,0.04799999999999993,7.999999999999989,1,1,0.019,1.0,29506.0,0.009,0.009,89.99999999999999,1,1,0.283,1.0,34045.0,-0.017000000000000015,0.017000000000000015,5.666666666666672,1,1,15.22,1.0,19021.0,-2.7799999999999994,2.7799999999999994,15.444444444444441,1,1,4,0.28774999999999995,0.15547728933834679,0.105,0.496,0.28774999999999995,0.15547728933834679,0.32706765355198303,0.28774999999999995,1.0,4,0,1.0,1.0,0,11684.0,17158.75,0,4,0.68275,0.2785681020863659,0.25,1.019,0.68275,0.2785681020863659,0.7373925345431699,0.68275,1.0,4,0,1.0,1.0,0,9478.0,13040.25,0,4,0.0024999999999999953,0.5342440921526415,-0.734,0.716,0.0024999999999999953,0.5342440921526415,0.534249941506782,0.46849999999999997,1.0,4,0,1.0,1.0,0,16644.0,23807.5,0,4,50.336749999999995,0.36073492692003034,49.716,50.61,0.3367500000000003,0.36073492692003034,0.4934878417955197,0.4787499999999998,1.0,4,0,1.0,1.0,0,19166.0,20412.0,0
6,6,power_law,6.037,1.0,13780.0,1.037,1.037,20.74,1,1,2.473,1.0,14183.0,0.47299999999999986,0.47299999999999986,23.64999999999999,1,1,5.872,1.0,11690.0,0.8719999999999999,0.8719999999999999,17.439999999999998,1,1,2.086,1.0,12350.0,0.08599999999999985,0.08599999999999985,4.299999999999993,1,1,0.573,1.0,15446.0,-0.027000000000000024,0.027000000000000024,4.5000000000000036,1,1,0.01,1.0,22385.0,0.0,0.0,0.0,1,1,0.311,1.0,37475.0,0.01100000000000001,0.01100000000000001,3.66666666666667,1,1,16.319,1.0,19176.0,-1.681000000000001,1.681000000000001,9.338888888888894,1,1,4,0.26149999999999995,0.08912210724618218,0.121,0.363,0.26149999999999995,0.08912210724618218,0.2762697956708261,0.26149999999999995,1.0,4,0,1.0,1.0,0,10658.0,13330.75,0,4,0.39125000000000004,0.0893151023063849,0.274,0.517,0.39125000000000004,0.0893151023063849,0.40131502588365664,0.39125000000000004,1.0,4,0,1.0,1.0,0,12783.0,15177.25,0,4,-0.095,0.42935358389094647,-0.722,0.487,-0.095,0.42935358389094647,0.4397379901714201,0.3385,1.0,4,0,1.0,1.0,0,13248.0,18576.5,0,4,49.919999999999995,0.15794302770302757,49.694,50.068,-0.08000000000000007,0.15794302770302757,0.1770480160860306,0.1479999999999979,1.0,4,0,1.0,1.0,0,16340.0,19047.0,0
7,7,power_law,6.091,1.0,11742.0,1.0910000000000002,1.0910000000000002,21.820000000000004,1,1,2.512,1.0,11521.0,0.512,0.512,25.6,1,1,5.77,1.0,11612.0,0.7699999999999996,0.7699999999999996,15.399999999999991,1,1,2.257,1.0,13354.0,0.2570000000000001,0.2570000000000001,12.850000000000005,1,1,0.523,1.0,14071.0,-0.07699999999999996,0.07699999999999996,12.833333333333327,1,1,0.013,1.0,5941.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.28,1.0,27204.0,-0.019999999999999962,0.019999999999999962,6.666666666666654,1,1,15.592,1.0,14478.0,-2.4079999999999995,2.4079999999999995,13.377777777777775,1,1,4,0.3035,0.1893904696651867,0.127,0.623,0.3035,0.1893904696651867,0.3577443221072838,0.3035,1.0,4,0,1.0,1.0,0,7203.0,10884.75,0,4,0.5325,0.28844886895254074,0.126,0.93,0.5325,0.28844886895254074,0.6056063077610735,0.5325,1.0,4,0,1.0,1.0,0,3461.0,10115.5,0,4,-0.1225,0.21846109493454435,-0.329,0.245,-0.1225,0.21846109493454435,0.25046257205418937,0.245,1.0,4,0,1.0,1.0,0,12851.0,16358.5,0,4,49.59675,0.4749154530018986,48.981,50.162,-0.4032499999999999,0.4749154530018986,0.6230210670595324,0.4842499999999994,1.0,4,0,1.0,1.0,0,10261.0,16424.0,0
8,8,power_law,6.692,1.0,15585.0,1.6920000000000002,1.6920000000000002,33.84,1,1,2.48,1.0,15558.0,0.48,0.48,24.0,1,1,6.083,1.0,13945.0,1.0830000000000002,1.0830000000000002,21.660000000000004,1,1,2.207,1.0,14395.0,0.20699999999999985,0.20699999999999985,10.349999999999993,1,1,0.545,1.0,14867.0,-0.05499999999999994,0.05499999999999994,9.166666666666657,1,1,0.022,1.0,21296.0,0.011999999999999999,0.011999999999999999,119.99999999999997,1,1,0.286,1.0,30547.0,-0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,19.673,1.0,23976.0,1.6729999999999983,1.6729999999999983,9.294444444444434,1,1,4,0.61325,0.37750786415649673,0.101,1.158,0.61325,0.37750786415649673,0.7201303701414071,0.61325,1.0,4,0,1.0,1.0,0,3598.0,4410.0,0,4,0.27675,0.1043225167449482,0.165,0.439,0.27675,0.1043225167449482,0.2957596152283134,0.27675,1.0,4,0,1.0,1.0,0,13728.0,17749.25,0,4,-0.48675,0.9092484190252959,-1.584,0.906,-0.48675,0.9092484190252959,1.031338087146984,0.9397500000000001,0.75,3,0,1.0,1.0,0,3422.0,13915.5,0,4,50.12875,0.42825014594276534,49.675,50.797,0.12874999999999837,0.42825014594276534,0.44718536425066435,0.36575000000000024,1.0,4,0,1.0,1.0,0,17919.0,21777.25,0
9,9,power_law,4.106,1.0,11494.0,-0.8940000000000001,0.8940000000000001,17.880000000000003,1,1,1.876,1.0,12295.0,-0.12400000000000011,0.12400000000000011,6.2000000000000055,1,1,4.727,1.0,12467.0,-0.2729999999999997,0.2729999999999997,5.459999999999994,1,1,2.138,1.0,13074.0,0.1379999999999999,0.1379999999999999,6.899999999999995,1,1,0.533,1.0,17054.0,-0.06699999999999995,0.06699999999999995,11.166666666666657,1,1,0.01,1.0,26131.0,0.0,0.0,0.0,1,1,0.318,1.0,32412.0,0.018000000000000016,0.018000000000000016,6.000000000000005,1,1,17.419,1.0,19484.0,-0.5809999999999995,0.5809999999999995,3.227777777777775,1,1,4,0.306,0.23098160099886744,0.06,0.613,0.306,0.23098160099886744,0.3833907927950279,0.306,1.0,4,0,1.0,1.0,0,7461.0,16187.5,0,4,0.22425,0.05794124178855679,0.166,0.319,0.22425,0.05794124178855679,0.23161444255486313,0.22425,1.0,4,0,1.0,1.0,0,16535.0,19679.75,0,4,-0.07550000000000001,0.3310532434518653,-0.559,0.374,-0.07550000000000001,0.3310532434518653,0.3395533831373206,0.2625,1.0,4,0,1.0,1.0,0,18878.0,23671.25,0,4,50.7705,0.6225602380493008,50.099,51.777,0.7704999999999984,0.6225602380493008,0.9905813949393557,0.7704999999999984,0.75,3,0,1.0,1.0,0,18967.0,20536.0,0
