,Model,Parameter,True Value,N Simulations,Mean Estimate,Mean Bias,Mean Abs Bias,Mean Relative Error,Coverage,Converged,Low ESS,Mean R-hat,Mean ESS (bulk)
0,power_law,scale1,5.00,100,4.33 ± 0.99,-0.67 ± 0.99,1.02,20.40,93.0%,98.0%,1.0%,1.00,12280
1,power_law,exponent1,2.00,100,1.96 ± 0.25,-0.04 ± 0.25,0.21,10.28,97.0%,97.0%,1.0%,1.00,12374
2,power_law,scale2,5.00,100,4.28 ± 1.00,-0.72 ± 1.00,1.03,20.59,91.0%,98.0%,1.0%,1.00,12010
3,power_law,exponent2,2.00,100,1.96 ± 0.26,-0.04 ± 0.26,0.22,10.76,97.0%,98.0%,1.0%,1.00,12204
4,power_law,weight,0.60,100,0.52 ± 0.02,-0.08 ± 0.02,0.08,13.58,99.0%,97.0%,1.0%,1.00,12111
5,power_law,q_param,0.01,100,0.01 ± 0.00,0.00 ± 0.00,0.00,21.10,97.0%,97.0%,2.0%,1.00,37943
6,power_law,pi0,0.30,100,0.30 ± 0.01,0.00 ± 0.01,0.01,2.83,98.0%,96.0%,2.0%,1.00,41873
7,power_law,phi,18.00,100,17.95 ± 0.74,-0.05 ± 0.74,0.57,3.19,96.0%,97.0%,0.0%,1.00,35644
