,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,0.70 ± 0.30
4,Mean Bias,0.70 ± 0.30
5,RMSE,0.82 ± 0.37
6,Coverage Rate,100.00 ± 0.00
7,Mean R-hat,1.00
8,Mean ESS (bulk),15031
9,N with ESS < 400,0.1
