,Model,Parameter,True Value,N Simulations,Mean Estimate,Mean Bias,Mean Abs Bias,Mean Relative Error,Coverage,Converged,Low ESS,Mean R-hat,Mean ESS (bulk)
0,power_law,scale1,5.00,100,4.18 ± 0.99,-0.82 ± 0.99,1.10,21.98,90.0%,98.0%,3.0%,1.00,10444
1,power_law,exponent1,2.00,100,1.96 ± 0.18,-0.04 ± 0.18,0.15,7.60,97.0%,99.0%,2.0%,1.00,11840
2,power_law,q_param,0.01,100,0.02 ± 0.01,0.01 ± 0.01,0.01,84.20,98.0%,99.0%,2.0%,1.00,21105
3,power_law,pi0,0.30,100,0.30 ± 0.04,0.00 ± 0.04,0.03,9.13,94.0%,97.0%,1.0%,1.00,23872
4,power_law,phi,18.00,100,17.98 ± 3.02,-0.02 ± 3.02,2.50,13.91,95.0%,99.0%,1.0%,1.00,16117
