,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,scale2_post_mean,scale2_rhat,scale2_ess_bulk,scale2_bias,scale2_abs_bias,scale2_relative_error,scale2_covered,scale2_converged,exponent2_post_mean,exponent2_rhat,exponent2_ess_bulk,exponent2_bias,exponent2_abs_bias,exponent2_relative_error,exponent2_covered,exponent2_converged,weight_post_mean,weight_rhat,weight_ess_bulk,weight_bias,weight_abs_bias,weight_relative_error,weight_covered,weight_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fx2,fx2_post_mean_avg,fx2_post_mean_sd,fx2_post_mean_min,fx2_post_mean_max,fx2_bias_mean,fx2_bias_sd,fx2_rmse,fx2_mae,fx2_coverage_rate,fx2_n_covered,fx2_n_rhat_nan,fx2_rhat_mean,fx2_rhat_max,fx2_n_rhat_above_1.01,fx2_ess_bulk_min,fx2_ess_bulk_mean,fx2_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400,n_fy2,fy2_post_mean_avg,fy2_post_mean_sd,fy2_post_mean_min,fy2_post_mean_max,fy2_bias_mean,fy2_bias_sd,fy2_rmse,fy2_mae,fy2_coverage_rate,fy2_n_covered,fy2_n_rhat_nan,fy2_rhat_mean,fy2_rhat_max,fy2_n_rhat_above_1.01,fy2_ess_bulk_min,fy2_ess_bulk_mean,fy2_n_ess_below_400
0,0,power_law,5.047,1.0,10756.0,0.04699999999999971,0.04699999999999971,0.9399999999999942,1,1,2.352,1.0,10283.0,0.35199999999999987,0.35199999999999987,17.599999999999994,1,1,2.747,1.0,10887.0,-2.253,2.253,45.06,0,1,1.497,1.0,10743.0,-0.5029999999999999,0.5029999999999999,25.149999999999995,0,1,0.543,1.0,12733.0,-0.05699999999999994,0.05699999999999994,9.499999999999991,1,1,0.014,1.0,46637.0,0.004,0.004,40.0,1,1,0.297,1.0,48521.0,-0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,17.943,1.0,46634.0,-0.05699999999999861,0.05699999999999861,0.31666666666665894,1,1,4,0.197,0.16357108546439372,0.063,0.477,0.197,0.16357108546439372,0.2560556580120814,0.197,1.0,4,0,1.0075,1.03,1,203.0,6165.0,1,4,0.05525,0.017597940220378066,0.032,0.078,0.05525,0.017597940220378066,0.05798491183057882,0.05525,1.0,4,0,1.0,1.0,0,10583.0,20997.25,0,4,0.02525,0.3025362581575967,-0.458,0.333,0.02525,0.3025362581575967,0.3035881255912359,0.25425000000000003,1.0,4,0,1.0,1.0,0,9775.0,27232.25,0,4,49.99850000000001,0.16327048110421064,49.833,50.246,-0.0015000000000000568,0.1632704811042106,0.1632773713654173,0.1460000000000008,1.0,4,0,1.0,1.0,0,10898.0,28906.5,0
1,1,power_law,3.585,1.0,14754.0,-1.415,1.415,28.300000000000004,1,1,1.699,1.0,14379.0,-0.30099999999999993,0.30099999999999993,15.049999999999997,1,1,5.439,1.0,14676.0,0.43900000000000006,0.43900000000000006,8.780000000000001,1,1,2.253,1.0,14386.0,0.2530000000000001,0.2530000000000001,12.650000000000006,1,1,0.504,1.0,13258.0,-0.09599999999999997,0.09599999999999997,15.999999999999998,1,1,0.014,1.0,43268.0,0.004,0.004,40.0,1,1,0.295,1.0,51420.0,-0.0050000000000000044,0.0050000000000000044,1.6666666666666683,1,1,17.39,1.0,43636.0,-0.6099999999999994,0.6099999999999994,3.3888888888888857,1,1,4,0.09825,0.059901481617736306,0.038,0.194,0.09825,0.059901481617736306,0.115070630484064,0.09825,1.0,4,0,1.0,1.0,0,5414.0,13485.0,0,4,0.1455,0.07753225135387208,0.042,0.26,0.1455,0.07753225135387208,0.16486812912142845,0.1455,1.0,4,0,1.0,1.0,0,6157.0,10374.0,0,4,0.0072500000000000064,0.20867244068156196,-0.172,0.361,0.0072500000000000064,0.20867244068156196,0.20879834769461178,0.17325000000000002,1.0,4,0,1.0,1.0,0,29571.0,33822.75,0,4,50.20825000000001,0.18700584883901303,49.963,50.488,0.20825000000000138,0.18700584883901303,0.2798914968340417,0.2267500000000009,1.0,4,0,1.0,1.0,0,22414.0,25401.25,0
2,2,power_law,3.597,1.0,13499.0,-1.403,1.403,28.060000000000002,1,1,1.847,1.0,13963.0,-0.15300000000000002,0.15300000000000002,7.650000000000001,1,1,4.966,1.0,13441.0,-0.03399999999999981,0.03399999999999981,0.6799999999999962,1,1,2.087,1.0,13583.0,0.08700000000000019,0.08700000000000019,4.350000000000009,1,1,0.543,1.0,14111.0,-0.05699999999999994,0.05699999999999994,9.499999999999991,1,1,0.011,1.0,46049.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.299,1.0,45365.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,17.558,1.0,42062.0,-0.44200000000000017,0.44200000000000017,2.4555555555555566,1,1,4,0.13,0.08969113668585096,0.033,0.267,0.13,0.08969113668585096,0.15793827908395103,0.13,1.0,4,0,1.0,1.0,0,516.0,8813.25,0,4,0.16625,0.04414960362222973,0.102,0.212,0.16625,0.04414960362222973,0.17201235420748126,0.16625,1.0,4,0,1.0,1.0,0,3565.0,9697.5,0,4,-0.02075,0.12057647987895483,-0.149,0.174,-0.02075,0.12057647987895483,0.12234888638643181,0.10774999999999998,1.0,4,0,1.0,1.0,0,31612.0,36137.0,0,4,49.93625,0.043286112091524866,49.863,49.973,-0.06374999999999886,0.043286112091524866,0.07705679723424735,0.06374999999999886,1.0,4,0,1.0,1.0,0,28430.0,34136.75,0
3,3,power_law,3.388,1.0,14580.0,-1.612,1.612,32.24,1,1,1.717,1.0,14176.0,-0.2829999999999999,0.2829999999999999,14.149999999999995,1,1,4.033,1.0,13515.0,-0.9669999999999996,0.9669999999999996,19.339999999999993,1,1,1.927,1.0,13473.0,-0.07299999999999995,0.07299999999999995,3.6499999999999977,1,1,0.517,1.0,15662.0,-0.08299999999999996,0.08299999999999996,13.833333333333329,1,1,0.01,1.0,46859.0,0.0,0.0,0.0,1,1,0.298,1.0,44444.0,-0.0020000000000000018,0.0020000000000000018,0.6666666666666673,1,1,17.715,1.0,37245.0,-0.28500000000000014,0.28500000000000014,1.5833333333333341,1,1,4,0.051250000000000004,0.02799441908666797,0.024,0.097,0.051250000000000004,0.02799441908666797,0.05839734583009745,0.051250000000000004,1.0,4,0,1.0,1.0,0,10220.0,19352.75,0,4,0.14049999999999999,0.07837888746339795,0.072,0.265,0.14049999999999999,0.07837888746339795,0.1608834982215392,0.14049999999999999,1.0,4,0,1.0,1.0,0,1560.0,8985.75,0,4,-0.027999999999999997,0.07248448109768048,-0.086,0.096,-0.027999999999999997,0.07248448109768048,0.07770456872024965,0.076,1.0,4,0,1.0,1.0,0,26342.0,34877.5,0,4,50.15225,0.06785047899610042,50.083,50.225,0.15225000000000044,0.0678504789961004,0.1666845823704172,0.15225000000000044,1.0,4,0,1.0,1.0,0,32423.0,33508.75,0
4,4,power_law,4.884,1.0,13062.0,-0.11599999999999966,0.11599999999999966,2.319999999999993,1,1,2.029,1.0,12788.0,0.028999999999999915,0.028999999999999915,1.4499999999999957,1,1,4.619,1.0,11539.0,-0.3810000000000002,0.3810000000000002,7.6200000000000045,1,1,2.142,1.0,11534.0,0.1419999999999999,0.1419999999999999,7.099999999999995,1,1,0.463,1.0,12553.0,-0.13699999999999996,0.13699999999999996,22.83333333333333,0,1,0.01,1.0,54447.0,0.0,0.0,0.0,1,1,0.312,1.0,52995.0,0.01200000000000001,0.01200000000000001,4.0000000000000036,1,1,18.428,1.0,44281.0,0.4280000000000008,0.4280000000000008,2.3777777777777827,1,1,4,0.15125,0.08682273607759664,0.051,0.239,0.15125,0.08682273607759664,0.1743982511380203,0.15125,1.0,4,0,1.0,1.0,0,2927.0,12048.0,0,4,0.19875,0.12297433675364955,0.059,0.328,0.19875,0.12297433675364955,0.23371831336033555,0.19875,1.0,4,0,1.0,1.0,0,2277.0,6702.25,0,4,-0.25925000000000004,0.3836589468525398,-0.769,0.289,-0.25925000000000004,0.3836589468525398,0.46303860530197694,0.40375000000000005,0.5,2,0,1.0,1.0,0,27411.0,31695.25,0,4,50.1665,0.4145898575701066,49.562,50.578,0.1664999999999992,0.4145898575701066,0.44677399208100843,0.3855000000000004,1.0,4,0,1.0,1.0,0,17574.0,22109.5,0
5,5,power_law,6.624,1.0,8980.0,1.6239999999999997,1.6239999999999997,32.47999999999999,1,1,2.479,1.0,10055.0,0.4790000000000001,0.4790000000000001,23.950000000000003,1,1,4.559,1.0,10902.0,-0.44099999999999984,0.44099999999999984,8.819999999999997,1,1,1.96,1.0,11785.0,-0.040000000000000036,0.040000000000000036,2.0000000000000018,1,1,0.514,1.0,8853.0,-0.08599999999999997,0.08599999999999997,14.333333333333329,1,1,0.008,1.0,27439.0,-0.002,0.002,20.0,1,1,0.293,1.0,18937.0,-0.007000000000000006,0.007000000000000006,2.3333333333333357,1,1,17.914,1.0,23466.0,-0.08599999999999852,0.08599999999999852,0.4777777777777696,1,1,4,0.12975,0.012930100540985747,0.11,0.144,0.12975,0.012930100540985747,0.13039267617469932,0.12975,1.0,4,0,1.0,1.0,0,8567.0,9324.0,0,4,0.2105,0.08157358641128878,0.117,0.297,0.2105,0.08157358641128878,0.22575318380922116,0.2105,1.0,4,0,1.0,1.0,0,2951.0,6297.5,0,4,-0.1675,0.13429910647506185,-0.372,-0.036,-0.1675,0.13429910647506185,0.21469163933418553,0.1675,1.0,4,0,1.0,1.0,0,14047.0,17835.75,0,4,49.90275,0.09316752384817509,49.751,50.005,-0.09725000000000072,0.09316752384817509,0.13467646416505152,0.099750000000002,1.0,4,0,1.0,1.0,0,15003.0,21294.0,0
6,6,power_law,3.549,1.0,13027.0,-1.451,1.451,29.020000000000003,1,1,1.749,1.0,13339.0,-0.2509999999999999,0.2509999999999999,12.549999999999994,1,1,4.309,1.0,13769.0,-0.6909999999999998,0.6909999999999998,13.819999999999997,1,1,2.026,1.0,13955.0,0.0259999999999998,0.0259999999999998,1.29999999999999,1,1,0.531,1.0,13192.0,-0.06899999999999995,0.06899999999999995,11.499999999999993,1,1,0.011,1.0,43971.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.299,1.0,54068.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,17.67,1.0,29466.0,-0.3299999999999983,0.3299999999999983,1.833333333333324,1,1,4,0.15300000000000002,0.134621692159919,0.038,0.378,0.15300000000000002,0.134621692159919,0.20379401365103933,0.15300000000000002,1.0,4,0,1.0025,1.01,0,904.0,10162.25,0,4,0.10675000000000001,0.05223684044809755,0.056,0.194,0.10675000000000001,0.05223684044809755,0.11884548792444752,0.10675000000000001,1.0,4,0,1.0,1.0,0,3429.0,10313.75,0,4,-0.36525,0.26802273690864364,-0.773,-0.086,-0.36525,0.26802273690864364,0.4530383537847541,0.36525,0.5,2,0,1.0,1.0,0,24488.0,28312.25,0,4,50.0075,0.16852522066444572,49.812,50.272,0.007499999999998508,0.16852522066444572,0.16869202707893488,0.13450000000000095,1.0,4,0,1.0,1.0,0,17148.0,29472.75,0
7,7,power_law,3.372,1.0,12334.0,-1.6280000000000001,1.6280000000000001,32.56,1,1,1.691,1.0,12475.0,-0.30899999999999994,0.30899999999999994,15.449999999999998,1,1,4.429,1.0,13068.0,-0.5709999999999997,0.5709999999999997,11.419999999999995,1,1,2.112,1.0,13130.0,0.1120000000000001,0.1120000000000001,5.600000000000005,1,1,0.521,1.0,15306.0,-0.07899999999999996,0.07899999999999996,13.16666666666666,1,1,0.011,1.0,44220.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.283,1.0,51834.0,-0.017000000000000015,0.017000000000000015,5.666666666666672,1,1,17.58,1.0,40996.0,-0.4200000000000017,0.4200000000000017,2.333333333333343,1,1,4,0.0745,0.030516389039334256,0.034,0.12,0.0745,0.030516389039334256,0.08050776360078574,0.0745,1.0,4,0,1.0,1.0,0,10767.0,13556.75,0,4,0.08975,0.017282577932704365,0.074,0.119,0.08975,0.017282577932704365,0.09139885119628145,0.08975,1.0,4,0,1.0,1.0,0,10657.0,12229.25,0,4,0.019999999999999997,0.11294024968982494,-0.132,0.154,0.019999999999999997,0.11294024968982494,0.11469742804439863,0.10650000000000001,1.0,4,0,1.0,1.0,0,39500.0,39968.0,0,4,49.955,0.14644965005079427,49.757,50.168,-0.045000000000001705,0.14644965005079427,0.15320737580155944,0.12900000000000134,1.0,4,0,1.0,1.0,0,33067.0,34224.0,0
8,8,power_law,4.205,1.0,1945.0,-0.7949999999999999,0.7949999999999999,15.899999999999997,1,1,2.005,1.0,2639.0,0.004999999999999893,0.004999999999999893,0.24999999999999467,1,1,2.82,1.0,2363.0,-2.18,2.18,43.60000000000001,0,1,1.638,1.0,2484.0,-0.3620000000000001,0.3620000000000001,18.100000000000005,1,1,0.515,1.0,10310.0,-0.08499999999999996,0.08499999999999996,14.16666666666666,1,1,0.008,1.0,1958.0,-0.002,0.002,20.0,1,1,0.304,1.0,52445.0,0.0040000000000000036,0.0040000000000000036,1.3333333333333346,1,1,17.53,1.0,5361.0,-0.46999999999999886,0.46999999999999886,2.6111111111111045,1,1,4,0.06775,0.055296360639738314,0.027,0.163,0.06775,0.055296360639738314,0.08745141508289046,0.06775,1.0,4,0,1.0,1.0,0,2696.0,7525.0,0,4,0.07975000000000002,0.03457871455100666,0.021,0.109,0.07975000000000002,0.03457871455100666,0.08692381721944797,0.07975000000000002,1.0,4,0,1.0,1.0,0,2404.0,7045.0,0,4,0.111,0.16208176948688585,-0.079,0.292,0.111,0.16208176948688585,0.1964471939224381,0.16,1.0,4,0,1.0,1.0,0,5810.0,23314.75,0,4,49.8575,0.25809930259495206,49.695,50.304,-0.14250000000000007,0.25809930259495206,0.29482452408169957,0.2945000000000011,0.75,3,0,1.0,1.0,0,5961.0,16318.5,0
9,9,power_law,5.29,1.0,13274.0,0.29000000000000004,0.29000000000000004,5.800000000000001,1,1,2.14,1.0,13322.0,0.14000000000000012,0.14000000000000012,7.000000000000006,1,1,3.266,1.0,12830.0,-1.734,1.734,34.68,1,1,1.761,1.0,12645.0,-0.2390000000000001,0.2390000000000001,11.950000000000005,1,1,0.507,1.0,11973.0,-0.09299999999999997,0.09299999999999997,15.499999999999996,1,1,0.016,1.0,41981.0,0.006,0.006,60.0,1,1,0.319,1.0,47744.0,0.019000000000000017,0.019000000000000017,6.333333333333339,1,1,18.261,1.0,38094.0,0.26099999999999923,0.26099999999999923,1.4499999999999957,1,1,4,0.20325,0.12464223802547834,0.098,0.416,0.20325,0.12464223802547834,0.23842451635685455,0.20325,1.0,4,0,1.0,1.0,0,2191.0,7546.25,0,4,0.134,0.10894264546081116,0.023,0.285,0.134,0.10894264546081116,0.17269771278161156,0.134,1.0,4,0,1.0,1.0,0,979.0,13884.0,0,4,-0.212,0.1327233965810098,-0.408,-0.034,-0.212,0.1327233965810098,0.25011897169147324,0.212,1.0,4,0,1.0,1.0,0,18905.0,25171.0,0,4,50.06175,0.16197434210392658,49.947,50.341,0.06175000000000175,0.16197434210392658,0.17334575276019903,0.10874999999999879,1.0,4,0,1.0,1.0,0,22294.0,31173.5,0
