,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,-0.01 ± 0.07
4,Mean Bias,-0.01 ± 0.07
5,RMSE,0.13 ± 0.05
6,Coverage Rate,96.25 ± 10.28
7,Mean R-hat,1.00
8,Mean ESS (bulk),21702
9,N with ESS < 400,0.0
