,Model,Parameter,True Value,N Simulations,Mean Estimate,Mean Bias,Mean Abs Bias,Mean Relative Error,Coverage,Converged,Low ESS,Mean R-hat,Mean ESS (bulk)
0,power_law,scale1,5.00,100,4.25 ± 0.48,-0.75 ± 0.48,0.78,15.56,72.0%,100.0%,1.0%,1.00,7274
1,power_law,exponent1,2.00,100,1.92 ± 0.08,-0.08 ± 0.08,0.09,4.71,88.0%,99.0%,1.0%,1.00,8888
2,power_law,q_param,0.01,100,0.01 ± 0.00,0.00 ± 0.00,0.00,21.90,99.0%,100.0%,0.0%,1.00,23724
3,power_law,pi0,0.30,100,0.30 ± 0.01,0.00 ± 0.01,0.01,2.55,97.0%,98.0%,2.0%,1.00,24123
4,power_law,phi,18.00,100,18.14 ± 0.87,0.14 ± 0.87,0.70,3.87,97.0%,99.0%,2.0%,1.00,22245
