,Metric,Value
0,Model,power_law
1,True Value,50.00
2,N Simulations,100
3,Mean Estimate,50.04 ± 0.14
4,Mean Bias,0.04 ± 0.14
5,RMSE,0.23 ± 0.10
6,Coverage Rate,96.25 ± 8.97
7,Mean R-hat,1.00
8,Mean ESS (bulk),27820
9,N with ESS < 400,0.1
