,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,-0.07 ± 0.24
4,Mean Bias,-0.07 ± 0.24
5,RMSE,0.41 ± 0.22
6,Coverage Rate,98.00 ± 6.82
7,Mean R-hat,1.00
8,Mean ESS (bulk),17396
9,N with ESS < 400,0.1
