,Metric,Value
0,Model,power_law
1,True Value,50.00
2,N Simulations,100
3,Mean Estimate,50.29 ± 0.33
4,Mean Bias,0.29 ± 0.33
5,RMSE,0.64 ± 0.26
6,Coverage Rate,98.50 ± 5.97
7,Mean R-hat,1.00
8,Mean ESS (bulk),17743
9,N with ESS < 400,0.1
