,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,0.34 ± 0.13
4,Mean Bias,0.34 ± 0.13
5,RMSE,0.41 ± 0.17
6,Coverage Rate,100.00 ± 0.00
7,Mean R-hat,1.00
8,Mean ESS (bulk),13224
9,N with ESS < 400,0.0
