,Model,Parameter,True Value,N Simulations,Mean Estimate,Mean Bias,Mean Abs Bias,Mean Relative Error,Coverage,Converged,Low ESS,Mean R-hat,Mean ESS (bulk)
0,power_law,scale1,5.00,100,5.49 ± 1.16,0.49 ± 1.16,1.00,19.91,100.0%,98.0%,0.0%,1.00,11592
1,power_law,exponent1,2.00,100,2.22 ± 0.28,0.22 ± 0.28,0.27,13.52,100.0%,99.0%,0.0%,1.00,12225
2,power_law,scale2,5.00,100,5.73 ± 1.06,0.73 ± 1.06,1.05,21.02,100.0%,99.0%,1.0%,1.00,11502
3,power_law,exponent2,2.00,100,2.24 ± 0.25,0.24 ± 0.25,0.29,14.29,100.0%,99.0%,1.0%,1.00,12167
4,power_law,weight,0.60,100,0.52 ± 0.02,-0.08 ± 0.02,0.08,13.31,98.0%,99.0%,1.0%,1.00,15397
5,power_law,q_param,0.01,100,0.01 ± 0.01,0.00 ± 0.01,0.01,50.50,93.0%,98.0%,3.0%,1.00,23738
6,power_law,pi0,0.30,100,0.30 ± 0.02,0.00 ± 0.02,0.02,5.53,99.0%,99.0%,0.0%,1.00,27301
7,power_law,phi,18.00,100,17.42 ± 1.60,-0.58 ± 1.60,1.42,7.91,93.0%,98.0%,1.0%,1.00,17935
