,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse,model,log_likelihood,n_obs,AIC,BIC,elpd_loo,p_loo,rank_loo,se_d_loo,warning,pareto_k_bad
0,null_model,-0.0004279408721761,0.0589292053652016,0.0344787979163927,0.800755939524838,0.8001897779427646,0.0005399568034557,0.0010443270788336,-1.0749633320829513,0.1136146655016406,null_model,-0.21648284708756374,1852,11.55620346967282,42.27870530881232,-403.8592222154599,5.59421165363392,6,8.260697275349356,False,0
1,exponential,0.0932971836583653,0.0561009429414721,0.0279283636163913,0.800755939524838,0.8222216353941685,0.0005399568034557,0.000936723812095,-0.9689818227712106,0.1106751283715457,onefocus_exponential,-0.1870738136837986,1852,17.401874707495065,64.43263922894975,-350.91355427102286,8.564644720662955,1,2.9164092599259264,False,0
2,gaussian,0.0892952758200076,0.0562246128000058,0.0273312513936305,0.800755939524838,0.8263457917116631,0.0005399568034557,0.0009122738930885,-0.978466021453358,0.1109413583392906,onefocus_gaussian,-0.18490956055797028,1852,16.619336354441508,61.500676946267205,-346.7336341249271,8.187660228779293,0,0.0,False,0
3,power_law,0.092533174442177,0.0561245739545321,0.0283425195674268,0.800755939524838,0.8200713755399568,0.0005399568034557,0.0009466792656587,-0.9683160389031892,0.1106564151604301,onefocus_power_law,-0.18852098929856748,1852,18.199266136382104,67.42444009348615,-353.81994669748656,8.975085950968946,2,3.78443778088811,False,0
4,exponential,0.0930851257774426,0.0561075029473272,0.0282177590513947,0.800755939524838,0.820532498650108,0.0005399568034557,0.0009343615010799,-0.972795543024134,0.1107822598310143,twofoci_exponential,-0.1905209956517441,1852,13.83411822189076,50.99165882097305,-356.3844584884969,6.786730066634107,4,4.6073169004884305,False,0
5,gaussian,0.0866711465703343,0.0563055580932636,0.0278964665066546,0.800755939524838,0.8230569316954643,0.0005399568034557,0.0008931897948164,-0.981714794356188,0.1110324075249907,twofoci_gaussian,-0.18975947388556408,1852,13.687683787989979,50.44497757522104,-354.9243937397674,6.6941599412069195,3,3.592178715842439,True,1
6,power_law,0.0859926240438366,0.0563264692340685,0.0292214488687952,0.800755939524838,0.816465155912527,0.0005399568034557,0.000964700323974,-0.981086879112754,0.1110148155725655,twofoci_power_law,-0.1925611892923783,1852,15.057198466938917,55.58162972573996,-360.4836570260647,7.390802873559039,5,5.532620092567203,False,0
