,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,982.5717132183339,17.41311806814747,8.096261690009689,-37.87852173961073,32.7461819961681,118.06763106774666,False
1,0,gaussian,2,949.1029720718572,15.441897861692837,10.90890417406983,-71.34726288608749,28.947156720636414,104.76232799672411,False
2,0,power_law,0,1020.4502349579446,21.016140697462674,0.0,0.0,39.58739844330604,141.9190232167742,True
3,1,exponential,1,836.6873706658969,16.942910579871977,8.626790335348485,-43.16691770081934,32.15921374767265,115.32505189643503,False
4,1,gaussian,2,808.6704022599971,15.951364369374346,10.818830554607086,-71.18388610671911,30.247485169239532,108.57510507804801,False
5,1,power_law,0,879.8542883667162,22.747449155256618,0.0,0.0,43.34228484791887,154.2214923295251,True
6,2,exponential,1,1060.7210756172099,19.267055234424106,8.741896540036494,-37.158062749148485,36.200433356939946,130.398102991924,False
7,2,gaussian,2,1031.90598848395,16.474538439751086,11.6815896285862,-65.97314988240828,30.8306720400284,111.68183991261857,False
8,2,power_law,0,1097.8791383663583,20.00874664077628,0.0,0.0,37.50811224003099,135.10378611211885,True
9,3,exponential,1,991.4784204992336,18.240615001941364,8.663907686168395,-46.62239894407844,34.43987326096307,123.9697491056428,False
10,3,gaussian,2,961.05477582634,15.235932494823487,11.117399820537038,-77.04604361697204,28.509886574852413,103.30811631066327,False
11,3,power_law,0,1038.100819443312,21.082824607185785,0.0,0.0,39.618899186075886,142.11424224731138,True
12,4,exponential,1,902.8892525649126,18.07028890457218,8.902028304566215,-50.06425524368524,34.260132197416354,122.91549875106627,False
13,4,gaussian,2,876.1873628563953,15.295593378478316,10.91088574546909,-76.76614495220247,28.8042994220284,103.91235229984864,False
14,4,power_law,0,952.9535078085978,23.594330704811114,0.0,0.0,44.795207171959895,159.60497253141867,True
15,5,exponential,1,964.7094123935692,15.946354210742129,6.427112647839027,-22.156310728480776,29.893360160157144,108.11203267326614,False
16,5,gaussian,2,940.6298709443824,14.59644584575392,9.493491268062108,-46.23585217766754,27.27543077692561,98.93833120975175,False
17,5,power_law,0,986.86572312205,19.965490983415293,0.0,0.0,37.47015997338622,134.43150822985635,True
18,6,exponential,1,1026.487814556303,16.64426526656439,8.478477897561275,-40.68183518563296,31.161144425145352,112.79885835346886,False
19,6,gaussian,2,996.4583991114025,15.345601282643543,11.385747774208967,-70.71125063053341,28.667355086066188,104.02545343033913,False
20,6,power_law,0,1067.169649741936,22.12182054530149,0.0,0.0,41.51925246715325,148.83022608754635,True
21,7,exponential,1,887.2654015276833,18.114394284036052,7.615022695137821,-35.174854578393024,34.37387332848891,123.23289247424962,False
22,7,gaussian,2,857.0575137381662,15.082562091632667,10.405567604070532,-65.38274236791005,28.414746488054767,102.47153567637652,False
23,7,power_law,0,922.4402561060763,22.08141671339729,0.0,0.0,41.7861028293807,149.04696891461282,True
24,8,exponential,1,1018.7489614278022,16.931442328135745,7.387428533499819,-31.027909600900557,31.761380331566322,114.83737943581262,False
25,8,gaussian,2,985.0890906675188,15.808717877326671,10.15795448176242,-64.68778036118397,29.60918343217656,107.22798914664898,False
26,8,power_law,0,1049.7768710287028,20.18469899243223,0.0,0.0,37.90319097873331,136.23592279976447,True
27,9,exponential,1,893.4211574831149,17.738933252936818,10.131817290252815,-52.57460986326794,33.60095119765585,120.58911412200808,False
28,9,gaussian,2,863.6931042048675,15.681578920216225,12.773070309990496,-82.30266314151538,29.592988407970598,106.57965308264286,False
29,9,power_law,0,945.9957673463829,24.100319196061037,0.0,0.0,45.68288853313489,162.64209655484362,True
