,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,969.2252242695612,15.740460346167424,7.82961403567321,-42.144736331051945,29.48435142109305,106.71890896506893,False
1,0,gaussian,2,934.0405007076142,15.31702407102739,10.688682502575908,-77.3294598929989,28.73830661978342,103.96629258328232,False
2,0,power_law,0,1011.3699606006131,20.31111173726447,0.0,0.0,38.20470076204428,137.0916205316659,True
3,1,exponential,1,808.5900078723516,17.680717986320587,8.370257323753894,-38.09330929531268,33.66474209092664,120.39596922269136,False
4,1,gaussian,2,780.7664769424896,15.440005131546059,10.858390920035363,-65.91684022517472,29.277940777778603,105.08521853064889,False
5,1,power_law,0,846.6833171676643,23.685832429870402,0.0,0.0,45.18665229711398,160.4400864109743,True
6,2,exponential,1,1034.7695447910908,20.174597238583146,8.91328491389321,-44.41613653983654,38.015481306499225,136.55035626590862,False
7,2,gaussian,2,1002.6403704357328,16.049320385316264,11.724017792364616,-76.54531089519446,30.035237964809603,108.78752865096804,False
8,2,power_law,0,1079.1856813309273,20.47604233777247,0.0,0.0,38.462902907424755,138.31559320463126,True
9,3,exponential,1,954.1594892200503,18.003425943281286,8.235729204309852,-45.26317579346096,34.015779332611366,122.32056431926671,False
10,3,gaussian,2,922.6466231097382,15.596467696860827,10.842327235474551,-76.77604190377303,29.30527962734125,105.87211615540656,False
11,3,power_law,0,999.4226650135113,19.17145551542194,0.0,0.0,35.944553913309186,129.21514356445195,True
12,4,exponential,1,871.8060584076629,17.490849552119812,8.52660959134723,-40.4170151793719,33.16027378785899,118.95927003015707,False
13,4,gaussian,2,845.3174241963502,15.76279884088035,10.945554260474495,-66.90564939068463,29.80077503196141,107.20866501775707,False
14,4,power_law,0,912.2230735870348,22.226978022625644,0.0,0.0,42.12518663101661,150.1701407136867,True
15,5,exponential,1,1017.770862562976,16.587622274496994,7.766365486070209,-36.55668757246292,31.040733445217658,112.33988505497764,False
16,5,gaussian,2,985.3781454568675,14.834598198899357,10.855208475164256,-68.94940467857145,27.651982472051177,100.45922977811048,False
17,5,power_law,0,1054.327550135439,19.787672714312293,0.0,0.0,37.01868958366903,133.19907139579973,True
18,6,exponential,1,1025.3606637545115,16.507960303775917,7.890175960494893,-33.77963655908093,30.89776947019415,111.8823035042851,False
19,6,gaussian,2,993.7812177021866,15.056580834421993,10.812738521048459,-65.35908261140582,28.083353910987114,101.99234442578526,False
20,6,power_law,0,1059.1403003135924,22.24000267023348,0.0,0.0,41.85466359791456,149.9508340447488,True
21,7,exponential,1,843.3689137606677,18.692530791631384,7.976691151827099,-36.31295503619822,35.64349259249127,127.41064906172267,False
22,7,gaussian,2,814.6419361928935,15.696286120177888,10.830975204886947,-65.03993260397249,29.725668497253924,106.79921932819776,False
23,7,power_law,0,879.681868796866,26.43271152758507,0.0,0.0,50.30738272645584,178.31609747184834,True
24,8,exponential,1,914.4267515476118,19.582614361017136,7.964954670910692,-30.915540533033322,37.3144661977456,133.5374146691853,False
25,8,gaussian,2,882.824990076877,15.934772633117404,10.86463342677659,-62.51730200376812,30.06923914007811,108.32035712827842,False
26,8,power_law,0,945.3422920806452,23.338575744191303,0.0,0.0,44.105227869228344,157.18125932964097,True
27,9,exponential,1,872.7799481348,17.176528951063347,9.397432035138708,-39.883465848635296,32.529424542793166,116.78180492402679,False
28,9,gaussian,2,840.5531956523099,16.201106975111202,12.025477599405637,-72.11021833112534,30.673022579200424,110.20276518190924,False
29,9,power_law,0,912.6634139834352,25.79665932414673,0.0,0.0,49.0730734577023,174.20681009322502,True
30,10,exponential,1,962.5660908590995,17.67334779187229,7.144288909474103,-30.643759458733143,33.329289042556056,119.98689392533181,False
31,10,gaussian,2,932.2437478054044,15.4278721047815,10.237447756211742,-60.96610251242828,28.9554902160327,104.70886123743938,False
32,10,power_law,0,993.2098503178327,22.13383244192596,0.0,0.0,41.94319254340984,149.9347387901601,True
33,11,exponential,1,881.7061647105636,17.737784692494415,8.884573469733345,-46.64542819657231,33.51869676422384,120.24806819967823,False
34,11,gaussian,2,854.8671882883898,16.22056914220616,11.351914326718882,-73.48440461874611,30.6812695715371,110.30114229858629,False
35,11,power_law,0,928.3515929071359,21.382077254810383,0.0,0.0,40.41738232451155,144.34126379365793,True
36,12,exponential,1,1035.7835804192696,16.25091089835496,8.949013991496827,-42.03783673148837,30.310948117245292,109.90347645361504,False
37,12,gaussian,2,996.4394472679634,14.67935845432703,12.16517094771421,-81.38196988279458,27.33527483638853,99.4175603299483,False
38,12,power_law,0,1077.821417150758,22.060162441817056,0.0,0.0,41.41692320086262,148.52834292268759,True
39,13,exponential,1,957.1754428745534,19.467107238283347,10.217708390905694,-73.0273133076472,36.91368450707175,132.35970518253458,False
40,13,gaussian,2,919.6707806789419,15.524549876715241,12.61021019627787,-110.53197550325865,29.163600029334376,105.36748727820296,False
41,13,power_law,0,1030.2027561822006,21.785746947661437,0.0,0.0,41.10879055037193,147.22954758424018,True
42,14,exponential,1,879.5496446441846,18.793609238871,9.627155879836662,-57.280466342338514,35.777325366185615,128.04974929886737,False
43,14,gaussian,2,843.4770798146146,16.808577511864655,12.185166379709626,-93.35303117190847,31.887359309552348,114.4175009539422,False
44,14,power_law,0,936.8301109865231,21.880250082742123,0.0,0.0,41.38572281523718,147.73175021192586,True
45,15,exponential,1,943.0244143504503,17.09612277994529,9.526295378413907,-65.58724950104613,32.25323170051765,116.16900977789142,False
46,15,gaussian,2,905.5154742361108,15.316721681482704,12.02225674909422,-103.0961896153857,28.788746116332252,104.00166671451895,False
47,15,power_law,0,1008.6116638514965,20.4226019952647,0.0,0.0,38.43280342142525,137.8673766069324,True
48,16,exponential,1,775.0743338891555,19.272093444881307,9.330704703964456,-56.268978015370976,36.88027847953576,131.3557256551964,False
49,16,gaussian,2,748.0143963113804,16.75785763266265,11.630785354748683,-83.32891559314601,31.963158836082023,114.2140820511125,False
50,16,power_law,0,831.3433119045264,21.407733081221977,0.0,0.0,40.65763613923882,144.69909402256377,True
51,17,exponential,1,891.864887469802,17.3375526461881,8.635889025308131,-42.57643807732927,32.814962545903754,117.86264690672861,False
