,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
0,0,exponential,1,1637.8530562024298,19.294548942088113,7.266617939962193,-32.51060740296043,34.88451475047855,128.6629862575921,False
1,0,gaussian,2,1547.0409093061921,46.256622680682995,14.204901569011225,-123.3227542991981,90.5156528575276,320.6537670398375,False
2,0,power_law,0,1670.3636636053902,19.67633655528516,0.0,0.0,35.51110966166378,130.99016522493764,True
3,1,exponential,1,1439.8630495230047,16.994958359631482,7.352138601386883,-34.910984744463576,30.99294976651352,114.2343578957201,False
4,1,gaussian,2,1370.4444069846656,35.49792257820104,12.455608207463062,-104.32962728280268,67.89404336657833,241.54318922705122,False
5,1,power_law,0,1474.7740342674683,20.415854961894638,0.0,0.0,37.39100014026493,136.53868906735767,True
6,2,exponential,1,1559.6779636469864,17.66260844772387,7.849286627384448,-29.42536629551114,32.01637463056314,118.35937825416116,False
7,2,gaussian,2,1496.0947050922243,23.142368315325484,14.115135694878093,-93.00862485027324,43.19525095580235,156.71778294156644,False
8,2,power_law,0,1589.1033299424976,19.879288707754995,0.0,0.0,35.938227664625686,132.0716266392262,True
9,3,exponential,1,1645.4571467501294,17.848736995112404,8.030264483094104,-44.47591503046647,32.23111066077549,119.52060458969737,False
10,3,gaussian,2,1586.8021095147144,38.65705518438722,11.950117527689558,-103.13095226588143,75.10394132103181,267.53760214183444,False
11,3,power_law,0,1689.9330617805958,20.096270828692695,0.0,0.0,36.21493832520494,133.5206962154612,True
12,4,exponential,1,1517.5229034726567,17.332682548875937,8.116964197189128,-32.27806682615301,31.498120391302393,116.3607728194792,False
13,4,gaussian,2,1443.5510764813969,28.80115263359835,14.38504024881356,-106.24989381741284,54.764504284966904,196.48145444602937,False
14,4,power_law,0,1549.8009702988097,20.82945113774099,0.0,0.0,37.92087868018814,138.7383371591437,True
15,5,exponential,1,1698.0331146547876,21.1704694616526,7.145279851647526,-27.541235392297267,38.50410427843114,141.47726789574367,False
16,5,gaussian,2,1641.8020001223363,40.15224102998445,11.215370495679718,-83.7723499247486,77.6693940120177,276.6815832408506,False
17,5,power_law,0,1725.5743500470849,22.02817442337937,0.0,0.0,39.970817999990224,146.68690408306387,True
18,6,exponential,1,1714.5842345525057,18.418510980553492,7.672682713493862,-33.873706886849504,33.28321840311558,123.49738889582729,False
19,6,gaussian,2,1658.169669599849,31.427465314634446,12.226899684179411,-90.28827183950625,59.594778726414276,214.2375411182551,False
20,6,power_law,0,1748.4579414393552,19.493161775005774,0.0,0.0,35.05483637143455,129.79250984526857,True
21,7,exponential,1,1553.790502327616,19.437610314496624,7.9753721872757755,-36.68960805973461,35.348066107329544,129.8562525574365,False
22,7,gaussian,2,1486.792262790615,37.0292007726282,13.141151579767332,-103.68784759673554,71.37051810404162,254.1352108395066,False
23,7,power_law,0,1590.4801103873506,23.250324001133322,0.0,0.0,42.60795317327768,155.14958199629785,True
24,8,exponential,1,1686.5183063144652,18.601349025117315,6.4856001855385355,-25.002101638873455,32.70720582342051,121.3702582180385,False
25,8,gaussian,2,1623.4857163695146,38.54435919890102,11.055736593701631,-88.03469158382404,74.03579440901038,264.02503127390935,False
26,8,power_law,0,1711.5204079533387,19.773111219197745,0.0,0.0,35.586665313471784,131.45240603168276,True
27,9,exponential,1,1428.9669435688588,22.497357859740077,6.313635889120724,-27.96410441550097,42.069087360436946,152.4953368249546,False
28,9,gaussian,2,1340.097530297413,50.192278536705544,15.003669369731654,-116.83351768694683,104.24419539488899,367.12689624522193,False
29,9,power_law,0,1456.9310479843598,19.756511785626344,0.0,0.0,36.127828105100974,132.08200916285165,True
30,10,exponential,1,1512.193982670036,16.989038443716936,6.63784268538583,-31.948966439807464,30.883190659795854,114.20761756327263,False
