,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,1.35 ± 0.42
4,Mean Bias,1.35 ± 0.42
5,RMSE,1.45 ± 0.45
6,Coverage Rate,100.00 ± 0.00
7,Mean R-hat,1.00
8,Mean ESS (bulk),5706
9,N with ESS < 400,0.0
