,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,0.00 ± 0.01
4,Mean Bias,0.00 ± 0.01
5,RMSE,0.02 ± 0.01
6,Coverage Rate,95.00 ± 12.31
7,Mean R-hat,1.00
8,Mean ESS (bulk),24285
9,N with ESS < 400,0.1
