,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
90,90,power_law,10.17,1.0,11800.0,-4.83,4.83,32.2,0,1,1.334,1.0,11540.0,-0.16599999999999993,0.16599999999999993,11.066666666666663,1,1,0.013,1.0,26717.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.307,1.0,27799.0,0.007000000000000006,0.007000000000000006,2.3333333333333357,1,1,17.945,1.0,30566.0,-0.054999999999999716,0.054999999999999716,0.30555555555555397,1,1,4,1.161,0.7246940733854528,0.45,2.271,1.161,0.7246940733854528,1.3686133493430495,1.161,1.0,4,0,1.0,1.0,0,1859.0,5691.0,0,4,-0.915,0.558692222963592,-1.77,-0.21,-0.915,0.558692222963592,1.072083019173422,0.915,1.0,4,0,1.0,1.0,0,6665.0,8431.5,0
91,91,power_law,13.78,1.0,12965.0,-1.2200000000000006,1.2200000000000006,8.133333333333338,1,1,1.542,1.0,10627.0,0.04200000000000004,0.04200000000000004,2.8000000000000025,1,1,0.008,1.0,28733.0,-0.002,0.002,20.0,1,1,0.32,1.0,28072.0,0.020000000000000018,0.020000000000000018,6.666666666666673,1,1,16.182,1.0,29043.0,-1.8180000000000014,1.8180000000000014,10.100000000000007,0,1,4,1.53125,0.6411658814222728,0.968,2.577,1.53125,0.6411658814222728,1.6600663390358832,1.53125,1.0,4,0,1.0,1.0,0,2480.0,9168.75,0,4,-1.5965,1.0584423697112657,-2.792,-0.419,-1.5965,1.0584423697112657,1.9154927564467583,1.5965,1.0,4,0,1.0,1.0,0,5545.0,7920.5,0
92,92,power_law,14.326,1.0,9316.0,-0.6739999999999995,0.6739999999999995,4.49333333333333,1,1,1.636,1.0,9462.0,0.1359999999999999,0.1359999999999999,9.066666666666661,1,1,0.01,1.0,11738.0,0.0,0.0,0.0,1,1,0.287,1.0,21697.0,-0.013000000000000012,0.013000000000000012,4.3333333333333375,1,1,18.119,1.0,24807.0,0.11899999999999977,0.11899999999999977,0.6611111111111099,1,1,4,2.11175,0.4804208441564542,1.462,2.66,2.11175,0.4804208441564542,2.165708255975398,2.11175,1.0,4,0,1.0,1.0,0,2755.0,3617.75,0,4,-1.7962500000000001,0.21156603579024683,-2.12,-1.601,-1.7962500000000001,0.21156603579024683,1.8086664286152934,1.7962500000000001,1.0,4,0,1.0,1.0,0,5605.0,6815.25,0
93,93,power_law,10.235,1.0,6821.0,-4.765000000000001,4.765000000000001,31.76666666666667,1,1,1.347,1.0,8542.0,-0.15300000000000002,0.15300000000000002,10.200000000000003,1,1,0.014,1.0,22452.0,0.004,0.004,40.0,1,1,0.289,1.0,21665.0,-0.01100000000000001,0.01100000000000001,3.66666666666667,1,1,17.005,1.0,24812.0,-0.995000000000001,0.995000000000001,5.527777777777784,1,1,4,1.0245,0.2724238425688912,0.575,1.307,1.0245,0.2724238425688912,1.0601014102433786,1.0245,1.0,4,0,1.0,1.0,0,2989.0,4270.75,0,4,-0.39775,0.6730930006321563,-1.426,0.399,-0.39775,0.6730930006321563,0.7818307041808987,0.59725,1.0,4,0,1.0,1.0,0,7500.0,9451.0,0
94,94,power_law,11.244,1.0,12492.0,-3.7560000000000002,3.7560000000000002,25.040000000000003,1,1,1.42,1.0,12604.0,-0.08000000000000007,0.08000000000000007,5.3333333333333375,1,1,0.01,1.0,31897.0,0.0,0.0,0.0,1,1,0.283,1.0,27934.0,-0.017000000000000015,0.017000000000000015,5.666666666666672,1,1,16.453,1.0,27969.0,-1.5470000000000006,1.5470000000000006,8.594444444444447,1,1,4,1.12025,0.5279305707192945,0.469,1.933,1.12025,0.5279305707192945,1.2384146115094088,1.12025,1.0,4,0,1.0,1.0,0,3070.0,5905.0,0,4,-0.37649999999999995,0.6715967912371232,-1.159,0.684,-0.37649999999999995,0.6715967912371232,0.7699314904587291,0.7185,1.0,4,0,1.0,1.0,0,6428.0,9735.75,0
95,95,power_law,11.831,1.0,12948.0,-3.1690000000000005,3.1690000000000005,21.12666666666667,1,1,1.44,1.0,11388.0,-0.06000000000000005,0.06000000000000005,4.0000000000000036,1,1,0.007,1.0,30154.0,-0.003,0.003,30.0,1,1,0.309,1.0,25751.0,0.009000000000000008,0.009000000000000008,3.0000000000000027,1,1,18.2,1.0,32554.0,0.1999999999999993,0.1999999999999993,1.1111111111111072,1,1,4,1.2297500000000001,0.5285084554668923,0.75,2.031,1.2297500000000001,0.5285084554668923,1.3385089652295945,1.2297500000000001,1.0,4,0,1.0,1.0,0,3947.0,8594.5,0,4,-1.9330000000000003,0.6075039094524414,-2.97,-1.464,-1.9330000000000003,0.6075039094524414,2.026215684471917,1.9330000000000003,0.75,3,0,1.0,1.0,0,5502.0,7083.25,0
96,96,power_law,13.29,1.0,14423.0,-1.7100000000000009,1.7100000000000009,11.400000000000006,1,1,1.524,1.0,13444.0,0.02400000000000002,0.02400000000000002,1.6000000000000014,1,1,0.018,1.0,31803.0,0.007999999999999998,0.007999999999999998,79.99999999999999,1,1,0.296,1.0,34203.0,-0.0040000000000000036,0.0040000000000000036,1.3333333333333346,1,1,18.922,1.0,33504.0,0.9220000000000006,0.9220000000000006,5.122222222222225,1,1,4,1.0742500000000001,0.30416227165774523,0.607,1.385,1.0742500000000001,0.30416227165774523,1.1164800714746324,1.0742500000000001,1.0,4,0,1.0,1.0,0,5949.0,9217.75,0,4,-1.6295000000000002,1.2378656025595023,-2.824,0.427,-1.6295000000000002,1.2378656025595023,2.04635810649065,1.843,0.75,3,0,1.0,1.0,0,5163.0,7058.25,0
97,97,power_law,9.615,1.0,10089.0,-5.385,5.385,35.9,0,1,1.356,1.0,13139.0,-0.1439999999999999,0.1439999999999999,9.599999999999993,1,1,0.014,1.0,31758.0,0.004,0.004,40.0,1,1,0.283,1.0,30286.0,-0.017000000000000015,0.017000000000000015,5.666666666666672,1,1,18.994,1.0,28855.0,0.9939999999999998,0.9939999999999998,5.52222222222222,1,1,4,1.01225,0.3680138414516498,0.632,1.449,1.01225,0.3680138414516498,1.0770720727973593,1.01225,1.0,4,0,1.0,1.0,0,2222.0,4034.5,0,4,-0.326,0.4645336371028475,-0.815,0.254,-0.326,0.4645336371028475,0.5675099118077146,0.45549999999999996,1.0,4,0,1.0,1.0,0,12578.0,13669.0,0
98,98,power_law,12.67,1.0,11632.0,-2.33,2.33,15.533333333333335,1,1,1.528,1.0,9479.0,0.028000000000000025,0.028000000000000025,1.8666666666666683,1,1,0.014,1.0,14380.0,0.004,0.004,40.0,1,1,0.294,1.0,27865.0,-0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,18.791,1.0,29604.0,0.7910000000000004,0.7910000000000004,4.394444444444447,1,1,4,1.68425,0.5434065582048123,1.199,2.532,1.68425,0.5434065582048123,1.7697425660247879,1.68425,1.0,4,0,1.0,1.0,0,3838.0,7587.5,0,4,-2.73325,0.4468284765992427,-3.186,-1.991,-2.73325,0.4468284765992427,2.76953267718581,2.73325,1.0,4,0,1.0,1.0,0,5308.0,7126.0,0
99,99,power_law,9.461,1.0,9448.0,-5.539,5.539,36.92666666666666,0,1,1.276,1.0,12609.0,-0.22399999999999998,0.22399999999999998,14.933333333333332,1,1,0.005,1.0,32377.0,-0.005,0.005,50.0,1,1,0.29,1.0,32261.0,-0.010000000000000009,0.010000000000000009,3.3333333333333366,1,1,17.802,1.0,32542.0,-0.1980000000000004,0.1980000000000004,1.100000000000002,1,1,4,1.2755,0.3306467147878533,0.812,1.667,1.2755,0.3306467147878533,1.3176598574746063,1.2755,1.0,4,0,1.0,1.0,0,2836.0,4344.5,0,4,-0.68,0.8789388488398951,-2.076,0.085,-0.68,0.8789388488398951,1.1112756183773673,0.7515000000000001,1.0,4,0,1.0,1.0,0,9296.0,10184.5,0
