simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
15,exponential,0.301514046,0.113679723,0.052730041,0.282868526,0.284694285,0.006972112,0.007877521,0.521130447,0.087615398
15,gaussian,0.132340729,0.12670063,0.063554013,0.282868526,0.284392399,0.006972112,0.007802758,0.220003186,0.111819678
15,power_law,0.457596381,0.100176409,0.038409321,0.282868526,0.284017679,0.006972112,0.00782523,0.838337852,0.050906823
16,exponential,0.190696678,0.133969634,0.061344216,0.297808765,0.298854862,0.011952191,0.012746172,0.480031703,0.089281506
16,gaussian,0.063425064,0.144119244,0.070280063,0.297808765,0.29890155,0.011952191,0.012764722,0.199400043,0.110784973
16,power_law,0.334409162,0.121493873,0.04648622,0.297808765,0.298361523,0.011952191,0.012733752,0.830967417,0.050904748
17,exponential,0.255435593,0.127771092,0.061809758,0.285856574,0.286589704,0.008964143,0.009793731,0.514493253,0.094487213
17,gaussian,0.097024674,0.140708202,0.072192871,0.285856574,0.286510116,0.008964143,0.009768924,0.213761906,0.120240963
17,power_law,0.40811992,0.113919569,0.045136703,0.285856574,0.286436909,0.008964143,0.009783802,0.825399339,0.056662841
18,exponential,0.308314805,0.108693448,0.051421988,0.291832669,0.291053069,0.005976096,0.006516279,0.52444247,0.085684492
18,gaussian,0.116271492,0.122859447,0.062311659,0.291832669,0.292507906,0.005976096,0.006863857,0.224350918,0.109429228
18,power_law,0.479789245,0.094262464,0.036555058,0.291832669,0.292767461,0.005976096,0.006816546,0.832832975,0.050801438
19,exponential,0.28885693,0.116347707,0.055646605,0.296812749,0.297496078,0.007968127,0.008828748,0.490792491,0.089837727
19,gaussian,0.13617623,0.128230671,0.064961796,0.296812749,0.297497977,0.007968127,0.00881387,0.206750253,0.112128581
19,power_law,0.451095234,0.102218108,0.039736203,0.296812749,0.297277359,0.007968127,0.00884126,0.843585597,0.049790871
20,exponential,0.356147621,0.099308497,0.050284456,0.28685259,0.287388228,0.002988048,0.003913751,0.509760779,0.090195604
20,gaussian,0.139764206,0.11478946,0.06047939,0.28685259,0.287235558,0.002988048,0.003907464,0.212028908,0.114350084
20,power_law,0.528574768,0.084976662,0.034341635,0.28685259,0.287136672,0.002988048,0.003905659,0.828357481,0.05336958
21,exponential,0.266636765,0.127758089,0.06070012,0.274900398,0.275827222,0.009960159,0.010778853,0.497482121,0.093609089
21,gaussian,0.095822024,0.141858644,0.071397866,0.274900398,0.275564212,0.009960159,0.010809792,0.212578452,0.117177953
21,power_law,0.430241092,0.112609338,0.045933749,0.274900398,0.27570409,0.009960159,0.010819908,0.799474568,0.059132602
22,exponential,0.289631879,0.106602575,0.050528908,0.292828685,0.293736616,0.00498008,0.005773344,0.481200474,0.089032485
22,gaussian,0.122133293,0.118505976,0.058847806,0.292828685,0.293476033,0.00498008,0.005824577,0.21010179,0.109858654
22,power_law,0.46624189,0.092405582,0.036685922,0.292828685,0.292450915,0.00498008,0.005893924,0.848526234,0.048108013
23,exponential,0.257771366,0.12609503,0.058967979,0.28685259,0.288218563,0.008964143,0.009780223,0.535638743,0.090678376
