,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.37202341575,0.04723408234011191,0.11711134145999999,0.01081790826099439,0.05862213947,0.004398960829728103,0.28039840638,0.013259430768370788,0.28141248474,0.013226688559157151,0.007231075700000001,0.0027907840305374325,0.008099180190000001,0.0027493779274872774,0.60878742278,0.02262712345096938,0.08848389933,0.0035367662971032767
gaussian,0.30581031217,0.03849872356834895,0.12312445203,0.010396163357407123,0.06470944279,0.004522935037373968,0.28039840638,0.013259430768370788,0.28144967347,0.01319142190929604,0.007231075700000001,0.0027907840305374325,0.00809175116,0.002740964883521228,0.49237337382999996,0.020258518094561234,0.10082705294,0.0037598860614424705
power_law,0.48979913362,0.06296304800986588,0.10551207583,0.011819292848439529,0.045394026680000005,0.00408392975935014,0.28039840638,0.013259430768370788,0.28120849104,0.01317130345301937,0.007231075700000001,0.0027907840305374325,0.00809488639,0.002738632868080736,0.83247695586,0.013843111086846807,0.057853651,0.0023559826841301765
