,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.29364374421502815,0.10076786909313107,0.11072728455779048,0.023904390194240246,0.06310298623492827,0.008568235603007377,0.2748557692307692,0.03314040427880077,0.27898504507211536,0.03251811129005281,0.007403846153846142,0.006569269027764168,0.011316116286057647,0.006095423377134909,0.5311364493896314,0.05459393115484253,0.07863103464158154,0.006859721811332644
gaussian,0.2594021088923398,0.08866457685039392,0.11330142064949465,0.023251772469338423,0.06647144240642676,0.008730125535533697,0.2748557692307692,0.03314040427880077,0.2790133533653846,0.03235059429663101,0.007403846153846142,0.006569269027764168,0.011308311298076874,0.00609034260473914,0.4705267165708538,0.04812407847360674,0.08363870599451442,0.0068748884063973975
power_law,0.3553995855950653,0.12326270726351818,0.10588678266196057,0.025310630046709533,0.05831035865043387,0.008511554278525386,0.2748557692307692,0.03314040427880077,0.2791855213341346,0.03249704559062587,0.007403846153846142,0.006569269027764168,0.011291708233173032,0.0060897933604077085,0.6360962122387047,0.05619508097851515,0.06912392220426879,0.006355993515810778
