,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.3668082247,0.03297059796315934,0.11664977423,0.007241704516847922,0.057747082260000006,0.0030894272367091753,0.27875249524,0.008817493546123713,0.27943111746,0.00883522617339103,0.00733033938,0.0018881190375772694,0.007762460289999999,0.0018749077218554295,0.60953125325,0.013958569858203857,0.08698598551,0.0023144598478727265
gaussian,0.30038061235,0.02673332543185935,0.12261563287999999,0.006953775519955721,0.06359318207,0.0032236930129058597,0.27875249524,0.008817493546123713,0.27942028521,0.008838157032231335,0.00733033938,0.0018881190375772694,0.00775738988,0.0018794734296493428,0.48991936809000003,0.011949445699774066,0.09943725801999999,0.002594193162397101
power_law,0.48148192088999997,0.047959986425030535,0.10552398425,0.008265288175787628,0.0449010886,0.0028972304629508792,0.27875249524,0.008817493546123713,0.27920157824,0.008828430445702072,0.00733033938,0.0018881190375772694,0.00776659444,0.0018769077895966256,0.8280396183700001,0.011134930161072153,0.05769245105,0.0018408349670825705
