,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.3961193745577429,0.08947745903817482,0.12799353324891613,0.02046039879736465,0.06853062018996098,0.009274386871373809,0.2747549019607843,0.03284550205360574,0.27950761642156857,0.0322513244334562,0.00848039215686271,0.0060681923614665624,0.012369036458333284,0.005639384782866196,0.6103173172970047,0.0444678195076738,0.09968826409747855,0.00850678001988687
gaussian,0.286460990864979,0.06682002260966809,0.13911426678293964,0.018954065051700743,0.0799408038829057,0.009678195949103373,0.2747549019607843,0.03284550205360574,0.27934231311274504,0.03222943393878196,0.00848039215686271,0.0060681923614665624,0.012371674325980339,0.005618003598578838,0.43488631123513666,0.05085207104095834,0.12014148070763814,0.009639828668361633
power_law,0.5473092182142892,0.13599403403929225,0.11018668523089184,0.025349042947843358,0.0506167953939232,0.009516139541653533,0.2747549019607843,0.03284550205360574,0.278882337622549,0.032143670936853413,0.00848039215686271,0.0060681923614665624,0.0124093596813725,0.005621464026984603,0.8584118177589933,0.03377537170438434,0.05957590046202653,0.005956337594802064
