,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.26159485296911106,0.06881193897553296,0.1093451666212557,0.018086573488018867,0.05969656843386287,0.006560363327433503,0.2757107843137254,0.01929745102556154,0.2779171537990196,0.019108690073275116,0.007377450980392113,0.004601810503416987,0.009431348805147012,0.004431247392519959,0.5222483114004854,0.037929468146606755,0.07499998187608298,0.004790031133310804
gaussian,0.23482904870346466,0.06152005316906016,0.11127621187903422,0.017804430702139853,0.06241187111992574,0.006693145413111989,0.2757107843137254,0.01929745102556154,0.27791944546568625,0.01917745792080397,0.007377450980392113,0.004601810503416987,0.009444685202205828,0.004423236881836081,0.46164283514687504,0.03443483705170097,0.07964614383659781,0.004855145473513164
power_law,0.3162413463653128,0.081046426544355,0.10526571821016771,0.01853871165973352,0.055013196252031396,0.006131885301867565,0.2757107843137254,0.01929745102556154,0.2778603546262255,0.019079158750961934,0.007377450980392113,0.004601810503416987,0.009443249846813677,0.004415880534858182,0.6394873788633211,0.04009963103795298,0.06507039015901757,0.004349347170430534
