Parameter 1,Parameter 2,Pearson r,p-value,Significant,Strength,Direction,abs_r
scale1,exponent1,0.943,0.0000,YES,STRONG,POSITIVE (coupled),0.943
scale2,exponent2,0.909,0.0000,YES,STRONG,POSITIVE (coupled),0.909
fx1,scale1,0.732,0.0000,YES,STRONG,POSITIVE (coupled),0.732
fz1,fz2,0.686,0.0000,YES,MODERATE,POSITIVE (coupled),0.686
fx2,scale2,0.683,0.0000,YES,MODERATE,POSITIVE (coupled),0.683
fx1,exponent1,0.651,0.0000,YES,MODERATE,POSITIVE (coupled),0.651
fx2,exponent2,0.536,0.0000,YES,MODERATE,POSITIVE (coupled),0.536
fy1,scale1,-0.417,0.0000,YES,MODERATE,NEGATIVE (trade-off),0.417
fx2,fy2,0.375,0.0001,YES,WEAK,POSITIVE (coupled),0.375
fx1,fy1,-0.342,0.0005,YES,WEAK,NEGATIVE (trade-off),0.342
fz1,scale1,-0.332,0.0007,YES,WEAK,NEGATIVE (trade-off),0.332
fy2,scale2,0.328,0.0009,YES,WEAK,POSITIVE (coupled),0.328
fx2,scale1,0.314,0.0015,YES,WEAK,POSITIVE (coupled),0.314
fx1,fz1,-0.307,0.0019,YES,WEAK,NEGATIVE (trade-off),0.307
fy1,exponent1,-0.304,0.0021,YES,WEAK,NEGATIVE (trade-off),0.304
fx2,fz2,-0.257,0.0099,YES,WEAK,NEGATIVE (trade-off),0.257
fz1,weight,0.252,0.0114,YES,WEAK,POSITIVE (coupled),0.252
fx2,exponent1,0.236,0.0179,YES,WEAK,POSITIVE (coupled),0.236
fx1,phi,-0.229,0.0219,YES,WEAK,NEGATIVE (trade-off),0.229
exponent1,exponent2,-0.224,0.0248,YES,WEAK,NEGATIVE (trade-off),0.224
fz2,scale1,-0.220,0.0282,YES,WEAK,NEGATIVE (trade-off),0.22
fz2,scale2,-0.211,0.0354,YES,WEAK,NEGATIVE (trade-off),0.211
fx1,fx2,0.203,0.0426,YES,WEAK,POSITIVE (coupled),0.203
fy2,exponent2,0.195,0.0515,NO,NEGLIGIBLE,POSITIVE (coupled),0.195
pi0,exponent2,0.193,0.0543,NO,NEGLIGIBLE,POSITIVE (coupled),0.193
fx2,fz1,-0.179,0.0747,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.179
weight,exponent1,0.173,0.0855,NO,NEGLIGIBLE,POSITIVE (coupled),0.173
scale2,pi0,0.166,0.0987,NO,NEGLIGIBLE,POSITIVE (coupled),0.166
pi0,exponent1,-0.164,0.1029,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.164
scale1,pi0,-0.164,0.1027,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.164
phi,q_param,-0.161,0.1100,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.161
fz1,exponent1,-0.159,0.1139,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.159
fx2,fy1,-0.150,0.1352,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.15
fy2,scale1,0.144,0.1542,NO,NEGLIGIBLE,POSITIVE (coupled),0.144
fy1,fz1,0.142,0.1575,NO,NEGLIGIBLE,POSITIVE (coupled),0.142
weight,scale2,0.142,0.1595,NO,NEGLIGIBLE,POSITIVE (coupled),0.142
fz2,pi0,0.139,0.1667,NO,NEGLIGIBLE,POSITIVE (coupled),0.139
fx1,exponent2,-0.139,0.1684,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.139
fx1,fz2,-0.136,0.1770,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.136
fy2,exponent1,0.132,0.1904,NO,NEGLIGIBLE,POSITIVE (coupled),0.132
fy2,q_param,0.131,0.1924,NO,NEGLIGIBLE,POSITIVE (coupled),0.131
fy2,weight,-0.122,0.2272,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.122
q_param,exponent2,-0.116,0.2520,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.116
scale1,exponent2,-0.116,0.2496,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.116
fz2,exponent1,-0.114,0.2606,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.114
weight,pi0,0.112,0.2689,NO,NEGLIGIBLE,POSITIVE (coupled),0.112
fy2,phi,-0.111,0.2709,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.111
fx2,phi,-0.107,0.2915,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.107
fz1,scale2,-0.106,0.2948,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.106
scale2,q_param,-0.103,0.3090,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.103
fy1,fy2,0.102,0.3140,NO,NEGLIGIBLE,POSITIVE (coupled),0.102
pi0,q_param,-0.101,0.3172,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.101
fx2,weight,-0.100,0.3238,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.1
scale1,scale2,0.090,0.3747,NO,NEGLIGIBLE,POSITIVE (coupled),0.09
fy1,scale2,-0.089,0.3806,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.089
fz2,exponent2,-0.085,0.4029,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.085
fx1,fy2,0.081,0.4245,NO,NEGLIGIBLE,POSITIVE (coupled),0.081
fx1,weight,0.078,0.4388,NO,NEGLIGIBLE,POSITIVE (coupled),0.078
scale2,phi,-0.075,0.4589,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.075
fx1,pi0,-0.075,0.4558,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.075
fz1,pi0,0.074,0.4623,NO,NEGLIGIBLE,POSITIVE (coupled),0.074
fy1,exponent2,-0.072,0.4735,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.072
fy1,phi,-0.064,0.5290,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.064
weight,exponent2,-0.064,0.5252,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.064
fy2,pi0,0.058,0.5642,NO,NEGLIGIBLE,POSITIVE (coupled),0.058
fx1,scale2,0.055,0.5842,NO,NEGLIGIBLE,POSITIVE (coupled),0.055
phi,exponent1,0.055,0.5840,NO,NEGLIGIBLE,POSITIVE (coupled),0.055
fz2,weight,0.049,0.6311,NO,NEGLIGIBLE,POSITIVE (coupled),0.049
fy1,q_param,0.049,0.6303,NO,NEGLIGIBLE,POSITIVE (coupled),0.049
fz2,q_param,-0.046,0.6469,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.046
fz1,exponent2,-0.040,0.6905,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.04
fz1,q_param,0.040,0.6907,NO,NEGLIGIBLE,POSITIVE (coupled),0.04
fx2,q_param,-0.038,0.7067,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.038
fz2,phi,-0.034,0.7400,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.034
scale2,exponent1,0.033,0.7476,NO,NEGLIGIBLE,POSITIVE (coupled),0.033
fy1,weight,-0.030,0.7689,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.03
fy1,pi0,-0.027,0.7875,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.027
scale1,phi,-0.026,0.7962,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.026
fy2,fz1,0.025,0.8078,NO,NEGLIGIBLE,POSITIVE (coupled),0.025
fy2,fz2,-0.017,0.8671,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.017
phi,exponent2,0.016,0.8755,NO,NEGLIGIBLE,POSITIVE (coupled),0.016
scale1,q_param,-0.015,0.8836,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.015
fx2,pi0,-0.014,0.8897,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.014
fy1,fz2,0.014,0.8892,NO,NEGLIGIBLE,POSITIVE (coupled),0.014
fz1,phi,-0.013,0.8960,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.013
weight,scale1,-0.012,0.9072,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.012
fx1,q_param,-0.005,0.9631,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.005
weight,q_param,-0.004,0.9669,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.004
weight,phi,0.001,0.9943,NO,NEGLIGIBLE,POSITIVE (coupled),0.001
q_param,exponent1,-0.001,0.9947,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.001
phi,pi0,0.001,0.9907,NO,NEGLIGIBLE,POSITIVE (coupled),0.001
