Parameter 1,Parameter 2,Pearson r,p-value,Significant,Strength,Direction,abs_r
scale1,exponent1,0.935,0.0000,YES,STRONG,POSITIVE (coupled),0.935
scale2,exponent2,0.934,0.0000,YES,STRONG,POSITIVE (coupled),0.934
fz1,fz2,0.796,0.0000,YES,STRONG,POSITIVE (coupled),0.796
fx1,scale1,0.763,0.0000,YES,STRONG,POSITIVE (coupled),0.763
fx2,scale2,0.712,0.0000,YES,STRONG,POSITIVE (coupled),0.712
fx1,exponent1,0.654,0.0000,YES,MODERATE,POSITIVE (coupled),0.654
fx2,exponent2,0.611,0.0000,YES,MODERATE,POSITIVE (coupled),0.611
fy1,scale1,-0.442,0.0000,YES,MODERATE,NEGATIVE (trade-off),0.442
fx2,fy2,0.390,0.0001,YES,WEAK,POSITIVE (coupled),0.39
fx1,fy1,-0.388,0.0001,YES,WEAK,NEGATIVE (trade-off),0.388
fy2,scale2,0.331,0.0008,YES,WEAK,POSITIVE (coupled),0.331
fx1,fz1,-0.307,0.0019,YES,WEAK,NEGATIVE (trade-off),0.307
exponent1,exponent2,-0.305,0.0020,YES,WEAK,NEGATIVE (trade-off),0.305
fy1,exponent1,-0.299,0.0025,YES,WEAK,NEGATIVE (trade-off),0.299
fx1,fz2,-0.255,0.0104,YES,WEAK,NEGATIVE (trade-off),0.255
fz2,scale2,-0.251,0.0118,YES,WEAK,NEGATIVE (trade-off),0.251
fy2,exponent2,0.216,0.0308,YES,WEAK,POSITIVE (coupled),0.216
fz1,scale2,-0.200,0.0464,YES,NEGLIGIBLE,NEGATIVE (trade-off),0.2
fz1,scale1,-0.193,0.0543,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.193
fx2,fz2,-0.179,0.0742,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.179
fx2,pi0,-0.179,0.0746,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.179
fz2,weight,-0.173,0.0852,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.173
weight,exponent1,0.171,0.0881,NO,NEGLIGIBLE,POSITIVE (coupled),0.171
weight,scale2,0.169,0.0933,NO,NEGLIGIBLE,POSITIVE (coupled),0.169
fz1,exponent2,-0.155,0.1247,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.155
fy1,fz1,0.154,0.1265,NO,NEGLIGIBLE,POSITIVE (coupled),0.154
scale1,exponent2,-0.151,0.1329,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.151
fy1,phi,0.148,0.1423,NO,NEGLIGIBLE,POSITIVE (coupled),0.148
fx1,weight,0.146,0.1458,NO,NEGLIGIBLE,POSITIVE (coupled),0.146
fx2,fz1,-0.142,0.1600,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.142
