,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,2.47 ± 0.80
4,Mean Bias,2.47 ± 0.80
5,RMSE,2.63 ± 0.84
6,Coverage Rate,100.00 ± 0.00
7,Mean R-hat,1.00
8,Mean ESS (bulk),14527
9,N with ESS < 400,0.1
