,Metric,Value
0,Model,power_law
1,True Value,0.80
2,N Simulations,100
3,Mean Estimate,0.87 ± 0.02
4,Mean Bias,0.07 ± 0.02
5,RMSE,0.07 ± 0.02
6,Coverage Rate,99.25 ± 5.57
7,Mean R-hat,1.00
8,Mean ESS (bulk),14305
9,N with ESS < 400,0.0
