,Metric,Value
0,Model,power_law
1,True Value,50.00
2,N Simulations,100
3,Mean Estimate,50.11 ± 0.24
4,Mean Bias,0.11 ± 0.24
5,RMSE,0.36 ± 0.19
6,Coverage Rate,97.75 ± 7.19
7,Mean R-hat,1.01
8,Mean ESS (bulk),25715
9,N with ESS < 400,0.2
