,Model,Parameter,True Value,N Simulations,Mean Estimate,Mean Bias,Mean Abs Bias,Mean Relative Error,Coverage,Converged,Low ESS,Mean R-hat,Mean ESS (bulk)
0,power_law,scale1,5.00,100,4.50 ± 1.16,-0.50 ± 1.16,1.04,20.82,88.0%,99.0%,1.0%,1.00,15624
1,power_law,exponent1,2.00,100,1.98 ± 0.27,-0.02 ± 0.27,0.22,10.94,95.0%,99.0%,1.0%,1.00,16069
2,power_law,scale2,5.00,100,4.96 ± 1.00,-0.04 ± 1.00,0.81,16.24,100.0%,99.0%,0.0%,1.00,14883
3,power_law,exponent2,2.00,100,2.24 ± 0.27,0.24 ± 0.27,0.30,14.83,100.0%,99.0%,1.0%,1.00,14593
4,power_law,weight,0.80,100,0.65 ± 0.02,-0.15 ± 0.02,0.15,18.35,34.0%,99.0%,1.0%,1.00,14807
5,power_law,q_param,0.01,100,0.01 ± 0.00,0.00 ± 0.00,0.00,29.40,98.0%,99.0%,1.0%,1.00,38198
6,power_law,pi0,0.30,100,0.30 ± 0.01,0.00 ± 0.01,0.01,3.61,96.0%,99.0%,0.0%,1.00,39423
7,power_law,phi,18.00,100,17.99 ± 1.20,-0.01 ± 1.20,0.99,5.48,94.0%,100.0%,1.0%,1.00,33070
