,Metric,Value
0,Model,power_law
1,True Value,50.00
2,N Simulations,100
3,Mean Estimate,50.05 ± 0.18
4,Mean Bias,0.05 ± 0.18
5,RMSE,0.29 ± 0.13
6,Coverage Rate,96.75 ± 8.45
7,Mean R-hat,1.00
8,Mean ESS (bulk),30535
9,N with ESS < 400,0.0
