,Metric,Value
0,Model,power_law
1,True Value,0.80
2,N Simulations,100
3,Mean Estimate,0.62 ± 0.04
4,Mean Bias,-0.18 ± 0.04
5,RMSE,0.18 ± 0.04
6,Coverage Rate,100.00 ± 0.00
7,Mean R-hat,1.00
8,Mean ESS (bulk),16112
9,N with ESS < 400,0.1
