,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,-0.06 ± 0.12
4,Mean Bias,-0.06 ± 0.12
5,RMSE,0.22 ± 0.07
6,Coverage Rate,98.00 ± 6.82
7,Mean R-hat,1.00
8,Mean ESS (bulk),30881
9,N with ESS < 400,0.0
