,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,scale2_post_mean,scale2_rhat,scale2_ess_bulk,scale2_bias,scale2_abs_bias,scale2_relative_error,scale2_covered,scale2_converged,exponent2_post_mean,exponent2_rhat,exponent2_ess_bulk,exponent2_bias,exponent2_abs_bias,exponent2_relative_error,exponent2_covered,exponent2_converged,weight_post_mean,weight_rhat,weight_ess_bulk,weight_bias,weight_abs_bias,weight_relative_error,weight_covered,weight_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fx2,fx2_post_mean_avg,fx2_post_mean_sd,fx2_post_mean_min,fx2_post_mean_max,fx2_bias_mean,fx2_bias_sd,fx2_rmse,fx2_mae,fx2_coverage_rate,fx2_n_covered,fx2_n_rhat_nan,fx2_rhat_mean,fx2_rhat_max,fx2_n_rhat_above_1.01,fx2_ess_bulk_min,fx2_ess_bulk_mean,fx2_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400,n_fy2,fy2_post_mean_avg,fy2_post_mean_sd,fy2_post_mean_min,fy2_post_mean_max,fy2_bias_mean,fy2_bias_sd,fy2_rmse,fy2_mae,fy2_coverage_rate,fy2_n_covered,fy2_n_rhat_nan,fy2_rhat_mean,fy2_rhat_max,fy2_n_rhat_above_1.01,fy2_ess_bulk_min,fy2_ess_bulk_mean,fy2_n_ess_below_400
0,0,power_law,5.866,1.0,18156.0,0.8659999999999997,0.8659999999999997,17.319999999999993,1,1,2.431,1.0,17529.0,0.43100000000000005,0.43100000000000005,21.550000000000004,1,1,4.39,1.0,14789.0,-0.6100000000000003,0.6100000000000003,12.200000000000006,1,1,1.826,1.0,14648.0,-0.17399999999999993,0.17399999999999993,8.699999999999996,1,1,0.546,1.0,18197.0,-0.05399999999999994,0.05399999999999994,8.99999999999999,1,1,0.012,1.0,35484.0,0.002,0.002,20.0,1,1,0.294,1.0,48670.0,-0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,17.769,1.0,37617.0,-0.23100000000000165,0.23100000000000165,1.2833333333333425,1,1,4,0.1775,0.094112964037905,0.058,0.309,0.1775,0.094112964037905,0.20090669476152356,0.1775,1.0,4,0,1.0,1.0,0,2754.0,12115.5,0,4,0.20975,0.06233528294633786,0.125,0.3,0.20975,0.06233528294633786,0.21881670411556792,0.20975,1.0,4,0,1.0,1.0,0,10763.0,14747.0,0,4,-0.14875000000000002,0.2541833737678371,-0.555,0.102,-0.14875000000000002,0.2541833737678371,0.29450933771274557,0.21225000000000002,1.0,4,0,1.0,1.0,0,23132.0,32009.25,0,4,50.471500000000006,0.07402195620219758,50.38,50.558,0.4715000000000007,0.07402195620219756,0.47727507791629004,0.4715000000000007,1.0,4,0,1.0,1.0,0,15505.0,21790.75,0
1,1,power_law,3.994,1.0,16867.0,-1.0059999999999998,1.0059999999999998,20.119999999999997,1,1,1.957,1.0,16314.0,-0.04299999999999993,0.04299999999999993,2.1499999999999964,1,1,3.856,1.0,16710.0,-1.1440000000000001,1.1440000000000001,22.880000000000003,1,1,1.7,1.0,16401.0,-0.30000000000000004,0.30000000000000004,15.000000000000002,1,1,0.534,1.0,20413.0,-0.06599999999999995,0.06599999999999995,10.999999999999991,1,1,0.014,1.0,42132.0,0.004,0.004,40.0,1,1,0.312,1.0,52517.0,0.01200000000000001,0.01200000000000001,4.0000000000000036,1,1,16.935,1.0,41947.0,-1.0650000000000013,1.0650000000000013,5.916666666666673,1,1,4,0.15,0.043179856414768215,0.078,0.191,0.15,0.043179856414768215,0.1560913194255209,0.15,1.0,4,0,1.0,1.0,0,10499.0,13296.75,0,4,0.1815,0.07291947613635194,0.063,0.252,0.1815,0.07291947613635194,0.19560035787288324,0.1815,1.0,4,0,1.0,1.0,0,13304.0,16833.25,0,4,-0.07150000000000001,0.21205954352492604,-0.401,0.17,-0.07150000000000001,0.21205954352492604,0.22378896308799504,0.1765,1.0,4,0,1.0,1.0,0,27080.0,31778.5,0,4,49.965,0.26814268589689205,49.651,50.366,-0.03500000000000014,0.268142685896892,0.2704172701585446,0.2339999999999982,1.0,4,0,1.0,1.0,0,24332.0,30415.5,0
2,2,power_law,3.781,1.0,16022.0,-1.2189999999999999,1.2189999999999999,24.379999999999995,1,1,1.912,1.0,15209.0,-0.08800000000000008,0.08800000000000008,4.400000000000004,1,1,6.681,1.0,17110.0,1.681,1.681,33.62,1,1,2.436,1.0,15803.0,0.43599999999999994,0.43599999999999994,21.799999999999997,1,1,0.549,1.0,15069.0,-0.050999999999999934,0.050999999999999934,8.49999999999999,1,1,0.011,1.0,17456.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.292,1.0,32873.0,-0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,17.9,1.0,24566.0,-0.10000000000000142,0.10000000000000142,0.5555555555555635,1,1,4,0.08775,0.05486061884448626,0.027,0.165,0.08775,0.05486061884448626,0.10348792200058904,0.08775,1.0,4,0,1.0,1.0,0,10620.0,20055.75,0,4,0.353,0.13182753885285123,0.163,0.534,0.353,0.13182753885285123,0.3768122874854269,0.353,1.0,4,0,1.0,1.0,0,3888.0,8624.25,0,4,0.087,0.1068901305079192,-0.094,0.183,0.087,0.1068901305079192,0.137820535480022,0.134,1.0,4,0,1.0,1.0,0,16815.0,24427.0,0,4,49.867000000000004,0.050882216932833485,49.786,49.916,-0.13299999999999912,0.050882216932833485,0.1424008426941347,0.13299999999999912,1.0,4,0,1.0,1.0,0,9954.0,12096.5,0
3,3,power_law,5.319,1.0,17913.0,0.31899999999999995,0.31899999999999995,6.38,1,1,2.259,1.0,17643.0,0.2589999999999999,0.2589999999999999,12.949999999999996,1,1,4.114,1.0,18403.0,-0.8860000000000001,0.8860000000000001,17.720000000000002,1,1,1.912,1.0,17721.0,-0.08800000000000008,0.08800000000000008,4.400000000000004,1,1,0.546,1.0,19460.0,-0.05399999999999994,0.05399999999999994,8.99999999999999,1,1,0.008,1.0,48433.0,-0.002,0.002,20.0,1,1,0.302,1.0,46174.0,0.0020000000000000018,0.0020000000000000018,0.6666666666666673,1,1,17.92,1.0,44844.0,-0.0799999999999983,0.0799999999999983,0.444444444444435,1,1,4,0.18475,0.07455325277947301,0.112,0.303,0.18475,0.07455325277947301,0.19922537488984682,0.18475,1.0,4,0,1.0,1.0,0,4074.0,12670.5,0,4,0.19075,0.1118265956738378,0.033,0.323,0.19075,0.1118265956738378,0.22111252791282543,0.19075,1.0,4,0,1.0,1.0,0,8660.0,19570.75,0,4,-0.36099999999999993,0.5115408097112096,-1.013,0.227,-0.36099999999999993,0.5115408097112096,0.626095040708677,0.49499999999999994,0.75,3,0,1.0,1.0,0,22909.0,33684.5,0,4,49.763000000000005,0.19404509785098906,49.478,49.957,-0.23699999999999832,0.19404509785098906,0.30630458697185575,0.23699999999999832,1.0,4,0,1.0,1.0,0,35187.0,39561.0,0
4,4,power_law,3.11,1.0,15718.0,-1.8900000000000001,1.8900000000000001,37.8,1,1,1.605,1.0,15203.0,-0.395,0.395,19.75,1,1,4.363,1.0,14963.0,-0.6369999999999996,0.6369999999999996,12.73999999999999,1,1,2.031,1.0,14228.0,0.03100000000000014,0.03100000000000014,1.550000000000007,1,1,0.545,1.0,17460.0,-0.05499999999999994,0.05499999999999994,9.166666666666657,1,1,0.02,1.0,22858.0,0.01,0.01,100.0,0,1,0.287,1.0,33930.0,-0.013000000000000012,0.013000000000000012,4.3333333333333375,1,1,16.867,1.0,28612.0,-1.1329999999999991,1.1329999999999991,6.29444444444444,1,1,4,0.16174999999999998,0.10098112447383421,0.031,0.292,0.16174999999999998,0.10098112447383421,0.19068363852202946,0.16174999999999998,1.0,4,0,1.0,1.0,0,3280.0,13360.75,0,4,0.14925,0.046050922900632514,0.077,0.194,0.14925,0.046050922900632514,0.15619298959940553,0.14925,1.0,4,0,1.0,1.0,0,8035.0,11596.25,0,4,-0.35075,0.4208755011877028,-1.051,0.003,-0.35075,0.4208755011877028,0.547870194480408,0.35225,0.75,3,0,1.0,1.0,0,29415.0,34214.25,0,4,49.8905,0.15169953856225066,49.651,50.069,-0.10949999999999882,0.15169953856225069,0.18709088700414972,0.14400000000000013,1.0,4,0,1.0,1.0,0,18343.0,24983.5,0
5,5,power_law,5.795,1.0,16146.0,0.7949999999999999,0.7949999999999999,15.899999999999997,1,1,2.072,1.0,15666.0,0.07200000000000006,0.07200000000000006,3.600000000000003,1,1,7.456,1.0,18109.0,2.4560000000000004,2.4560000000000004,49.120000000000005,1,1,2.831,1.0,18254.0,0.831,0.831,41.55,1,1,0.495,1.0,17258.0,-0.10499999999999998,0.10499999999999998,17.5,1,1,0.007,1.0,42735.0,-0.003,0.003,30.0,1,1,0.33,1.0,48572.0,0.030000000000000027,0.030000000000000027,10.000000000000009,1,1,16.136,1.0,39717.0,-1.8640000000000008,1.8640000000000008,10.35555555555556,1,1,4,0.22000000000000003,0.06388270501473775,0.153,0.323,0.22000000000000003,0.06388270501473775,0.22908731959669876,0.22000000000000003,1.0,4,0,1.0,1.0,0,13226.0,16062.0,0,4,0.53975,0.20203635192707278,0.213,0.755,0.53975,0.20203635192707278,0.5763234768773523,0.53975,1.0,4,0,1.0,1.0,0,2585.0,6410.25,0,4,-0.49825,0.4471243535080593,-1.136,0.089,-0.49825,0.4471243535080593,0.6694574295651666,0.54275,1.0,4,0,1.0,1.0,0,15413.0,21863.5,0,4,50.3865,0.3275793796929228,50.114,50.937,0.38649999999999807,0.3275793796929228,0.5066463263460997,0.38649999999999807,1.0,4,0,1.0,1.0,0,14343.0,24089.75,0
6,6,power_law,4.53,1.06,13494.0,-0.46999999999999975,0.46999999999999975,9.399999999999995,1,0,2.138,1.07,14824.0,0.1379999999999999,0.1379999999999999,6.899999999999995,1,0,4.521,1.02,205.0,-0.4790000000000001,0.4790000000000001,9.580000000000002,1,0,1.869,1.01,2187.0,-0.131,0.131,6.550000000000001,1,1,0.548,1.06,12550.0,-0.051999999999999935,0.051999999999999935,8.666666666666655,1,0,0.016,1.02,163.0,0.006,0.006,60.0,1,0,0.282,1.02,21522.0,-0.018000000000000016,0.018000000000000016,6.000000000000005,1,0,15.905,1.01,4343.0,-2.0950000000000006,2.0950000000000006,11.638888888888893,0,1,4,0.14275000000000002,0.17866361549011595,0.008,0.447,0.14275000000000002,0.17866361549011595,0.2286881063807211,0.14275000000000002,1.0,4,0,1.02,1.02,4,115.0,692.25,3,4,0.17800000000000002,0.13305825791734988,0.045,0.348,0.17800000000000002,0.13305825791734988,0.2222352357300705,0.17800000000000002,1.0,4,0,1.0425000000000002,1.07,4,46.0,2868.75,3,4,-0.26375,0.17085575056169458,-0.501,-0.018,-0.26375,0.17085575056169458,0.31425427602500494,0.26375,1.0,4,0,1.0325,1.08,2,71.0,9644.0,2,4,50.184749999999994,0.13034641345276826,50.032,50.335,0.1847499999999993,0.13034641345276826,0.22610340554710745,0.1847499999999993,1.0,4,0,1.0175,1.03,2,84.0,320.5,3
7,7,power_law,4.869,1.0,20300.0,-0.13100000000000023,0.13100000000000023,2.6200000000000045,1,1,2.076,1.0,19757.0,0.07600000000000007,0.07600000000000007,3.8000000000000034,1,1,6.343,1.0,17817.0,1.343,1.343,26.86,1,1,2.337,1.0,17969.0,0.3370000000000002,0.3370000000000002,16.85000000000001,1,1,0.498,1.0,19939.0,-0.10199999999999998,0.10199999999999998,17.0,1,1,0.015,1.0,42600.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.315,1.0,48478.0,0.015000000000000013,0.015000000000000013,5.000000000000004,1,1,17.599,1.0,43203.0,-0.4009999999999998,0.4009999999999998,2.227777777777777,1,1,4,0.14275,0.06981538154303821,0.051,0.241,0.14275,0.06981538154303821,0.15890799224708618,0.14275,1.0,4,0,1.0,1.0,0,12800.0,17968.5,0,4,0.46974999999999995,0.32066600614970087,0.143,0.938,0.46974999999999995,0.32066600614970087,0.5687633514916375,0.46974999999999995,1.0,4,0,1.0025,1.01,0,714.0,11365.75,0,4,-0.084,0.22714202605418488,-0.292,0.298,-0.084,0.22714202605418488,0.24217658846387277,0.23299999999999998,1.0,4,0,1.0,1.0,0,34257.0,36853.5,0,4,50.577749999999995,0.4313614348779912,50.025,51.035,0.5777499999999982,0.4313614348779912,0.7210185503854927,0.5777499999999982,0.75,3,0,1.0,1.0,0,19415.0,27873.75,0
8,8,power_law,6.426,1.0,19773.0,1.4260000000000002,1.4260000000000002,28.52,1,1,2.404,1.0,19237.0,0.4039999999999999,0.4039999999999999,20.199999999999996,1,1,6.477,1.0,17995.0,1.4770000000000003,1.4770000000000003,29.540000000000006,1,1,2.418,1.0,17574.0,0.41800000000000015,0.41800000000000015,20.900000000000006,1,1,0.544,1.0,16877.0,-0.05599999999999994,0.05599999999999994,9.333333333333323,1,1,0.008,1.0,42873.0,-0.002,0.002,20.0,1,1,0.302,1.0,51461.0,0.0020000000000000018,0.0020000000000000018,0.6666666666666673,1,1,17.819,1.0,39766.0,-0.18100000000000094,0.18100000000000094,1.0055555555555606,1,1,4,0.2865,0.16642941446751536,0.105,0.543,0.2865,0.16642941446751536,0.33133215962233425,0.2865,1.0,4,0,1.0,1.0,0,5089.0,10848.25,0,4,0.3175,0.16066813623117682,0.175,0.58,0.3175,0.16066813623117682,0.3558377439227042,0.3175,1.0,4,0,1.0,1.0,0,6407.0,12801.25,0,4,-0.10325,0.3458521179637332,-0.538,0.268,-0.10325,0.3458521179637332,0.36093524349943995,0.33825,1.0,4,0,1.0,1.0,0,22272.0,26941.5,0,4,50.222,0.46852587975479043,49.443,50.617,0.22199999999999953,0.46852587975479043,0.5184597380703734,0.5005000000000006,1.0,4,0,1.0,1.0,0,20660.0,25913.25,0
9,9,power_law,4.495,1.0,19169.0,-0.5049999999999999,0.5049999999999999,10.099999999999998,1,1,2.139,1.0,18305.0,0.1389999999999998,0.1389999999999998,6.9499999999999895,1,1,3.107,1.0,15321.0,-1.8929999999999998,1.8929999999999998,37.85999999999999,1,1,1.583,1.0,15347.0,-0.41700000000000004,0.41700000000000004,20.85,1,1,0.533,1.0,17069.0,-0.06699999999999995,0.06699999999999995,11.166666666666657,1,1,0.014,1.0,51490.0,0.004,0.004,40.0,1,1,0.307,1.0,53736.0,0.007000000000000006,0.007000000000000006,2.3333333333333357,1,1,19.071,1.0,37923.0,1.0710000000000015,1.0710000000000015,5.950000000000008,1,1,4,0.1335,0.06548473104472524,0.06,0.233,0.1335,0.06548473104472524,0.14869599860117286,0.1335,1.0,4,0,1.0,1.0,0,7044.0,17825.0,0,4,0.08600000000000001,0.022638462845343543,0.055,0.117,0.08600000000000001,0.022638462845343543,0.08892974755389785,0.08600000000000001,1.0,4,0,1.0,1.0,0,13922.0,21949.75,0,4,-0.19624999999999998,0.2952307360353932,-0.528,0.268,-0.19624999999999998,0.2952307360353932,0.3545070521160334,0.33025,0.75,3,0,1.0,1.0,0,31997.0,36964.25,0,4,50.02725000000001,0.21782949180494396,49.67,50.258,0.027250000000002217,0.21782949180494393,0.21952733315011197,0.19225000000000136,1.0,4,0,1.0,1.0,0,31465.0,36158.75,0
