,Metric,Value
0,Model,power_law
1,True Value,50.00
2,N Simulations,100
3,Mean Estimate,50.46 ± 0.58
4,Mean Bias,0.46 ± 0.58
5,RMSE,0.80 ± 0.47
6,Coverage Rate,94.75 ± 10.23
7,Mean R-hat,1.00
8,Mean ESS (bulk),16942
9,N with ESS < 400,0.0
