,Model,Parameter,True Value,N Simulations,Mean Estimate,Mean Bias,Mean Abs Bias,Mean Relative Error,Coverage,Converged,Low ESS,Mean R-hat,Mean ESS (bulk)
0,power_law,scale1,5.00,100,4.85 ± 1.10,-0.15 ± 1.10,0.85,16.97,92.0%,97.0%,3.0%,1.00,14219
1,power_law,exponent1,2.00,100,2.05 ± 0.24,0.05 ± 0.24,0.18,8.85,97.0%,97.0%,3.0%,1.00,14352
2,power_law,scale2,5.00,100,4.87 ± 0.49,-0.13 ± 0.49,0.38,7.65,100.0%,97.0%,4.0%,1.00,16533
3,power_law,exponent2,2.00,100,2.40 ± 0.29,0.40 ± 0.29,0.42,21.20,100.0%,97.0%,3.0%,1.00,17759
4,power_law,weight,0.95,100,0.74 ± 0.03,-0.21 ± 0.03,0.21,22.00,0.0%,97.0%,3.0%,1.00,13239
5,power_law,q_param,0.01,100,0.01 ± 0.00,0.00 ± 0.00,0.00,29.00,98.0%,97.0%,2.0%,1.00,36832
6,power_law,pi0,0.30,100,0.30 ± 0.01,0.00 ± 0.01,0.01,3.48,98.0%,98.0%,0.0%,1.00,40413
7,power_law,phi,18.00,100,17.94 ± 1.13,-0.06 ± 1.13,0.88,4.91,96.0%,98.0%,3.0%,1.00,33735
