,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,-0.01 ± 0.03
4,Mean Bias,-0.01 ± 0.03
5,RMSE,0.05 ± 0.03
6,Coverage Rate,99.25 ± 4.29
7,Mean R-hat,1.00
8,Mean ESS (bulk),18677
9,N with ESS < 400,0.2
