,Model,Parameter,True Value,N Simulations,Mean Estimate,Mean Bias,Mean Abs Bias,Mean Relative Error,Coverage,Converged,Low ESS,Mean R-hat,Mean ESS (bulk)
0,power_law,scale1,1.00,100,0.43 ± 0.04,-0.57 ± 0.04,0.57,57.07,0.0%,91.0%,6.0%,1.01,12606
1,power_law,exponent1,3.00,100,2.09 ± 0.07,-0.91 ± 0.07,0.91,30.17,0.0%,94.0%,5.0%,1.00,14963
2,power_law,q_param,0.01,100,0.02 ± 0.01,0.01 ± 0.01,0.01,117.40,70.0%,92.0%,7.0%,1.01,19912
3,power_law,pi0,0.30,100,0.65 ± 0.01,0.35 ± 0.01,0.35,115.76,0.0%,94.0%,5.0%,1.00,21543
4,power_law,phi,18.00,100,11.54 ± 1.72,-6.46 ± 1.72,6.46,35.86,19.0%,93.0%,4.0%,1.00,14055
