,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
51,51,power_law,4.164,1.0,8913.0,-0.8360000000000003,0.8360000000000003,16.720000000000006,1,1,1.895,1.0,11673.0,-0.10499999999999998,0.10499999999999998,5.249999999999999,1,1,0.011,1.0,27241.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.275,1.0,25957.0,-0.024999999999999967,0.024999999999999967,8.333333333333323,1,1,16.947,1.0,29904.0,-1.0530000000000008,1.0530000000000008,5.850000000000004,1,1,4,0.13225,0.034222616790654685,0.087,0.176,0.13225,0.034222616790654685,0.1366061858043039,0.13225,1.0,4,0,1.0,1.0,0,2748.0,5358.0,0,4,-0.049,0.06114327436439759,-0.124,0.045,-0.049,0.06114327436439759,0.07835496155317798,0.0715,1.0,4,0,1.0,1.0,0,25164.0,26178.25,0
52,52,power_law,5.324,1.0,8498.0,0.32399999999999984,0.32399999999999984,6.479999999999997,1,1,2.078,1.0,11502.0,0.07799999999999985,0.07799999999999985,3.8999999999999924,1,1,0.024,1.0,34010.0,0.014,0.014,140.0,0,1,0.29,1.0,28558.0,-0.010000000000000009,0.010000000000000009,3.3333333333333366,1,1,16.993,1.0,27015.0,-1.0070000000000014,1.0070000000000014,5.594444444444453,1,1,4,0.14975,0.054181985013471046,0.072,0.225,0.14975,0.054181985013471046,0.15925058869592917,0.14975,1.0,4,0,1.0,1.0,0,3050.0,4487.5,0,4,-0.1825,0.13419854693699185,-0.315,0.031,-0.1825,0.13419854693699185,0.22652924755977982,0.198,1.0,4,0,1.0,1.0,0,13399.0,18628.75,0
53,53,power_law,3.869,1.0,8119.0,-1.1309999999999998,1.1309999999999998,22.619999999999997,1,1,1.865,1.0,10214.0,-0.135,0.135,6.75,1,1,0.013,1.0,25965.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.331,1.0,29443.0,0.031000000000000028,0.031000000000000028,10.333333333333343,0,1,20.109,1.0,29367.0,2.1090000000000018,2.1090000000000018,11.716666666666677,1,1,4,0.06875,0.03521629594378148,0.021,0.105,0.06875,0.03521629594378148,0.07724474092130804,0.06875,1.0,4,0,1.0,1.0,0,3720.0,6993.5,0,4,-0.037,0.13297368160654952,-0.235,0.127,-0.037,0.13297368160654952,0.13802535998866297,0.113,1.0,4,0,1.0,1.0,0,22487.0,26103.25,0
54,54,power_law,2.824,1.0,4954.0,-2.176,2.176,43.52,0,1,1.717,1.0,4545.0,-0.2829999999999999,0.2829999999999999,14.149999999999995,0,1,0.008,1.0,22914.0,-0.002,0.002,20.0,1,1,0.327,1.0,14602.0,0.027000000000000024,0.027000000000000024,9.000000000000007,1,1,19.711,1.0,17495.0,1.7109999999999985,1.7109999999999985,9.505555555555548,1,1,4,0.08125,0.03971382001268576,0.048,0.149,0.08125,0.03971382001268576,0.09043644176989717,0.08125,1.0,4,0,1.0,1.0,0,2273.0,4056.25,0,4,0.136,0.15784644436920334,-0.011,0.39,0.136,0.15784644436920334,0.20835426561508166,0.14150000000000001,0.75,3,0,1.0,1.0,0,19966.0,22079.5,0
55,55,power_law,5.081,1.0,10529.0,0.0810000000000004,0.0810000000000004,1.6200000000000083,1,1,2.013,1.0,12415.0,0.0129999999999999,0.0129999999999999,0.649999999999995,1,1,0.004,1.0,29388.0,-0.006,0.006,60.0,0,1,0.284,1.0,29561.0,-0.016000000000000014,0.016000000000000014,5.333333333333338,1,1,16.116,1.0,22618.0,-1.8840000000000003,1.8840000000000003,10.466666666666669,1,1,4,0.07925,0.06002655662288151,0.041,0.183,0.07925,0.06002655662288151,0.09941705085145103,0.07925,1.0,4,0,1.0,1.0,0,2256.0,8451.5,0,4,-0.16299999999999998,0.10978843290620373,-0.344,-0.048,-0.16299999999999998,0.10978843290620373,0.19652607969427363,0.16299999999999998,1.0,4,0,1.0,1.0,0,18170.0,23314.75,0
56,56,power_law,3.731,1.0,6328.0,-1.2690000000000001,1.2690000000000001,25.380000000000003,1,1,1.87,1.0,8537.0,-0.1299999999999999,0.1299999999999999,6.499999999999995,1,1,0.012,1.0,35475.0,0.002,0.002,20.0,1,1,0.305,1.0,25486.0,0.0050000000000000044,0.0050000000000000044,1.6666666666666683,1,1,19.736,1.0,27329.0,1.7360000000000007,1.7360000000000007,9.64444444444445,1,1,4,0.07275000000000001,0.04582234716816676,0.043,0.152,0.07275000000000001,0.04582234716816676,0.08597819491010497,0.07275000000000001,1.0,4,0,1.0,1.0,0,2772.0,6367.5,0,4,0.18075000000000002,0.10743457311312779,0.004,0.271,0.18075000000000002,0.10743457311312779,0.21026828101261494,0.18075000000000002,1.0,4,0,1.0,1.0,0,21649.0,24369.25,0
57,57,power_law,4.17,1.1,25.0,-0.8300000000000001,0.8300000000000001,16.6,1,0,1.908,1.15,34.0,-0.09200000000000008,0.09200000000000008,4.600000000000004,1,0,0.011,1.05,154.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,0,0.305,1.16,16.0,0.0050000000000000044,0.0050000000000000044,1.6666666666666683,1,0,18.192,1.09,28.0,0.19200000000000017,0.19200000000000017,1.0666666666666678,1,0,4,0.05975000000000001,0.0711103895362696,-0.044,0.151,0.05975000000000001,0.0711103895362696,0.09288029931045656,0.08175,1.0,4,0,1.1025,1.12,4,27.0,1875.0,3,4,0.12875,0.020716840975399702,0.105,0.162,0.12875,0.020716840975399702,0.13040609648325496,0.12875,1.0,4,0,1.1075,1.23,4,14.0,107.25,4
58,58,power_law,3.564,1.0,7671.0,-1.436,1.436,28.720000000000002,0,1,1.824,1.0,11841.0,-0.17599999999999993,0.17599999999999993,8.799999999999997,1,1,0.016,1.0,33026.0,0.006,0.006,60.0,1,1,0.307,1.0,31426.0,0.007000000000000006,0.007000000000000006,2.3333333333333357,1,1,17.338,1.0,28563.0,-0.661999999999999,0.661999999999999,3.6777777777777723,1,1,4,0.14175,0.0698905394170055,0.07,0.231,0.14175,0.0698905394170055,0.15804350666825892,0.14175,1.0,4,0,1.0,1.0,0,1132.0,3556.5,0,4,0.07475,0.17044262231026605,-0.161,0.244,0.07475,0.17044262231026605,0.186113540614325,0.16225,1.0,4,0,1.0,1.0,0,26765.0,27494.75,0
59,59,power_law,4.249,1.0,9508.0,-0.7510000000000003,0.7510000000000003,15.020000000000005,1,1,1.948,1.0,12936.0,-0.052000000000000046,0.052000000000000046,2.6000000000000023,1,1,0.012,1.0,28784.0,0.002,0.002,20.0,1,1,0.297,1.0,28699.0,-0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,17.769,1.0,32164.0,-0.23100000000000165,0.23100000000000165,1.2833333333333425,1,1,4,0.10675000000000001,0.05241361941327845,0.039,0.185,0.10675000000000001,0.05241361941327845,0.11892329460622927,0.10675000000000001,1.0,4,0,1.0,1.0,0,5232.0,7455.75,0,4,0.025500000000000005,0.17640932515034458,-0.108,0.323,0.025500000000000005,0.17640932515034458,0.1782428119167783,0.136,1.0,4,0,1.0,1.0,0,23527.0,26383.0,0
60,60,power_law,3.608,1.01,5851.0,-1.392,1.392,27.839999999999996,0,1,1.764,1.0,2738.0,-0.236,0.236,11.799999999999999,0,1,0.012,1.0,19350.0,0.002,0.002,20.0,1,1,0.311,1.0,26062.0,0.01100000000000001,0.01100000000000001,3.66666666666667,1,1,15.622,1.0,3892.0,-2.378,2.378,13.211111111111112,0,1,4,0.06125,0.02685493436968335,0.024,0.099,0.06125,0.02685493436968335,0.06687862139727463,0.06125,1.0,4,0,1.005,1.01,0,1127.0,4240.25,0,4,0.10899999999999999,0.22767630531085137,-0.163,0.396,0.10899999999999999,0.22767630531085137,0.25242325566397406,0.21950000000000003,1.0,4,0,1.0074999999999998,1.02,1,252.0,14605.0,1
