,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,-0.13 ± 0.18
4,Mean Bias,-0.13 ± 0.18
5,RMSE,0.32 ± 0.13
6,Coverage Rate,97.75 ± 7.19
7,Mean R-hat,1.00
8,Mean ESS (bulk),16804
9,N with ESS < 400,0.1
