,Metric,Value
0,Model,power_law
1,True Value,0.00
2,N Simulations,100
3,Mean Estimate,-0.95 ± 0.71
4,Mean Bias,-0.95 ± 0.71
5,RMSE,1.19 ± 0.63
6,Coverage Rate,94.75 ± 10.23
7,Mean R-hat,1.00
8,Mean ESS (bulk),8013
9,N with ESS < 400,0.0
