simulation,row,mean,median,std,n_peaks,peak_locations,sorted_peak_location1,sorted_peak_location2,is_bimodal,is_well_separated,separation
0,0,-0.22483298,-0.17249221,0.630308571,1,[-0.05625611145448817],-0.056256111,,FALSE,FALSE,0
0,1,38.01288666,50.35096378,22.15039259,2,"[50.833479380961194, -0.6299761893689193]",-0.629976189,50.83347938,TRUE,TRUE,51.46345557
0,2,13.08028261,0.002679362,22.95380116,2,"[-0.6724623477642957, 50.958127402201455]",-0.672462348,50.9581274,TRUE,TRUE,51.63058975
0,3,50.81854591,50.58602462,1.067577726,1,[50.195771478434416],,50.19577148,FALSE,FALSE,0
1,0,12.73378478,0.656795977,21.56051236,2,"[0.6723262658974183, 50.35693444198523]",0.672326266,50.35693444,TRUE,TRUE,49.68460818
1,1,37.51153755,49.70616366,21.73886122,2,"[49.66194402218413, 0.09351451763845953]",0.093514518,49.66194402,TRUE,TRUE,49.5684295
1,2,38.03968918,50.23631509,22.04013434,2,"[50.445033435745, 0.5313517687178262]",0.531351769,50.44503344,TRUE,TRUE,49.91368167
1,3,-0.359476521,-0.378688863,0.608771016,1,[-0.41687717838160676],-0.416877178,,FALSE,FALSE,0
2,0,50.10499396,49.89912136,1.203796988,1,[49.795979924274256],,49.79597992,FALSE,FALSE,0
2,1,-0.318654962,-0.287713482,0.683581807,1,[-0.39580035017736037],-0.39580035,,FALSE,FALSE,0
2,2,25.19293006,23.6991852,25.19040129,2,"[0.01852776932591116, 50.541018881050434]",0.018527769,50.54101888,TRUE,TRUE,50.52249111
2,3,50.6906366,50.37832549,1.676084437,1,[50.473257788930894],,50.47325779,FALSE,FALSE,0
3,0,12.54417462,0.229176002,22.02033541,2,"[-0.2189725791869539, 49.27723061410409]",-0.218972579,49.27723061,TRUE,TRUE,49.49620319
3,1,11.8407438,-0.582767973,22.04112803,2,"[-1.2108924100213763, 49.42912595266115]",-1.21089241,49.42912595,TRUE,TRUE,50.64001836
