simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
15,exponential,0.426471429,0.127811344,0.082737723,0.241035857,0.241462836,0.005976096,0.006914374,0.678414385,0.09094731
15,gaussian,0.387928454,0.132036185,0.087112124,0.241035857,0.24143834,0.005976096,0.006888353,0.609579723,0.100209232
15,power_law,0.46143424,0.123854343,0.078166365,0.241035857,0.241645045,0.005976096,0.006862643,0.731860326,0.083046645
16,exponential,0.445616245,0.12399672,0.081737026,0.268924303,0.269790401,0.00498008,0.005885054,0.662755707,0.093407386
16,gaussian,0.403539133,0.128616275,0.086162164,0.268924303,0.269877521,0.00498008,0.005873817,0.594919965,0.102371563
16,power_law,0.477047098,0.12043043,0.077014921,0.268924303,0.269731792,0.00498008,0.005913004,0.7199062,0.085125693
17,exponential,0.452576928,0.136484216,0.083350316,0.222111554,0.22345991,0.009960159,0.010770885,0.707750809,0.091461402
17,gaussian,0.41070646,0.141607651,0.088236108,0.222111554,0.223457327,0.009960159,0.010785078,0.640580324,0.101428995
17,power_law,0.49448565,0.131155837,0.078669635,0.222111554,0.223245269,0.009960159,0.010796035,0.764977995,0.082019187
18,exponential,0.432898566,0.13463363,0.082075496,0.262948207,0.26318585,0.007968127,0.008907588,0.724645437,0.088265565
18,gaussian,0.402518685,0.138192778,0.086203625,0.262948207,0.263430839,0.007968127,0.008776924,0.664881829,0.097374256
18,power_law,0.465137383,0.130750785,0.078326366,0.262948207,0.263142959,0.007968127,0.008854457,0.773865601,0.079988671
19,exponential,0.410946521,0.139996115,0.084359669,0.241035857,0.241622883,0.009960159,0.010794821,0.71893156,0.088811578
19,gaussian,0.372108979,0.144537573,0.090082365,0.241035857,0.241566889,0.009960159,0.010790899,0.644576096,0.099870417
19,power_law,0.438966519,0.136625892,0.079534917,0.241035857,0.241690301,0.009960159,0.010856449,0.768509694,0.080599055
20,exponential,0.383050196,0.138881909,0.085999973,0.25498008,0.254661417,0.008964143,0.009830397,0.704929643,0.08848712
20,gaussian,0.352788523,0.142247246,0.090663869,0.25498008,0.254509151,0.008964143,0.009759307,0.646597298,0.096839425
20,power_law,0.403654512,0.136543091,0.082184962,0.25498008,0.254715949,0.008964143,0.009863577,0.738429091,0.08331285
21,exponential,0.442293961,0.133021664,0.084203092,0.260956175,0.261828187,0.006972112,0.007841789,0.680536678,0.096044363
21,gaussian,0.400281322,0.137941039,0.089413037,0.260956175,0.262032246,0.006972112,0.007999626,0.617758905,0.105058228
21,power_law,0.47744737,0.128761113,0.07933442,0.260956175,0.262025585,0.006972112,0.007833136,0.726531552,0.088861777
22,exponential,0.453627695,0.134699448,0.083704413,0.247011952,0.248967754,0.009960159,0.010881692,0.704205868,0.090258825
22,gaussian,0.411634433,0.139780021,0.088752261,0.247011952,0.248793327,0.009960159,0.010741596,0.635375872,0.100211509
22,power_law,0.499898994,0.128869558,0.078337896,0.247011952,0.248829993,0.009960159,0.010806399,0.76249531,0.08087811
23,exponential,0.354756573,0.145771956,0.089923804,0.27689243,0.276707358,0.009960159,0.010808516,0.682985684,0.094130789
23,gaussian,0.319254873,0.149728494,0.094886938,0.27689243,0.276791055,0.009960159,0.010785794,0.61539191,0.103681547
23,power_law,0.384257648,0.142400561,0.085300272,0.27689243,0.276878984,0.009960159,0.010733752,0.730792244,0.086743321
24,exponential,0.422284507,0.130912158,0.082406571,0.244023904,0.245376525,0.006972112,0.007872759,0.666649053,0.093009159
24,gaussian,0.380121857,0.135605136,0.087186311,0.244023904,0.245369646,0.006972112,0.007827409,0.601205545,0.101730089
24,power_law,0.46341892,0.126165512,0.077953302,0.244023904,0.245076008,0.006972112,0.007879544,0.719319763,0.085345531
25,exponential,0.421141718,0.133442918,0.086808214,0.25,0.249741005,0.006972112,0.00792284,0.662275406,0.096739038
25,gaussian,0.385816054,0.137454396,0.090655336,0.25,0.250183578,0.006972112,0.00785729,0.60499769,0.104621331
25,power_law,0.438352349,0.131444185,0.084540776,0.25,0.250141963,0.006972112,0.00782965,0.692165578,0.092358955
26,exponential,0.432359933,0.128910941,0.079946482,0.249003984,0.249570686,0.006972112,0.007840388,0.701547253,0.087600679
26,gaussian,0.397561407,0.13280354,0.084827688,0.249003984,0.249733908,0.006972112,0.007856076,0.641441766,0.096017309
26,power_law,0.459010897,0.125848347,0.075995583,0.249003984,0.24961395,0.006972112,0.007847703,0.744501867,0.081051965
27,exponential,0.387027055,0.136133819,0.086074958,0.25,0.250940208,0.007968127,0.00875277,0.674415892,0.091653956
27,gaussian,0.354394199,0.139710513,0.090452648,0.25,0.250499253,0.007968127,0.008858286,0.605956616,0.100830433
27,power_law,0.400881466,0.134586578,0.083245087,0.25,0.250379762,0.007968127,0.008845835,0.718475516,0.085227098
28,exponential,0.38986797,0.143788439,0.086436764,0.272908367,0.274318196,0.011952191,0.012733846,0.689687362,0.091526662
