,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.42948287068,0.04181613576310541,0.13278863606,0.008174192403690082,0.08319396466000001,0.003343758411033326,0.25283864543,0.012641890248114318,0.25376890127,0.012627833340714805,0.0077888446,0.002768287792553922,0.0086502888,0.0027281925805860375,0.6866967016200001,0.019287609147978273,0.09203064137,0.0026303956546965515
gaussian,0.39148460532,0.0379546561718028,0.13715534706,0.00784378640254189,0.08785389559000001,0.003379063661500992,0.25283864543,0.012641890248114318,0.25377568378,0.012668698677546506,0.0077888446,0.002768287792553922,0.00864932523,0.0027255833075819627,0.62169089931,0.021583331276561465,0.10114132307,0.002888017592093026
power_law,0.45945761267999996,0.04694213052183482,0.1292229707,0.00858669446146276,0.07924745481,0.0033300799048404444,0.25283864543,0.012641890248114318,0.25364565522,0.01265541101195935,0.0077888446,0.002768287792553922,0.00864865352,0.002732331458909921,0.7354103119,0.018703114009501275,0.08455495011,0.0026357562298344305
