,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.07545090559,0.029485086399473632,0.09816520012,0.012821799096649274,0.029493498649999998,0.004657295388471212,0.63492031876,0.011530083097419515,0.76742803755,0.012092540498468474,0.007111553830000001,0.002602764349878491,0.00759460216,0.002440198277673758,0.21181665872,0.020891267355943682,0.08687297591,0.006263545499894109
gaussian,0.06417434047000001,0.02553017094769751,0.09874151653,0.01270503523232562,0.03179291924,0.004612589555486694,0.63492031876,0.011530083097419515,0.76544782964,0.012507099869780198,0.007111553830000001,0.002602764349878491,0.00758295225,0.0024201668352396835,0.18048987331,0.018883564337926238,0.08858574673,0.006375731412084704
power_law,0.26734840327,0.09054476528887577,0.08759062203000001,0.014622753662784548,0.02017088724,0.004658687011895776,0.63492031876,0.011530083097419515,0.7323557793400001,0.011534147800727756,0.007111553830000001,0.002602764349878491,0.00778161634,0.0024991421380891267,0.77806806826,0.02897515922804697,0.04588779521,0.0030268404931126603
